
[00:00:00.000 --> 00:00:05.000]  大胃傳的第十一講
[00:00:05.000 --> 00:00:07.000]  我講了很多的系列
[00:00:07.000 --> 00:00:12.000]  這些系列主要的目的就是要幫助大家讀經
[00:00:12.000 --> 00:00:18.000]  如果你們讀經之前先聽一聽有關經文的講道
[00:00:18.000 --> 00:00:21.000]  是能夠幫助你更加認識經文
[00:00:21.000 --> 00:00:28.000]  而我在這裡每一本書第一講都是為何要讀這本書
[00:00:28.000 --> 00:00:31.000]  就是對這本書的介紹
[00:00:31.000 --> 00:00:35.000]  當你讀了聽了介紹的視頻
[00:00:35.000 --> 00:00:39.000]  是會幫助你更加明白當時的背景
[00:00:39.000 --> 00:00:42.000]  能夠更加明白這本書是講什麼
[00:00:42.000 --> 00:00:49.000]  今天我們會繼續講薩姆爾夏的第三章和第四章
[00:00:49.000 --> 00:00:56.000]  我給他的名字叫做「別高舉神名來假公濟私」
[00:00:56.000 --> 00:01:01.000]  世上有很多人都是喜歡高舉神的名
[00:01:01.000 --> 00:01:04.000]  來做他們自己喜歡做的事
[00:01:04.000 --> 00:01:08.000]  他會跟別人說這是好事所以我做
[00:01:08.000 --> 00:01:12.000]  甚至會說這是神的旨意
[00:01:12.000 --> 00:01:16.000]  替天行道其實這是假公濟私
[00:01:16.000 --> 00:01:20.000]  其實因為他們自己有私心想做這件事
[00:01:20.000 --> 00:01:24.000]  就借神的名來打響神的旗號
[00:01:24.000 --> 00:01:26.000]  我們要學習大衛
[00:01:26.000 --> 00:01:28.000]  大衛是剛剛相反
[00:01:28.000 --> 00:01:30.000]  大衛是怎樣呢?
[00:01:30.000 --> 00:01:32.000]  同樣的事情發生在他身上
[00:01:32.000 --> 00:01:38.000]  他說「願耶和華報應他們所作的惡」
[00:01:38.000 --> 00:01:39.000]  這就是大衛
[00:01:39.000 --> 00:01:42.000]  他不是將事情放在自己的手裡
[00:01:42.000 --> 00:01:45.000]  他讓神來主持公道
[00:01:45.000 --> 00:01:47.000]  這就是合神心意的人
[00:01:47.000 --> 00:01:53.000]  今季我們要學習大衛怎樣能夠合神心意
[00:01:53.000 --> 00:01:59.000]  其中一樣就是我們不要每件事都說替天行道
[00:01:59.000 --> 00:02:03.000]  做好事 但其實我們是有私心
[00:02:03.000 --> 00:02:05.000]  這個我們需要很小心
[00:02:05.000 --> 00:02:09.000]  在樹薩姆以下的三章一節一開始就說
[00:02:09.000 --> 00:02:14.000]  「訴羅家和大衛家真戰許久」
[00:02:14.000 --> 00:02:18.000]  我們知道這一場真戰一共有七年半
[00:02:18.000 --> 00:02:22.000]  就是兩個家族來到彼此對敵
[00:02:22.000 --> 00:02:26.000]  我們會看到伊斯波切就是訴羅的兒子
[00:02:26.000 --> 00:02:28.000]  他會變得越來越軟弱
[00:02:28.000 --> 00:02:31.000]  越來越弱他的勢力會被削減
[00:02:31.000 --> 00:02:36.000]  起初我們知道伊斯波切佔有整個以色列地
[00:02:36.000 --> 00:02:40.000]  而大衛只有猶大一個支派
[00:02:40.000 --> 00:02:42.000]  敵中我寡
[00:02:42.000 --> 00:02:47.000]  但慢慢我們會看到伊斯波切的勢力越來越弱
[00:02:47.000 --> 00:02:50.000]  大衛的勢力越來越強盛
[00:02:50.000 --> 00:02:55.000]  大衛的勢力強盛也反映在大衛的家譜
[00:02:55.000 --> 00:02:58.000]  他的家越來越興旺
[00:02:58.000 --> 00:03:05.000]  這些經文大衛的家譜是在樹薩姆以下的三章二至五節
[00:03:05.000 --> 00:03:08.000]  和歷代至上的三章一至四節
[00:03:08.000 --> 00:03:11.000]  當大衛進入希伯倫的時候
[00:03:11.000 --> 00:03:13.000]  他只有兩個太太
[00:03:13.000 --> 00:03:17.000]  但現在他一共有六個妻子
[00:03:17.000 --> 00:03:20.000]  每個妻子都和他生了孩子
[00:03:20.000 --> 00:03:26.000]  一夫多妻制是由該人的後裔拉密
[00:03:26.000 --> 00:03:30.000]  在創世紀的四章十九節由他開始
[00:03:30.000 --> 00:03:36.000]  但神對以色列人的王納多菲奔是禁止的事
[00:03:36.000 --> 00:03:39.000]  在神明記的十七章十七節
[00:03:39.000 --> 00:03:43.000]  神說王不可為自己多納菲奔
[00:03:43.000 --> 00:03:45.000]  這就是大衛的問題
[00:03:45.000 --> 00:03:47.000]  他為自己多納菲奔
[00:03:47.000 --> 00:03:50.000]  他沒有聽到神的話語
[00:03:50.000 --> 00:03:54.000]  在大衛家譜的名單當中
[00:03:54.000 --> 00:03:59.000]  我們會看到他的六個妻子和他生了六個兒子
[00:03:59.000 --> 00:04:01.000]  不是說只有六個兒子
[00:04:01.000 --> 00:04:06.000]  在家譜裡只說到每個妻子為他生的第一個兒子
[00:04:06.000 --> 00:04:09.000]  而大衛也有其他的兒女
[00:04:09.000 --> 00:04:15.000]  他的女兒我們會看到在不同的故事當中出現
[00:04:15.000 --> 00:04:21.000]  例如他的女兒他媽遲些會在經文出現
[00:04:21.000 --> 00:04:28.000]  這些家譜在薩姆以下和歷代至上都有很多相似的地方
[00:04:28.000 --> 00:04:32.000]  而的確兩部書對於歷史的記載
[00:04:32.000 --> 00:04:34.000]  都有很多相似的地方
[00:04:34.000 --> 00:04:40.000]  只是由不同的角度來看同一段的歷史事跡
[00:04:40.000 --> 00:04:44.000]  在經文裡提到大衛有六個兒子
[00:04:44.000 --> 00:04:46.000]  第一個兒子就是暗亂
[00:04:46.000 --> 00:04:50.000]  暗亂的意思就是忠心的意思
[00:04:50.000 --> 00:04:54.000]  是大衛和耶穌列人亞希亂所生的
[00:04:54.000 --> 00:04:57.000]  我們知道暗亂最出名的是什麼
[00:04:57.000 --> 00:05:02.000]  強姦了他同父異母的妹妹他媽
[00:05:02.000 --> 00:05:06.000]  這件事是記載在薩姆以下的第十三章
[00:05:06.000 --> 00:05:10.000]  大衛第二個兒子是基利亞
[00:05:10.000 --> 00:05:13.000]  基利亞的意思就是父親漸進上風
[00:05:13.000 --> 00:05:16.000]  或者完全是屬於父親
[00:05:16.000 --> 00:05:23.000]  這個人是大衛和加密人拿伯的妻子亞比該所生
[00:05:23.000 --> 00:05:26.000]  基利亞似乎是一個花名
[00:05:26.000 --> 00:05:30.000]  而這個人真正的名字叫做「但爾里」
[00:05:30.000 --> 00:05:33.000]  在歷代史上的三章一節有記載
[00:05:33.000 --> 00:05:36.000]  這個人似乎是英年早逝
[00:05:36.000 --> 00:05:39.000]  所以後來沒有再提及他的事跡
[00:05:39.000 --> 00:05:43.000]  也沒有和他的兄弟爭取皇位
[00:05:43.000 --> 00:05:47.000]  第三個兒子亞撒隆就出名了
[00:05:47.000 --> 00:05:50.000]  亞撒隆是什麼意思
[00:05:50.000 --> 00:05:53.000]  亞就是父親的意思
[00:05:53.000 --> 00:05:56.000]  Shalom就是和平平安
[00:05:56.000 --> 00:06:01.000]  所以這個名字的意思就是父親是平安的
[00:06:01.000 --> 00:06:08.000]  他是大衛和基述王達邁的女兒瑪迦所生
[00:06:08.000 --> 00:06:12.000]  基述其實在以色列國的西北部
[00:06:12.000 --> 00:06:14.000]  是一個小的國家
[00:06:14.000 --> 00:06:19.000]  很明顯這一段婚姻是有政治動機在裏面
