
[00:00:00.000 --> 00:00:05.380]  早晨 各位弟兄姊妹
[00:00:05.380 --> 00:00:08.680]  很快又過了兩個星期
[00:00:08.680 --> 00:00:13.760]  難得在今天又下大雨
[00:00:13.760 --> 00:00:15.520]  這麼艱難的環境
[00:00:15.520 --> 00:00:20.320]  都看到大家很齊心的來敬拜主
[00:00:20.320 --> 00:00:22.320]  今天是一個特別的日子
[00:00:22.320 --> 00:00:27.880]  都是大家55週年的第三港的培靈信息
[00:00:27.880 --> 00:00:32.940]  我多謝劉牧師給我在這裡有兩次這樣的機會
[00:00:32.940 --> 00:00:35.780]  跟大家來分享
[00:00:35.780 --> 00:00:41.300]  我也覺得這個題目「內霸 抓緊時機」
[00:00:41.300 --> 00:00:47.040]  是一個很難得的一個課題
[00:00:47.040 --> 00:00:52.040]  雖然今天要講的話 要思考的東西
[00:00:52.040 --> 00:00:55.600]  是我在香港生活了這麼多年
[00:00:55.600 --> 00:01:02.580]  在這裡由1980年開始講到今時今日
[00:01:02.580 --> 00:01:10.620]  我覺得是有很多很多的感觸、感受
[00:01:10.620 --> 00:01:16.440]  我相信任何一個弟兄姊妹
[00:01:16.440 --> 00:01:21.640]  都有很多很多的思考
[00:01:21.640 --> 00:01:26.080]  今天的講道如同早前我們有機會
[00:01:26.080 --> 00:01:30.920]  一起跟一些傳道人一起商量、一起講的時候說
[00:01:30.920 --> 00:01:35.040]  我們接下來的歲月怎樣講道
[00:01:35.040 --> 00:01:39.080]  和我們過去的日子怎樣講道
[00:01:39.080 --> 00:01:42.080]  到底有分別還是沒有分別?
[00:01:42.080 --> 00:01:45.280]  其實我也想問一下親愛的弟兄姊妹
[00:01:45.280 --> 00:01:52.360]  你猜你聽到的態度、聽到的心情
[00:01:52.360 --> 00:01:55.640]  過去、現在、將來
[00:01:55.640 --> 00:01:59.880]  其實會不會都有一些轉變的?
[00:01:59.880 --> 00:02:03.080]  我們真的必須謙卑在上主的面前
[00:02:03.080 --> 00:02:08.800]  是面對著這個現實 我自己也在學習
[00:02:08.800 --> 00:02:11.000]  我知道自己是什麼人
[00:02:11.000 --> 00:02:14.120]  我知道我的召命是什麼
[00:02:14.120 --> 00:02:19.720]  我知道我應該向誰來進宗
[00:02:19.720 --> 00:02:26.040]  我知道作為傳道者、傳講上主信息的人
[00:02:26.040 --> 00:02:32.720]  他應該是專注的、講明、宣明
[00:02:32.720 --> 00:02:36.560]  於教導、宣讀、勸勉
[00:02:36.560 --> 00:02:41.960]  以上主的話語來慰養群人
[00:02:41.960 --> 00:02:46.040]  始終如一 話雖如此
[00:02:46.040 --> 00:02:48.440]  但是在始終如一的裏面
[00:02:48.440 --> 00:02:55.960]  也難免有很多很多的考量、解決
[00:02:55.960 --> 00:02:57.440]  所以親愛的弟兄姊妹
[00:02:57.440 --> 00:03:01.320]  我們真的能夠聚集在今天來敬拜
[00:03:01.320 --> 00:03:03.640]  我覺得是絕非偶然
[00:03:03.640 --> 00:03:08.360]  也都是我不知道我親愛的同工
[00:03:08.360 --> 00:03:13.120]  他卸任之後 他踏上新旅程之後
