
[00:00:00.000 --> 00:00:02.000]  請節目平安
[00:00:02.000 --> 00:00:06.000]  如果人生的危難可以有演習就好了
[00:00:06.000 --> 00:00:08.000]  預告
[00:00:08.000 --> 00:00:12.000]  可以就預備定心情
[00:00:12.000 --> 00:00:14.000]  想定怎樣做去準備
[00:00:14.000 --> 00:00:18.000]  不過事實上人生的危難要來臨的時候
[00:00:18.000 --> 00:00:20.000]  從來都沒有預告給你聽
[00:00:20.000 --> 00:00:22.000]  並且你想都不想到的時間
[00:00:22.000 --> 00:00:24.000]  以為沒事的時候
[00:00:24.000 --> 00:00:26.000]  那些事情就來
[00:00:26.000 --> 00:00:28.000]  這個也是今天我想和大家一起去思想的
[00:00:28.000 --> 00:00:31.000]  其中一個很重要的訊息和話題
[00:00:31.000 --> 00:00:35.000]  今天我想和大家一起去思想
[00:00:35.000 --> 00:00:38.000]  去留意看看猶太人
[00:00:38.000 --> 00:00:40.000]  舊約裏面的猶太人
[00:00:40.000 --> 00:00:44.000]  他們一段相當獨特的經歷
[00:00:44.000 --> 00:00:45.000]  在這段經歷裏面
[00:00:45.000 --> 00:00:47.000]  究竟他們做了些什麼
[00:00:47.000 --> 00:00:49.000]  有什麼反應
[00:00:49.000 --> 00:00:51.000]  這段經歷是什麼呢
[00:00:51.000 --> 00:00:53.000]  對猶太人來說當然是很重要的
[00:00:53.000 --> 00:00:57.000]  就是他們回到耶路撒冷重建聖殿那一幕
[00:00:57.000 --> 00:01:00.000]  大家如果稍微知道舊約的歷史
[00:01:00.000 --> 00:01:02.000]  你都記得猶太的
[00:01:02.000 --> 00:01:03.000]  猶太的
[00:01:03.000 --> 00:01:04.000]  以色列人的帝國
[00:01:04.000 --> 00:01:08.000]  曾經分裂了做北國的以色列和南國的猶太
[00:01:08.000 --> 00:01:10.000]  但是因為他們一直是離棄神
[00:01:10.000 --> 00:01:12.000]  一直不是聽神的話
[00:01:12.000 --> 00:01:18.000]  所以他們先後北國的以色列就被亞述帝國滅了
[00:01:18.000 --> 00:01:20.000]  後來剩下九寸殘存的
[00:01:20.000 --> 00:01:22.000]  有耶路撒冷的猶太國
[00:01:22.000 --> 00:01:24.000]  過了一段日子裏面
[00:01:24.000 --> 00:01:27.000]  都被新興的巴比倫帝國所滅
[00:01:27.000 --> 00:01:33.000]  以色列人就落入一個亡國的悲痛之中
[00:01:33.000 --> 00:01:38.000]  就在這個沒有盼望和極度憂傷的時候
[00:01:38.000 --> 00:01:42.000]  神的先知耶和華的先知就提醒他們
[00:01:42.000 --> 00:01:45.000]  他說將來有一天
[00:01:45.000 --> 00:01:48.000]  神會將他們帶回耶路撒冷
[00:01:48.000 --> 00:01:53.000]  起碼有機會可以重建神自己的殿
[00:01:53.000 --> 00:01:55.000]  和建立他們的小小的家園
[00:01:55.000 --> 00:01:58.000]  縱然他們仍然是亡國之民
[00:01:58.000 --> 00:02:00.000]  但是他們有機會重返家鄉
[00:02:00.000 --> 00:02:03.000]  這個成為以色列一個很大的盼望
[00:02:03.000 --> 00:02:07.000]  果然神說過的話就成為事實
[00:02:07.000 --> 00:02:12.000]  先後亞述帝國和巴比倫帝國滅了之後
[00:02:12.000 --> 00:02:14.000]  新興的一個新的帝國
[00:02:14.000 --> 00:02:16.000]  就叫波斯帝國
[00:02:16.000 --> 00:02:21.000]  波斯帝國的皇帝的態度和亞述巴比倫很不同
[00:02:21.000 --> 00:02:28.000]  波斯帝國的皇帝採取了一種較為平和和放鬆的政策
[00:02:28.000 --> 00:02:31.000]  讓他統治的大的帝國
[00:02:31.000 --> 00:02:35.000]  人民可以有一種心情上
[00:02:35.000 --> 00:02:39.000]  感覺上更加安心
[00:02:39.000 --> 00:02:42.000]  然後可以擁護新興的帝國
[00:02:42.000 --> 00:02:44.000]  他們的政策是這樣
[00:02:44.000 --> 00:02:47.000]  所以第一個皇帝就叫古烈
[00:02:47.000 --> 00:02:49.000]  古烈一上場之後
[00:02:49.000 --> 00:02:55.000]  就有一種以色列人真是做夢都想不到的新的政策
[00:02:55.000 --> 00:02:59.000]  就是願意讓這些亡國之民
[00:02:59.000 --> 00:03:01.000]  不單單留在巴比倫
