
[00:00:00.000 --> 00:00:08.380]  今天的題目是教會的誕生
[00:00:08.380 --> 00:00:11.080]  我們今天有機會坐在這裡
[00:00:11.080 --> 00:00:15.580]  我們今天有機會在教會裡面來敬拜
[00:00:15.580 --> 00:00:21.460]  當然是因為最早期有第一間教會的出現
[00:00:21.460 --> 00:00:25.420]  一年四次的崇拜都會跟大家一起分享
[00:00:25.420 --> 00:00:27.200]  是《使徒行傳》
[00:00:27.200 --> 00:00:28.520]  在《使徒行傳》裡面認識
[00:00:28.520 --> 00:00:32.680]  究竟初期的教會是如何誕生的呢?
[00:00:32.680 --> 00:00:37.480]  所以這次可以說是一次比較長的引言
[00:00:37.480 --> 00:00:43.240]  大家知不知道《使徒行傳》是誰寫的呢?
[00:00:43.240 --> 00:00:45.600]  《使徒行傳》
[00:00:45.600 --> 00:00:48.760]  是路加醫生寫的
[00:00:48.760 --> 00:00:49.840]  路加醫生
[00:00:49.840 --> 00:00:51.600]  大家知道是誰嗎?
[00:00:51.600 --> 00:00:53.880]  當你看《使徒行傳》的時候
[00:00:53.880 --> 00:00:54.760]  他就說
[00:00:54.760 --> 00:00:59.360]  提阿非羅,我已經作了前書
[00:00:59.360 --> 00:01:03.960]  論到耶穌開頭的一切所行所教訓的
[00:01:03.960 --> 00:01:07.960]  直到他藉著聖靈吩咐所揀選的使徒
[00:01:07.960 --> 00:01:12.680]  以後被接上升的日子為止
[00:01:12.680 --> 00:01:13.560]  前書
[00:01:13.560 --> 00:01:16.480]  那你又知不知道哪一卷是前書呢?
[00:01:16.480 --> 00:01:18.000]  就是第一部分
[00:01:18.000 --> 00:01:19.600]  就是他說《使徒行傳》
[00:01:19.600 --> 00:01:22.000]  原來是第二部分的下集
[00:01:22.000 --> 00:01:23.200]  是續集
[00:01:23.200 --> 00:01:26.200]  那你知不知道第一卷是哪一卷呢?
[00:01:26.200 --> 00:01:29.000]  第一卷是路加福音
[00:01:29.000 --> 00:01:30.240]  路加醫生寫的
[00:01:30.240 --> 00:01:31.920]  路加福音
[00:01:31.920 --> 00:01:33.480]  如果你看路加福音
[00:01:33.480 --> 00:01:34.640]  你覺得有點像
[00:01:34.640 --> 00:01:36.680]  第一章第一第二節
[00:01:36.680 --> 00:01:37.720]  他這樣說
[00:01:37.720 --> 00:01:40.160]  他說提阿非羅大人
[00:01:40.160 --> 00:01:42.600]  有好些人提不作書
[00:01:42.600 --> 00:01:43.720]  可能有馬太
[00:01:43.720 --> 00:01:44.880]  有其他人寫書
[00:01:44.880 --> 00:01:45.720]  有約翰
[00:01:45.720 --> 00:01:48.680]  述說在我們中間所成就的事
[00:01:48.680 --> 00:01:51.280]  是照傳道的人從起初
[00:01:51.280 --> 00:01:52.520]  親眼看見
[00:01:52.520 --> 00:01:54.640]  又傳給我們的
[00:01:54.640 --> 00:01:57.400]  這些事我既從起頭
[00:01:57.400 --> 00:01:59.160]  詳細考察了
[00:01:59.160 --> 00:02:03.280]  就定義要按著次序寫給你
[00:02:03.280 --> 00:02:04.520]  原來路加福音
[00:02:04.520 --> 00:02:09.240]  就是在記述耶穌由加利利開始侍奉
[00:02:09.240 --> 00:02:10.280]  一路去到
[00:02:10.280 --> 00:02:11.200]  什麼時候終結呢?
