
[00:00:00.000 --> 00:00:05.200]  使徒函轉28章的經文
[00:00:05.200 --> 00:00:08.920]  路加醫生記載了福音
[00:00:08.920 --> 00:00:14.240]  如何由耶路撒冷開始傳到猶太全地
[00:00:14.240 --> 00:00:18.040]  撒瑪利亞直到地球
[00:00:18.040 --> 00:00:23.720]  從1章到12章我們看過了
[00:00:23.720 --> 00:00:29.200]  福音如何突破耶路撒冷教會
[00:00:29.200 --> 00:00:30.680]  如果容許我們這樣說
[00:00:30.680 --> 00:00:35.600]  一個敗落的瓶頸是透過逼法
[00:00:35.600 --> 00:00:37.360]  瞞途四散
[00:00:37.360 --> 00:00:42.760]  於是就將福音見證帶到猶太全地
[00:00:42.760 --> 00:00:44.760]  和撒瑪利亞
[00:00:44.760 --> 00:00:47.400]  還有直到地極
[00:00:47.400 --> 00:00:51.840]  是 當時耶穌升天這句話
[00:00:51.840 --> 00:00:54.880]  我相信沒有人會理解為
[00:00:54.880 --> 00:00:57.920]  福音如何帶到南極北極
[00:00:57.920 --> 00:01:02.080]  這是後來地球是圓的
[00:01:02.080 --> 00:01:06.920]  我們探險隊就發現有北極熊、有企鵝
[00:01:06.920 --> 00:01:12.840]  當時的世界是地中海羅馬帝國的世界
[00:01:12.840 --> 00:01:14.800]  所以這個直到地極
[00:01:14.800 --> 00:01:18.840]  使徒函轉28章是停在
[00:01:18.840 --> 00:01:24.160]  保羅終於來到羅馬
[00:01:24.160 --> 00:01:29.160]  但是福音如何從小亞細亞
[00:01:29.160 --> 00:01:35.360]  過到歐洲朝向羅馬的方向進發呢?
[00:01:35.360 --> 00:01:38.760]  使徒函轉13章到16章
[00:01:38.760 --> 00:01:42.600]  路加選擇記載的
[00:01:42.600 --> 00:01:44.280]  很奇怪
[00:01:44.280 --> 00:01:49.800]  它不是教會如何開荒佈道
[00:01:49.800 --> 00:01:51.920]  披荊斬棘
[00:01:51.920 --> 00:01:55.960]  一步一步地完成大使命的經過
