
[00:00:00.000 --> 00:00:04.000]  請轉播平安
[00:00:04.000 --> 00:00:06.000]  我自己有這個感動
[00:00:06.000 --> 00:00:08.000]  希望由今次開始
[00:00:08.000 --> 00:00:10.000]  我們有幾次崇拜的講道
[00:00:10.000 --> 00:00:12.000]  都圍繞著
[00:00:12.000 --> 00:00:14.000]  剛才我們這個
[00:00:14.000 --> 00:00:16.000]  列出來的主題
[00:00:16.000 --> 00:00:18.000]  是取自亞國書的第一章
[00:00:18.000 --> 00:00:20.000]  因為
[00:00:20.000 --> 00:00:22.000]  人的怒氣
[00:00:22.000 --> 00:00:24.000]  並不成就神的言
[00:00:24.000 --> 00:00:26.000]  我們就以人的怒氣
[00:00:26.000 --> 00:00:28.000]  人的憤怒
[00:00:28.000 --> 00:00:30.000]  作為我們這幾次
[00:00:30.000 --> 00:00:32.000]  講道的主題
[00:00:32.000 --> 00:00:34.000]  為什麼選擇一個
[00:00:34.000 --> 00:00:36.000]  這樣的題目呢?我心裡的
[00:00:36.000 --> 00:00:38.000]  想法我相信定英姐妹都會
[00:00:38.000 --> 00:00:40.000]  猜到九成
[00:00:40.000 --> 00:00:42.000]  因為我們發覺我們真是
[00:00:42.000 --> 00:00:44.000]  越來越普遍的
[00:00:44.000 --> 00:00:46.000]  不快樂
[00:00:46.000 --> 00:00:48.000]  或者我們在這個
[00:00:48.000 --> 00:00:50.000]  末世的日子裡我們會碰到
[00:00:50.000 --> 00:00:52.000]  太多
[00:00:52.000 --> 00:00:54.000]  令我們很失望的事
[00:00:54.000 --> 00:00:56.000]  我們會見到越來越多
[00:00:56.000 --> 00:00:58.000]  令我們失望的人
[00:00:58.000 --> 00:01:00.000]  有時候觸動這個
[00:01:00.000 --> 00:01:02.000]  情緒有很多的不滿
[00:01:02.000 --> 00:01:04.000]  不要說這麼遠
[00:01:04.000 --> 00:01:06.000]  全世界我們只看香港
[00:01:06.000 --> 00:01:08.000]  我總是覺得或者
[00:01:08.000 --> 00:01:10.000]  也會有很大的共鳴在過去
[00:01:10.000 --> 00:01:12.000]  這兩三年裡
[00:01:12.000 --> 00:01:14.000]  香港的人真的脾氣好不好
[00:01:14.000 --> 00:01:16.000]  你自己想想
[00:01:16.000 --> 00:01:18.000]  無論在家
[00:01:18.000 --> 00:01:20.000]  甚至
[00:01:20.000 --> 00:01:22.000]  在工作的環境
[00:01:22.000 --> 00:01:24.000]  在地鐵
[00:01:24.000 --> 00:01:26.000]  在巴士
[00:01:26.000 --> 00:01:28.000]  我們聽到人聊天
[00:01:28.000 --> 00:01:30.000]  有時候甚至你很驚訝
[00:01:30.000 --> 00:01:32.000]  發覺自己
[00:01:32.000 --> 00:01:34.000]  都很暴躁
[00:01:34.000 --> 00:01:36.000]  就是很好
[00:01:36.000 --> 00:01:38.000]  本來可以說一句話都說到
[00:01:38.000 --> 00:01:40.000]  很刻薄
[00:01:40.000 --> 00:01:42.000]  很不耐煩的聲氣
[00:01:42.000 --> 00:01:44.000]  而且
[00:01:44.000 --> 00:01:46.000]  為什麼不可以說得
[00:01:46.000 --> 00:01:48.000]  比較柔和一點
[00:01:48.000 --> 00:01:50.000]  比較鼓勵一點
[00:01:50.000 --> 00:01:52.000]  可以安慰一點
[00:01:52.000 --> 00:01:54.000]  這個就是我自己
[00:01:54.000 --> 00:01:56.000]  心裡很想重新
[00:01:56.000 --> 00:01:58.000]  和大家一起
[00:01:58.000 --> 00:02:00.000]  在聖經神的說話裡
[00:02:00.000 --> 00:02:02.000]  再看看這個問題
[00:02:02.000 --> 00:02:04.000]  究竟
[00:02:04.000 --> 00:02:06.000]  基督徒
[00:02:06.000 --> 00:02:08.000]  可不可以
[00:02:08.000 --> 00:02:10.000]  應不應該
[00:02:10.000 --> 00:02:12.000]  發怒呢
[00:02:12.000 --> 00:02:14.000]  我們先來問一個問題
[00:02:14.000 --> 00:02:16.000]  發怒是不是好事呢
[00:02:16.000 --> 00:02:18.000]  發怒一定不是好事
[00:02:18.000 --> 00:02:20.000]  沒有人覺得發怒是會快樂的事
[00:02:20.000 --> 00:02:22.000]  也不會說
[00:02:22.000 --> 00:02:24.000]  發怒發得真是好事
[00:02:24.000 --> 00:02:26.000]  不會的
[00:02:26.000 --> 00:02:28.000]  所以我們說發怒
[00:02:28.000 --> 00:02:30.000]  其實有很多的陷阱
[00:02:30.000 --> 00:02:32.000]  你和我都知道的
