
[00:00:00.000 --> 00:00:05.480]  好 等一會讓我們在聆聽主導的意思
[00:00:05.480 --> 00:00:08.920]  我們一起再次低頭同心禱告
[00:00:08.920 --> 00:00:10.200]  仰望我們主愛的神
[00:00:10.200 --> 00:00:14.680]  父神多謝你讓我們再次打開你的啟示
[00:00:14.680 --> 00:00:17.280]  讓我們在當中去明白
[00:00:17.280 --> 00:00:20.680]  上主你怎樣藉著 但以你
[00:00:20.680 --> 00:00:24.520]  來引導你的僕人
[00:00:24.520 --> 00:00:26.360]  來報革 來殺亡
[00:00:26.360 --> 00:00:28.560]  一步一步越來越靠近你
[00:00:28.560 --> 00:00:34.320]  作為信徒 特別是在今天這個時代當中
[00:00:34.320 --> 00:00:39.880]  藉此學習如何去面對一個這樣的角色
[00:00:39.880 --> 00:00:45.080]  我們常常將全福音掛在口邊
[00:00:45.080 --> 00:00:51.160]  究竟福音如何真正能夠去到人的生命裏面
[00:00:51.160 --> 00:00:56.280]  能夠將上帝你要請的人更新過來
[00:00:56.280 --> 00:01:00.120]  為此祈求主你透過這段聖經
[00:01:00.120 --> 00:01:03.560]  給我們一個更精準的學習
[00:01:03.560 --> 00:01:07.400]  求你的帶領無論先上先下
[00:01:07.400 --> 00:01:11.560]  聽的 講的 都同夢主你的忍福
[00:01:11.560 --> 00:01:15.240]  禱告奉靠主耶穌的律 不成名自求
[00:01:15.240 --> 00:01:16.240]  阿們
[00:01:16.240 --> 00:01:23.680]  當一個人處於人生的如日方中的時候
[00:01:23.680 --> 00:01:30.080]  不知道你對未來還會有什麼想法呢?
[00:01:30.080 --> 00:01:34.080]  倘若你在這樣的情況之下
[00:01:34.080 --> 00:01:37.680]  有一個人告訴你
[00:01:37.680 --> 00:01:42.280]  你將會逐漸步入墮落的階段
[00:01:42.280 --> 00:01:45.680]  甚至全盤會失去的話
[00:01:45.680 --> 00:01:50.480]  你的發展前途已經到了盡頭
[00:01:50.480 --> 00:01:55.080]  你又會有什麼回應呢?
[00:01:55.080 --> 00:01:58.680]  尤其是在這樣的情況之下
[00:01:58.680 --> 00:02:01.480]  當你知道自己的盡頭已經到了
[00:02:01.480 --> 00:02:06.080]  而傳遞這個訊息或告訴你的這個人
[00:02:06.080 --> 00:02:10.480]  將這樣的惡信帶到你身邊的時候
[00:02:10.480 --> 00:02:14.080]  你對他的態度又會怎樣呢?
[00:02:14.080 --> 00:02:18.080]  你會恨之於入骨
[00:02:18.080 --> 00:02:24.080]  還是嘗試去聽他所說的話
[00:02:24.080 --> 00:02:29.080]  看看還有什麼地方可以實施實行呢?
[00:02:29.080 --> 00:02:32.080]  這就是今天我們一起去看
[00:02:32.080 --> 00:02:34.480]  但以你書第二章
[00:02:34.480 --> 00:02:38.480]  從第36節的下半節至第45節裏面
[00:02:38.480 --> 00:02:41.480]  我們要去學習的一個題目
[00:02:41.480 --> 00:02:43.280]  我相信這個題目
[00:02:43.280 --> 00:02:45.680]  在這個時代裏面
[00:02:45.680 --> 00:02:47.880]  甚至在你的生活當中
[00:02:47.880 --> 00:02:49.880]  在你的工作場所裏面
[00:02:49.880 --> 00:02:51.280]  都可能用得到的
[00:02:51.280 --> 00:02:54.080]  特別是我們看到現在這個世界
[00:02:54.080 --> 00:02:59.680]  逐漸走入到一個經濟衰退的步伐
[00:02:59.680 --> 00:03:04.480]  減薪、裁員、公司倒閉
[00:03:04.480 --> 00:03:11.080]  已經是一浪接一浪地流傳在這個世界裏面
[00:03:11.080 --> 00:03:15.280]  傳在我們的社群之間
[00:03:15.280 --> 00:03:18.680]  我們不需要很大的能耐
[00:03:18.680 --> 00:03:20.880]  已經可以預知到這個世界
[00:03:20.880 --> 00:03:24.680]  將來會有一個怎樣類似的發展
[00:03:24.680 --> 00:03:29.280]  但如果你就是知道這個事實的人
[00:03:29.280 --> 00:03:30.880]  特別是在你公司裏面
[00:03:30.880 --> 00:03:36.280]  你知道你在服務的這間公司
[00:03:36.280 --> 00:03:40.880]  正在走入破產甚至倒閉的邊緣的時候
[00:03:40.880 --> 00:03:48.680]  你會怎樣向你的公司位高權重的人
[00:03:48.680 --> 00:03:50.680]  去傳達這個訊息呢?
[00:03:50.680 --> 00:03:54.480]  最近大家最喜歡的就是去探訪的一間公司
[00:03:54.480 --> 00:03:55.480]  叫做黑神碑
[00:03:55.480 --> 00:04:00.080]  很多東西因為倒閉都便宜了
[00:04:00.080 --> 00:04:03.680]  我原本都去看見有幾張椅子
[00:04:03.680 --> 00:04:05.680]  我家裏有幾張椅子破了
[00:04:05.680 --> 00:04:08.280]  所以想去看看有沒有椅子賣
[00:04:08.280 --> 00:04:11.080]  不去又為何事
[00:04:11.080 --> 00:04:13.680]  一去見到有些人惡形惡相
[00:04:13.680 --> 00:04:16.680]  我見到一張椅子準備想買
[00:04:16.680 --> 00:04:19.680]  誰知那個人立即從遠處跳出來
[00:04:19.680 --> 00:04:22.080]  罵了我一頓不讓我買
[00:04:22.080 --> 00:04:23.680]  因為那張椅子是他的
[00:04:23.680 --> 00:04:26.480]  我懶得跟別人爭吵
[00:04:26.480 --> 00:04:29.280]  為了那張椅子就給他
[00:04:29.280 --> 00:04:31.680]  他真是很惡
[00:04:31.680 --> 00:04:34.480]  這個世界的人走向這樣的局面
[00:04:34.480 --> 00:04:37.680]  就算想買一張椅子都有這樣的情況
[00:04:37.680 --> 00:04:40.680]  經濟走向這樣的地步
[00:04:40.680 --> 00:04:44.680]  頂尖梅直接會對你有影響
[00:04:44.680 --> 00:04:49.480]  如果你在位份要去進行決策性的事
[00:04:49.480 --> 00:04:51.480]  甚至報告消息的時候
[00:04:51.480 --> 00:04:53.480]  你會怎樣去處理呢?
[00:04:53.480 --> 00:04:56.480]  所以今日我們講道的題目叫做
[00:04:56.480 --> 00:05:00.480]  如何處理惡信
[00:05:00.480 --> 00:05:03.680]  將來透過這段聖經一起去看看
[00:05:03.680 --> 00:05:09.280]  無論你是那個將要傳這個惡信的人
[00:05:09.280 --> 00:05:13.680]  或者你是那個會收聽接收這個惡信的人
[00:05:13.680 --> 00:05:18.080]  你是怎樣去參與在上帝設計的
[00:05:18.080 --> 00:05:19.880]  在這個時代裏面
[00:05:19.880 --> 00:05:24.480]  而我們希望透過但爾利他們這一次的侍奉
