
[00:00:00.000 --> 00:00:07.520]  我們今天是看一段聖經
[00:00:07.520 --> 00:00:10.520]  就是全道書第十一章
[00:00:10.520 --> 00:00:13.880]  從敬畏到感恩,從感恩到喜樂
[00:00:13.880 --> 00:00:19.920]  有位女士要出差去紐約做生意
[00:00:19.920 --> 00:00:24.520]  她去到三環市機場準備坐飛機
[00:00:24.520 --> 00:00:30.520]  時間還沒到,所以她就買了一小包的曲奇
[00:00:30.520 --> 00:00:35.520]  買了一份報紙,找到咖啡廠去談一下
[00:00:35.520 --> 00:00:42.520]  拿報紙來看的時候,忽然間聽到有些沙沙聲的聲音
[00:00:42.520 --> 00:00:46.520]  有點好奇,在報紙上看一下
[00:00:46.520 --> 00:00:50.520]  不看由自可,一看嚇了一跳
[00:00:50.520 --> 00:00:56.520]  有一個穿著西裝,斯斯文文的男人
[00:00:56.520 --> 00:01:00.520]  竟然偷他的曲奇餅吃
[00:01:00.520 --> 00:01:05.520]  拿了曲奇餅,拿了一塊,然後沙沙聲地吃
[00:01:05.520 --> 00:01:09.520]  不聞自取,視為賊也
[00:01:09.520 --> 00:01:12.520]  這個女士真是瘋狂
[00:01:12.520 --> 00:01:15.520]  但是想想,不要出聲了
[00:01:15.520 --> 00:01:19.520]  兩個大人為了曲奇餅吵架,有沒有搞錯啊?
[00:01:19.520 --> 00:01:25.520]  所以忍住,拿著手推曲奇餅到自己那邊
[00:01:25.520 --> 00:01:29.520]  示意他,是我的,你不要拿
[00:01:29.520 --> 00:01:33.520]  他自己拿了一塊來吃
[00:01:33.520 --> 00:01:38.520]  一分鐘不夠,又聽到沙沙聲
[00:01:38.520 --> 00:01:41.520]  他去裝一裝,又是那個男人
[00:01:41.520 --> 00:01:45.520]  又拿了曲奇餅回到那邊
[00:01:45.520 --> 00:01:49.520]  又拿了曲奇餅來吃,哇,他激氣
[00:01:49.520 --> 00:01:53.520]  但是也忍住,又拿回頭
[00:01:53.520 --> 00:01:57.520]  於是就像扯大藍一樣,曲奇餅就走來走去
[00:01:57.520 --> 00:02:01.520]  最後只剩下一塊
[00:02:01.520 --> 00:02:05.520]  這個男人就拿了最後一塊出來
[00:02:05.520 --> 00:02:09.520]  就抹開一半,自己吃一半
[00:02:09.520 --> 00:02:13.520]  推一半給這個女士
