
[00:00:00.000 --> 00:00:09.500]  我們今天其中一個分題就是自由和放縱
[00:00:09.500 --> 00:00:13.100]  大家怎麼看什麼叫自由
[00:00:13.100 --> 00:00:17.780]  如果有人問你自由的意思是什麼
[00:00:17.780 --> 00:00:19.580]  你會怎麼回答
[00:00:19.580 --> 00:00:23.540]  自由是否做什麼都可以
[00:00:23.540 --> 00:00:27.420]  有人說額頭 有人說領頭
[00:00:27.420 --> 00:00:29.980]  如果自由不是做什麼都可以
[00:00:29.980 --> 00:00:33.500]  那放縱是什麼呢
[00:00:33.500 --> 00:00:36.020]  放縱可能就是做什麼都可以
[00:00:36.020 --> 00:00:37.980]  自把自為
[00:00:37.980 --> 00:00:42.620]  今天讓我們從聖經、保羅教到哥爾摩教會
[00:00:42.620 --> 00:00:44.780]  我們學習什麼是自由
[00:00:44.780 --> 00:00:48.860]  但我想先問大家一個問題
[00:00:48.860 --> 00:00:52.060]  他在做什麼
[00:00:52.060 --> 00:00:55.380]  對了 廣東話叫拜山
[00:00:55.380 --> 00:00:57.820]  其實嚴格來說不是拜山
[00:00:57.820 --> 00:01:00.260]  可以說是祭祖
[00:01:00.260 --> 00:01:08.100]  我想問大家基督徒祭祖可不可以拜山
[00:01:08.100 --> 00:01:12.580]  有人領頭 有人額頭
[00:01:12.580 --> 00:01:15.140]  可不可以
[00:01:15.140 --> 00:01:19.220]  可以 有人說可以 有人說不可以
[00:01:19.220 --> 00:01:22.780]  有些年輕人說我拜山
[00:01:22.780 --> 00:01:25.300]  你又說我拜偶像
[00:01:25.300 --> 00:01:28.540]  我不拜山 你又說我不孝
[00:01:28.540 --> 00:01:30.580]  基督徒都有兩種看法
[00:01:30.580 --> 00:01:32.860]  覺得可以的 他會覺得
[00:01:32.860 --> 00:01:35.860]  這個只不過是一個尊重
[00:01:35.860 --> 00:01:38.220]  這個是一個紀念
[00:01:38.220 --> 00:01:42.380]  問題是你怎麼拜法
[00:01:42.380 --> 00:01:44.540]  因為反對的就覺得
[00:01:44.540 --> 00:01:46.700]  這個是你拜的那個
[00:01:46.700 --> 00:01:51.460]  其實是不是真的你的祖先呢
[00:01:51.460 --> 00:01:59.260]  還是背後有其他的魔鬼撒旦有關的活動呢
[00:01:59.260 --> 00:02:00.620]  以前牧者就教我們
[00:02:00.620 --> 00:02:02.860]  你可以去拜 可以去祭祖
[00:02:02.860 --> 00:02:06.940]  不過你站在一邊 然後蜜土就行了
[00:02:06.940 --> 00:02:08.660]  裝香好不好
[00:02:08.660 --> 00:02:13.100]  不好 因為這樣你參與著他們的儀式
[00:02:13.100 --> 00:02:15.820]  再問 拜祭完之後
[00:02:15.820 --> 00:02:17.700]  其實我小時候每一次
[00:02:17.700 --> 00:02:19.700]  我不是喜歡去拜山
[00:02:19.700 --> 00:02:23.180]  我是喜歡拜山之後
[00:02:23.180 --> 00:02:27.460]  那些一盒盒的燒臘仔
[00:02:27.460 --> 00:02:30.860]  還有黃色的芥辣
[00:02:30.860 --> 00:02:34.540]  還有燒鵝 有雞腿
[00:02:34.540 --> 00:02:37.940]  我每一次就是燒著兩只腿
[00:02:37.940 --> 00:02:39.100]  其實我不用燒的
[00:02:39.100 --> 00:02:41.180]  因為我媽媽一定留給我的
[00:02:41.180 --> 00:02:44.420]  我就等著那只腿
[00:02:44.420 --> 00:02:45.980]  我想問大家
[00:02:45.980 --> 00:02:49.100]  那只腿拜祭過之後的食物
[00:02:49.100 --> 00:02:50.460]  能不能吃呢?
[00:02:50.460 --> 00:02:53.180]  基督徒
[00:02:53.180 --> 00:02:54.460]  啊?
[00:02:54.460 --> 00:02:56.660]  又看你怎麼吃
[00:02:56.660 --> 00:02:57.860]  蒸嗎?
[00:02:57.860 --> 00:02:59.380]  蒸還是不用蒸
[00:02:59.380 --> 00:03:01.580]  馬上就切出來吃
[00:03:01.580 --> 00:03:03.580]  能不能吃呢?
[00:03:03.580 --> 00:03:05.140]  能吃啊
[00:03:05.140 --> 00:03:06.420]  有些人說能吃
[00:03:06.420 --> 00:03:08.580]  有些人說不能吃
[00:03:08.580 --> 00:03:10.820]  對我們來說問題不是很大
[00:03:10.820 --> 00:03:12.420]  因為你去拜山
[00:03:12.420 --> 00:03:14.860]  最多一年一次兩次
[00:03:14.860 --> 00:03:16.620]  就算吃還是不吃
[00:03:16.620 --> 00:03:19.940]  有些基督徒說扮病了
[00:03:19.940 --> 00:03:21.620]  或者說故意要上班
[00:03:21.620 --> 00:03:22.780]  所以都避開了
[00:03:22.780 --> 00:03:25.540]  對我們來說問題不大
[00:03:25.540 --> 00:03:29.620]  但對當天哥倫多教會的問題很大
[00:03:29.620 --> 00:03:31.860]  所以才有一節經文
[00:03:31.860 --> 00:03:34.220]  在哥倫多前書第八章一節說
[00:03:34.220 --> 00:03:38.260]  論到祭偶像之物
[00:03:38.260 --> 00:03:39.740]  就是說我們等著
[00:03:39.740 --> 00:03:40.380]  不是我們
