
[00:00:00.000 --> 00:00:07.440]  各位影視姐妹 各位朋友
[00:00:07.440 --> 00:00:12.160]  我們今天會繼續探討創世記的訊息
[00:00:12.160 --> 00:00:17.400]  整段創世記到底是講什麼的呢
[00:00:17.400 --> 00:00:22.440]  我想從內容中我們很清楚可以看得見
[00:00:22.440 --> 00:00:27.440]  它是講四件大事 第二是講四個人物
[00:00:27.440 --> 00:00:31.800]  四件大事包括第一 神創天造地
[00:00:31.800 --> 00:00:37.680]  第二 人類始早的犯罪 令到罪咒入到這個世界
[00:00:37.680 --> 00:00:42.480]  第三 就是洪水和救贖
[00:00:42.480 --> 00:00:45.160]  第四 就是巴別塔
[00:00:45.160 --> 00:00:51.600]  這四件大事是影響著全人類的發展
[00:00:51.600 --> 00:01:00.240]  甚至到現在為止 我們仍然承受著這四件大事的結果
[00:01:00.240 --> 00:01:05.200]  第四 第一個人物就是阿伯拉罕
[00:01:05.200 --> 00:01:08.840]  第二個人物就是阿伯拉罕的兒子 以撒
[00:01:08.840 --> 00:01:11.720]  第三個人物就是瓦國
[00:01:11.720 --> 00:01:14.600]  第四個人物就是約瑟
[00:01:14.600 --> 00:01:20.800]  創世記環繞著全球的一個人
[00:01:20.800 --> 00:01:23.160]  由一個人建立到一個家
[00:01:23.160 --> 00:01:26.280]  由一個家開始建立到一個族
[00:01:26.280 --> 00:01:31.080]  然後到春佳吉記就由一個族演變成為一個國
[00:01:31.080 --> 00:01:37.040]  今天我們會繼續探討第三件大事
[00:01:37.040 --> 00:01:39.880]  創世記裡面你可以這樣說
[00:01:39.880 --> 00:01:43.160]  是關及到全球的大事
[00:01:43.160 --> 00:01:47.080]  這件大事就是洪水
[00:01:47.080 --> 00:01:50.080]  每逢我們講到洪水的時候
[00:01:50.080 --> 00:01:55.560]  我們發覺到人的反應有沒有可能
[00:01:55.560 --> 00:02:01.160]  羅亞時代全世界的洪水是真的嗎?
[00:02:01.160 --> 00:02:05.200]  洪水真的是全世界性的嗎?
[00:02:05.200 --> 00:02:07.880]  是沒有一個地方例外嗎?
[00:02:07.880 --> 00:02:14.080]  第三個方面 除了羅亞方舟內的人和活物
[00:02:14.080 --> 00:02:21.480]  其餘所有的人 陸地上所有的活物全部都死了
[00:02:21.480 --> 00:02:24.480]  是不是真的?
[00:02:24.480 --> 00:02:30.760]  歷史上是不是真的有全世界性的洪水呢?
[00:02:30.760 --> 00:02:36.720]  各國的傳說都有記錄到有關洪水發生的事
[00:02:36.720 --> 00:02:38.920]  但是並不詳細
[00:02:38.920 --> 00:02:45.280]  但是這些都是地區性的洪水嗎?
[00:02:45.280 --> 00:02:47.200]  但是我們發覺到
[00:02:47.200 --> 00:02:51.920]  記載洪水最清楚的記錄是聖經
[00:02:51.920 --> 00:02:54.720]  這件事是比較容易理解的
[00:02:54.720 --> 00:02:58.560]  因為全世界所有各地的人都死了
[00:02:58.560 --> 00:03:00.960]  有誰能夠記錄這些事呢?
[00:03:00.960 --> 00:03:06.920]  唯獨聖經告訴我們羅亞一家仍然存活
[00:03:06.920 --> 00:03:13.760]  所以我們就留為一個有活口存在的世界
[00:03:13.760 --> 00:03:16.080]  它就能夠將它經歷過的事
