
[00:00:00.000 --> 00:00:03.000]  祈福我們求祢首先安靜我們每一個人的心
[00:00:03.000 --> 00:00:06.000]  我們經過一天的工作 一天的勞碌
[00:00:06.000 --> 00:00:09.000]  我們願意晚上來到這裡
[00:00:09.000 --> 00:00:12.000]  我們專心聽祢的話語
[00:00:12.000 --> 00:00:15.000]  雖然我們查考的事是幾千年前發生的事
[00:00:15.000 --> 00:00:18.000]  但主人祢今天還是透過祢的話語
[00:00:18.000 --> 00:00:21.000]  向我們每一個人說話
[00:00:21.000 --> 00:00:24.000]  當我們打開祢話語的時候
[00:00:24.000 --> 00:00:27.000]  我們承認我們中間有些我們不是很明白的
[00:00:27.000 --> 00:00:30.000]  但求聖靈在這裡做教導的工作
[00:00:30.000 --> 00:00:33.000]  將我們能夠明白的
[00:00:33.000 --> 00:00:36.000]  打開發出亮光
[00:00:36.000 --> 00:00:39.000]  向我們每一個人說話
[00:00:39.000 --> 00:00:42.000]  我們當中有需要提醒的求主祢提醒我們
[00:00:42.000 --> 00:00:45.000]  我們需要鼓勵的求主祢鼓勵我們
[00:00:45.000 --> 00:00:48.000]  我們願意將以下的時間恭敬交在祢的手中
[00:00:48.000 --> 00:00:51.000]  求主祢祝福 求主祢大靈
[00:00:51.000 --> 00:00:54.000]  祈禱孔主耶穌基督命求
[00:00:54.000 --> 00:00:57.000]  今晚我們會破紀錄
[00:00:57.000 --> 00:01:00.000]  我們會查三章八十二節
[00:01:00.000 --> 00:01:03.000]  一次過查了它
[00:01:03.000 --> 00:01:06.000]  但是我們還沒開始查之前
[00:01:06.000 --> 00:01:09.000]  我都想說一說給大家聽
[00:01:09.000 --> 00:01:12.000]  關於上個星期五
[00:01:12.000 --> 00:01:15.000]  你知道是美國轟炸敘利亞
[00:01:15.000 --> 00:01:18.000]  敘利亞的首都是大馬士革
[00:01:18.000 --> 00:01:21.000]  我們以前查以塞亞書的時候
[00:01:21.000 --> 00:01:24.000]  去到第十七章
[00:01:24.000 --> 00:01:27.000]  有查到大馬士革
[00:01:27.000 --> 00:01:30.000]  聖經是很清楚
[00:01:30.000 --> 00:01:33.000]  大馬士革即是敘利亞的首都
[00:01:33.000 --> 00:01:36.000]  將來是會夷為廢墟
[00:01:36.000 --> 00:01:39.000]  整個敘利亞可能沒有了
[00:01:39.000 --> 00:01:42.000]  整個大馬士革是沒有了
[00:01:42.000 --> 00:01:45.000]  以塞亞書第十七章那裡
[00:01:45.000 --> 00:01:48.000]  它說大馬士革
[00:01:48.000 --> 00:01:51.000]  已被廢去不再為城
