
[00:00:00.000 --> 00:00:08.440]  第五章 行在地上的天國五廣的第三廣
[00:00:08.440 --> 00:00:11.400]  我們說天國子民的操練
[00:00:11.400 --> 00:00:15.560]  看馬大豐第六章一至十八節的經文
[00:00:15.560 --> 00:00:18.640]  又是很熟悉的經文 我們一起讀吧
[00:00:18.640 --> 00:00:25.200]  你們要小心 不可將善事行在人的面前
[00:00:25.200 --> 00:00:27.080]  故意叫他們看見
[00:00:27.080 --> 00:00:31.040]  若是這樣就不能得你們天父的賞賜了
[00:00:31.040 --> 00:00:35.160]  所以你施捨的時候不可在你面前吹捧
[00:00:35.160 --> 00:00:39.800]  像那假冒為善的人在會堂裡和街道上所行的
[00:00:39.800 --> 00:00:42.000]  故意要得人的門鑰
[00:00:42.000 --> 00:00:47.320]  我實在告訴你們 他們已經得了他們的獎賞
[00:00:47.320 --> 00:00:52.120]  你施捨的時候不要叫左手知道右手所做的
[00:00:52.120 --> 00:00:55.440]  要叫你施捨的事行在暗中
[00:00:55.440 --> 00:00:59.080]  你負在暗中察看必然報答你
[00:00:59.080 --> 00:01:03.440]  你們禱告的時候不可像那假冒為善的人
[00:01:03.440 --> 00:01:07.000]  外站在會堂裡和十字路口上禱告
[00:01:07.000 --> 00:01:08.560]  故意叫人看見
[00:01:08.560 --> 00:01:13.320]  我實在告訴你們 他們已經得了他們的賞賜
[00:01:13.320 --> 00:01:17.280]  你禱告的時候不要進你的內屋關上門
[00:01:17.280 --> 00:01:19.720]  禱告你在暗中的父
[00:01:19.720 --> 00:01:23.440]  你負在暗中察看必然報答你
[00:01:23.440 --> 00:01:26.040]  你們禱告不可像那假冒為善的人
[00:01:26.040 --> 00:01:29.040]  用許多重複的話
[00:01:29.040 --> 00:01:32.440]  他們以為話多了就必無誰聽
[00:01:32.440 --> 00:01:34.440]  你們不可效法他們
[00:01:34.440 --> 00:01:36.440]  因為你們沒有祈求意思
[00:01:36.440 --> 00:01:40.840]  你們所需要的你們的父早已知道了
[00:01:40.840 --> 00:01:43.840]  所以你們禱告要這樣說
[00:01:43.840 --> 00:01:47.640]  我們在天上的父願人都尊你的名為聖
[00:01:47.640 --> 00:01:52.640]  願你的國光臨 願你的旨意行在地上如同行在天上
[00:01:52.640 --> 00:01:55.640]  我們日用的飲食 今日賜給我們
[00:01:55.640 --> 00:01:59.640]  免我們的債 如同我們免了人的債
[00:01:59.640 --> 00:02:04.040]  免我們的債 不叫我們遇見試探
[00:02:04.040 --> 00:02:05.640]  救我們脫離凶惡
[00:02:05.640 --> 00:02:09.640]  因為國道 權命榮耀 全是你的 直到永遠
[00:02:09.640 --> 00:02:13.640]  你們饒恕人的過犯 你們的天賦
[00:02:13.640 --> 00:02:15.640]  也必饒恕你們的過犯
[00:02:15.640 --> 00:02:17.640]  你們不饒恕人的過犯 你們的天賦
[00:02:17.640 --> 00:02:20.640]  也必不饒恕你們的過犯
[00:02:20.640 --> 00:02:25.640]  你們禁食的時候不可像那假冒不為善的人
[00:02:25.640 --> 00:02:27.640]  臉上帶著仇慾
[00:02:27.640 --> 00:02:29.640]  因為他們把臉弄得難看
[00:02:29.640 --> 00:02:32.640]  故意叫人看出他們是禁食
[00:02:32.640 --> 00:02:36.640]  我實在告訴你們 他們已經得了他們的賞賜
[00:02:36.640 --> 00:02:39.640]  你禁食的時候要梳頭洗面
[00:02:39.640 --> 00:02:41.640]  不叫人看出你禁食來
[00:02:41.640 --> 00:02:46.640]  只叫你暗中的赴漢宴 你赴在暗中擦汗
[00:02:46.640 --> 00:02:48.640]  必然報答你
[00:02:48.640 --> 00:02:49.640]  好 我們有個簡單的祈禱開始
[00:02:49.640 --> 00:02:54.640]  基本上是感謝你 感謝你自己寶貴的話語
[00:02:54.640 --> 00:02:58.640]  讓我們自己因典臨在CMC的弟兄姊妹當中
[00:02:58.640 --> 00:03:02.640]  讓我們打開你今天這個很熟悉的話語去看的時候
[00:03:02.640 --> 00:03:07.640]  你依然給我們打開眼睛 打開我們的心門
[00:03:07.640 --> 00:03:11.640]  張開你的耳朵 要聽見主你自己對我們所說的話
[00:03:11.640 --> 00:03:14.640]  來到恆在偏閣 在地上
[00:03:14.640 --> 00:03:18.640]  你們三講的時候 今天我們看粗連的課題的時候
[00:03:18.640 --> 00:03:21.640]  讓我們主你自己因典臨在我們這個當中
[00:03:21.640 --> 00:03:24.640]  多謝你 主耶穌保護我們 祈禱 阿們
[00:03:24.640 --> 00:03:31.640]  在這段經文的時間 其實那個架構是很清晰的
[00:03:31.640 --> 00:03:33.640]  我看見他講三樣東西
[00:03:33.640 --> 00:03:36.640]  第一樣就是在六章二至四節 講施捨
[00:03:36.640 --> 00:03:40.640]  第二樣就是六章五到第十五節 講禱告
[00:03:40.640 --> 00:03:44.640]  還有第六章第十六至第十八節的時間講禁食
[00:03:44.640 --> 00:03:48.640]  這三樣東西耶穌拿出來講的時候
[00:03:48.640 --> 00:03:51.640]  其實就是當時猶太人信仰
[00:03:51.640 --> 00:04:02.640]  他們很敬年的一個儲石 基石
[00:04:02.640 --> 00:04:06.640]  施捨其實每個人都會做的
[00:04:06.640 --> 00:04:13.640]  不像我們今天這樣 下個星期我們要講一堂道
[00:04:13.640 --> 00:04:16.640]  專門講十一奉獻 鼓勵人去奉獻
[00:04:16.640 --> 00:04:19.640]  鼓勵一些人為一些機構去幫忙
[00:04:19.640 --> 00:04:22.640]  鼓勵一些人有需要的弟兄姊妹
[00:04:22.640 --> 00:04:25.640]  我們的慈惠基金要做一些事
[00:04:25.640 --> 00:04:27.640]  讓他們可以有一個施捨的心
[00:04:27.640 --> 00:04:29.640]  我們要講一些道
[00:04:29.640 --> 00:04:36.640]  我們知道猶太人施捨基本上是表現他們信仰敬虔
[00:04:36.640 --> 00:04:38.640]  會做的一個活動
[00:04:38.640 --> 00:04:43.640]  禱告也是 我知道猶太人基本上一天禱告三次
[00:04:43.640 --> 00:04:55.640]  在晚上的時間 在早上的時間 在中午或者傍晚的時間
[00:04:55.640 --> 00:04:57.640]  這個傳統很有趣的
[00:04:57.640 --> 00:04:59.640]  我們不是詳細講這個東西
[00:04:59.640 --> 00:05:01.640]  但如果你有機會回去看的時候
[00:05:01.640 --> 00:05:05.640]  你打開其實在創世記的時間都會看到
[00:05:05.640 --> 00:05:08.640]  為什麼猶太人會一天禱告三次
[00:05:08.640 --> 00:05:11.640]  而在這三個時間 因為阿伯拉罕
[00:05:11.640 --> 00:05:14.640]  其實他就在傍晚的時間去禱告
[00:05:14.640 --> 00:05:18.640]  以撒他就在早上去禱告
[00:05:18.640 --> 00:05:21.640]  而我們在這個亞國的時間
[00:05:21.640 --> 00:05:26.640]  他就在歲末當中與上帝相遇
[00:05:26.640 --> 00:05:28.640]  所以猶太人很有趣
[00:05:28.640 --> 00:05:30.640]  就劃分了這三個時間
[00:05:30.640 --> 00:05:33.640]  他每天三次去做禱告
[00:05:33.640 --> 00:05:35.640]  禁食也是一樣的
[00:05:35.640 --> 00:05:37.640]  禁食當你打開路加分匯看的時間
[00:05:37.640 --> 00:05:39.640]  第十八章裡面也有提到
[00:05:39.640 --> 00:05:46.640]  猶太人每一個禮拜有兩天禁食
[00:05:46.640 --> 00:05:49.640]  週一就是禮拜一的時間
[00:05:49.640 --> 00:05:52.640]  週四禮拜四的時間他會禁食
[00:05:52.640 --> 00:05:54.640]  所以不是今天我們講禁食的時間
[00:05:54.640 --> 00:05:57.640]  是說接下來的時間會有很大的決定
[00:05:57.640 --> 00:06:00.640]  不知道上帝的旨意是怎樣呢
[00:06:00.640 --> 00:06:03.640]  好 我就禁食24小時
[00:06:03.640 --> 00:06:05.640]  禁食48小時
[00:06:05.640 --> 00:06:07.640]  做某些事情分別出來
[00:06:07.640 --> 00:06:09.640]  在那段時間我要仰望上帝
[00:06:09.640 --> 00:06:13.640]  去聽 去看 去感受上帝究竟
[00:06:13.640 --> 00:06:16.640]  要告訴我他的旨意是怎樣
[00:06:16.640 --> 00:06:17.640]  但猶太人不用的
[00:06:17.640 --> 00:06:23.640]  猶太人本身就是表現他信仰敬業的活動
[00:06:23.640 --> 00:06:26.640]  禁食一個禮拜兩次
[00:06:26.640 --> 00:06:28.640]  所以耶穌講了這三件很重要的事
[00:06:28.640 --> 00:06:31.640]  在第六章裡面帶出了
[00:06:31.640 --> 00:06:33.640]  這件事給我們看到
[00:06:33.640 --> 00:06:37.640]  究竟我們將天國要行在地上的時間
[00:06:37.640 --> 00:06:39.640]  我們有什麼可以借助呢
[00:06:39.640 --> 00:06:42.640]  耶穌所講的這三個向度
[00:06:42.640 --> 00:06:43.640]  是有些操練
[00:06:43.640 --> 00:06:46.640]  施捨 禱告和禁食
