
[00:00:00.000 --> 00:00:05.000]  因怨情仇論舊約
[00:00:05.000 --> 00:00:07.000]  李思敬博士主講
[00:00:07.000 --> 00:00:11.000]  第四講 究竟誰是負心的人
[00:00:11.000 --> 00:00:13.000]  歷史書幾實
[00:00:13.000 --> 00:00:16.000]  我們今晚這一堂開始
[00:00:16.000 --> 00:00:20.000]  就離開了摩西五經
[00:00:20.000 --> 00:00:24.000]  雖然摩西五經是我們很難的開始
[00:00:24.000 --> 00:00:29.000]  不過比較起舊約的其他部分來講
[00:00:29.000 --> 00:00:34.000]  摩西五經算是最有規矩的
[00:00:34.000 --> 00:00:39.000]  在舊約聖經的目錄排列上
[00:00:39.000 --> 00:00:43.000]  頭五遠書幾時都是排頭
[00:00:43.000 --> 00:00:47.000]  離開了摩西五經之後
[00:00:47.000 --> 00:00:54.000]  排列分類就有不同的意義
[00:00:54.000 --> 00:01:00.000]  所以今晚我們進入到舊約聖經第二部分
[00:01:00.000 --> 00:01:05.000]  這一部分我們稍後都需要加以解釋
[00:01:05.000 --> 00:01:10.000]  到舊約聖經除了我們發覺
[00:01:10.000 --> 00:01:15.000]  對於上帝的描寫
[00:01:15.000 --> 00:01:20.000]  好像令我們產生很多疑惑
[00:01:20.000 --> 00:01:23.000]  舊約的上帝很殘忍之類的問題
[00:01:23.000 --> 00:01:26.000]  我們屢見不鮮
[00:01:26.000 --> 00:01:33.000]  但其實舊約聖經的人物都構成一定的困難
[00:01:33.000 --> 00:01:37.000]  我們所習慣的
[00:01:37.000 --> 00:01:43.000]  對於一些我們尊敬的人物來說
[00:01:43.000 --> 00:01:49.000]  我們是有意無意之間會將他們完美化
[00:01:49.000 --> 00:01:55.000]  如果我們發覺一個我們認爲應該很受尊敬的人物
[00:01:55.000 --> 00:01:59.000]  突然間被我們找到他有少少的瑕疵
[00:01:59.000 --> 00:02:03.000]  或者有軟弱甚至有罪惡
[00:02:03.000 --> 00:02:08.000]  我們對這個人物的尊敬就會一落千丈
[00:02:08.000 --> 00:02:11.000]  甚至是完全沒有尊敬
[00:02:11.000 --> 00:02:13.000]  就是爲了一件很小的事
[00:02:13.000 --> 00:02:16.000]  你想想你和牧師的關係
[00:02:16.000 --> 00:02:20.000]  很多時候都是迴盪在這兩個極端中間
[00:02:20.000 --> 00:02:22.000]  沒有中間只有兩個極端
[00:02:22.000 --> 00:02:24.000]  要麼我尊敬他
[00:02:24.000 --> 00:02:28.000]  他是十全十美全香港教會最好的牧者
[00:02:28.000 --> 00:02:30.000]  要麼衰到貼地
[00:02:30.000 --> 00:02:32.000]  假冒爲善
[00:02:32.000 --> 00:02:37.000]  這樣那樣你可以增加十個八個不同的形容詞
[00:02:37.000 --> 00:02:43.000]  舊約聖經的人物不是這樣的
[00:02:43.000 --> 00:02:46.000]  記得第一堂的時候我們都講過
[00:02:46.000 --> 00:02:50.000]  他們是有血有肉的人物
[00:02:50.000 --> 00:02:54.000]  他們不是典型不是樣板
[00:02:54.000 --> 00:02:59.000]  什麼叫典型什麼叫樣板呢
[00:02:59.000 --> 00:03:03.000]  是好人就由頭到尾都是好人
[00:03:03.000 --> 00:03:08.000]  是衰人壞人由頭到尾都是衰人壞人奸人
[00:03:08.000 --> 00:03:13.000]  如果你看電影看卡通片
[00:03:13.000 --> 00:03:15.000]  我的女兒都已經開始會看了
[00:03:15.000 --> 00:03:18.000]  白雪公主一出現就知道這個是好人
[00:03:18.000 --> 00:03:20.000]  壞人什麼時候出現
[00:03:20.000 --> 00:03:25.000]  每一個人物出現第一眼就要問這個是好還是壞
[00:03:25.000 --> 00:03:29.000]  這是典型這是樣板
[00:03:29.000 --> 00:03:35.000]  典型和樣板有它的作用
[00:03:35.000 --> 00:03:40.000]  在教育的開端的時候
[00:03:40.000 --> 00:03:49.000]  我們總是會找一些沒有爭論性的舉例來解釋一些事物
[00:03:49.000 --> 00:03:55.000]  一些沒有爭論性的例子就是樣板就是典型
[00:03:55.000 --> 00:04:02.000]  但是生命人生就不是樣板和典型
[00:04:02.000 --> 00:04:07.000]  因爲我們離開了這個道理的開端
[00:04:07.000 --> 00:04:12.000]  我們進入到一個成熟的信仰的時候
[00:04:12.000 --> 00:04:17.000]  我們說過舊約聖經不是給未信的人看
[00:04:17.000 --> 00:04:20.000]  介紹他們怎麼相信耶穌基督
