
[00:00:00.000 --> 00:00:08.000]  有一年的聖誕,Benny和Lily和我們玩了一個遊戲,
[00:00:08.000 --> 00:00:11.000]  這個就是猜測香港人的職業,
[00:00:11.000 --> 00:00:13.000]  為什麼是香港人的職業呢?
[00:00:13.000 --> 00:00:15.000]  因為是用香港人的用語,
[00:00:15.000 --> 00:00:18.000]  我們離開了香港都很久很久,
[00:00:18.000 --> 00:00:21.000]  我們對香港人的用語都不是那麼熟悉,
[00:00:21.000 --> 00:00:26.000]  其中說物業管理,你猜是什麼職業呢?
[00:00:26.000 --> 00:00:32.000]  原來是看管,管本土經濟的又是什麼生意?
[00:00:32.000 --> 00:00:34.000]  原來是小販,
[00:00:34.000 --> 00:00:38.000]  租物流,物件的物流動的流,是什麼呢?
[00:00:38.000 --> 00:00:41.000]  是苦力,是孤離,
[00:00:41.000 --> 00:00:46.000]  資訊的科技,原來是賣電話,
[00:00:46.000 --> 00:00:51.000]  還有就是另類的醫藥,不是我們平時的醫藥,
[00:00:51.000 --> 00:00:55.000]  是另類的醫藥,原來是搞按摩,
[00:00:55.000 --> 00:01:01.000]  還有是搞視覺的藝術,原來是美容理髮,
[00:01:01.000 --> 00:01:07.000]  還有是創意的經濟,原來是賣翻版的東西,
[00:01:07.000 --> 00:01:12.000]  搞港澳的貿易,原來是走水貨,
[00:01:12.000 --> 00:01:16.000]  如果有間店鋪說長期都是內部裝修,
[00:01:16.000 --> 00:01:18.000]  其實已經是倒閉了,
[00:01:18.000 --> 00:01:23.000]  有人說繼續的進修,原來是沒東西做,
[00:01:23.000 --> 00:01:29.000]  也有人說想創業,原來創業就是失業的意思,
[00:01:29.000 --> 00:01:32.000]  我有一次打電話給我的朋友,
[00:01:32.000 --> 00:01:36.000]  問他吃了晚飯沒有?他說吃了,
[00:01:36.000 --> 00:01:38.000]  我問他你在做什麼?
[00:01:38.000 --> 00:01:42.000]  他說在搞高溫液流的雨理陶瓷,
[00:01:42.000 --> 00:01:46.000]  我說你不是已經退休了嗎?
[00:01:46.000 --> 00:01:48.000]  為什麼還搞這麼高科技的東西?
[00:01:48.000 --> 00:01:53.000]  他笑話說其實他在廚房幫他太太洗碗,
[00:01:53.000 --> 00:01:56.000]  所謂的高溫液流就是找熱水,
[00:01:56.000 --> 00:02:00.000]  雨理陶瓷就是洗碗洗碟,
[00:02:00.000 --> 00:02:04.000]  舌頭說出來的話真的很好聽,
[00:02:04.000 --> 00:02:08.000]  可以是讚美人,可以是罵人,
[00:02:08.000 --> 00:02:12.000]  可以是安慰人,也可以是傷害人,
[00:02:12.000 --> 00:02:16.000]  如果你是很有智慧的運用你的舌頭,
[00:02:16.000 --> 00:02:18.000]  可能你可以成大事,
[00:02:18.000 --> 00:02:21.000]  但是如果你不是這麼有智慧,
[00:02:21.000 --> 00:02:23.000]  你可能會壞了大事,
[00:02:23.000 --> 00:02:28.000]  在《針研》裡面超過90字告訴我們
[00:02:28.000 --> 00:02:31.000]  舌頭的力量、舌頭的重要性,
[00:02:31.000 --> 00:02:34.000]  也是《針研》裡面最普遍的教導,
[00:02:34.000 --> 00:02:39.000]  今天就是要和大家講舌頭的智慧,
[00:02:39.000 --> 00:02:42.000]  在《針研》的18章21節,
[00:02:42.000 --> 00:02:45.000]  說生死在舌頭的權下,
[00:02:45.000 --> 00:02:48.000]  這個就是我們今天的經文,
[00:02:48.000 --> 00:02:51.000]  舌頭真的很有力量,
[00:02:51.000 --> 00:02:54.000]  可以掌管人的生死,
[00:02:54.000 --> 00:02:56.000]  所以我們都要來學習,
[00:02:56.000 --> 00:02:58.000]  怎樣運用我們的舌頭,
[00:02:58.000 --> 00:03:01.000]  在《針研》的6章,16至19節,
