
[00:00:00.000 --> 00:00:06.000]  最大的冤假錯案
[00:00:06.000 --> 00:00:11.000]  一提起冤案,我就想起最近在香港發生的一件事
[00:00:11.000 --> 00:00:17.000]  就是香港的前特首曾蔭權坐牢
[00:00:17.000 --> 00:00:22.000]  後來終審法院說他在冤案中放了牢
[00:00:22.000 --> 00:00:25.000]  事情是這樣的,在2012年
[00:00:25.000 --> 00:00:30.000]  曾蔭權預備了7月離任
[00:00:30.000 --> 00:00:33.000]  離任後退休,他在哪裏居住呢?
[00:00:33.000 --> 00:00:38.000]  他想到不如去中國深圳的福田區
[00:00:38.000 --> 00:00:42.000]  在那裏有一間東海花園的單位
[00:00:42.000 --> 00:00:48.000]  三層樓居住,作為他退休的單位
[00:00:48.000 --> 00:00:53.000]  當時這間屋的業主是香港數碼廣播公司
[00:00:53.000 --> 00:00:57.000]  有限公司的股東,叫做王楚標
[00:00:57.000 --> 00:01:01.000]  雖然曾蔭權一樣要付房租
[00:01:01.000 --> 00:01:05.000]  是80萬人民幣一年的房租
[00:01:05.000 --> 00:01:10.000]  不是很貴,但也不算是認真便宜
[00:01:10.000 --> 00:01:17.000]  但王楚標答應,本來這三層樓是作為會所的會址
[00:01:17.000 --> 00:01:19.000]  不是一個住宅
[00:01:19.000 --> 00:01:26.000]  所以他跟曾蔭權說,我願意去裝修這間屋給你住
[00:01:26.000 --> 00:01:29.000]  所以用了一大筆錢裝修這間屋
[00:01:29.000 --> 00:01:33.000]  因為他想著,我退休了
[00:01:33.000 --> 00:01:36.000]  我租這間屋,我又要付租金
[00:01:36.000 --> 00:01:40.000]  業主裝修是天公地義的事
[00:01:40.000 --> 00:01:48.000]  他沒有將這件事申報給當時的行政會
[00:01:48.000 --> 00:01:54.000]  因為這個原因,他被控兩個大罪
[00:01:54.000 --> 00:01:57.000]  當他不再做特首的時候
[00:01:57.000 --> 00:02:00.000]  梁振英政府控他兩個罪
[00:02:00.000 --> 00:02:04.000]  第一是收受利益,即是所謂賄賂貪污
[00:02:04.000 --> 00:02:08.000]  理由是因為王楚標在2010年的時候
