
[00:00:00.000 --> 00:00:11.000]  詩篇是猶太人敬拜的祈禱文,公土書,
[00:00:11.000 --> 00:00:20.000]  借用英國聖公會在改革運動之後一個很大的成果,
[00:00:20.000 --> 00:00:25.000]  就是他們寫了公土書,用到今天。
[00:00:25.000 --> 00:00:33.000]  猶太人的聖殿敬拜不是亂來的,
[00:00:33.000 --> 00:00:38.000]  尤其是在他們回歸重建第二聖殿的時候,
[00:00:38.000 --> 00:00:41.000]  以斯拉基尼希米基告訴我們,
[00:00:41.000 --> 00:00:49.000]  他們很著緊不單重建那個聖殿的建築物,
[00:00:49.000 --> 00:00:58.000]  並且要重建這個敬拜的秩序,敬拜的禮儀,
[00:00:58.000 --> 00:01:08.000]  敬拜的聖公人員,敬拜的師班,敬拜的祭司利美人,
[00:01:08.000 --> 00:01:14.000]  敬拜的教導,敬拜的師哥。
[00:01:14.000 --> 00:01:18.000]  所以你讀聖經的時候你會留意到他們很認真,
[00:01:18.000 --> 00:01:30.000]  在重建聖殿的同時,他們重建敬拜的做法。
[00:01:30.000 --> 00:01:41.000]  大衛的詩篇,我們時時的印象就是大衛小時候就寫,
[00:01:41.000 --> 00:01:45.000]  他看羊的時候就說「耶和華是我的牧者」,
[00:01:45.000 --> 00:01:51.000]  所以大衛生平,大衛的詩篇已經寫出來了,
[00:01:51.000 --> 00:01:55.000]  大衛的詩篇不一定是大衛寫的,
[00:01:55.000 --> 00:02:04.000]  大衛的詩篇其實很多可以是別人寫了獻情給他的,
[00:02:04.000 --> 00:02:07.000]  為皇帝寫的詩篇也可以,
[00:02:07.000 --> 00:02:15.000]  大衛的詩篇不是他個人的情詩,書情詩,自己的作品,
[00:02:15.000 --> 00:02:21.000]  收起來收起來,後來才拿出來印刷,發行,不是的。
[00:02:21.000 --> 00:02:27.000]  其實大衛的詩篇每一首都是聖殿敬拜,
[00:02:27.000 --> 00:02:32.000]  大家一起唱,一起祈禱。
[00:02:32.000 --> 00:02:38.000]  你說唱詩就唱詩,祈禱就祈禱,兩樣東西是一樣東西。
[00:02:38.000 --> 00:02:46.000]  今天我們有擴音器,所以說話小聲一點,就較大一點的音量,
[00:02:46.000 --> 00:02:50.000]  以前沒有擴音器的,整個聖殿那麼大,
[00:02:50.000 --> 00:02:58.000]  怎樣聽到祭司說話,唱出來,唱出來就聽到了。
[00:02:58.000 --> 00:03:06.000]  所以在詩篇的記載,我們見到以色列人的敬拜,
[00:03:06.000 --> 00:03:13.000]  從大衛時期第一個聖殿的敬拜已經有詩篇了,
[00:03:13.000 --> 00:03:18.000]  不過,你坐穩一點,我解釋給你聽,你不用怕。
