
[00:00:00.000 --> 00:00:02.000]  今天是猜拳的主日
[00:00:02.000 --> 00:00:07.560]  所以我很想和大家分享一節猜拳的很重要
[00:00:07.560 --> 00:00:10.060]  或者甚至可能讀得最多的經文
[00:00:10.060 --> 00:00:13.180]  就是剛才我們所讀的那段聖經裏面
[00:00:13.180 --> 00:00:15.880]  《史特恒傳》的第一章第八節
[00:00:15.880 --> 00:00:18.480]  如果你有聖經的話 請你打開
[00:00:18.480 --> 00:00:20.980]  這條影片的資訊欄
[00:00:20.980 --> 00:00:22.640]  然後你會看到
[00:00:22.640 --> 00:00:25.280]  《史特恒傳》的第一章第八節
[00:00:25.280 --> 00:00:30.400]  如果你有聖經的話 請你打開
[00:00:30.400 --> 00:00:33.520]  新約的《史特恒傳》的第一章
[00:00:33.520 --> 00:00:36.840]  我們第六節至第十一節
[00:00:36.840 --> 00:00:40.840]  是今天我和大家一起會思想的經文
[00:00:40.840 --> 00:00:42.400]  當我們讀到第八節的時候
[00:00:42.400 --> 00:00:44.800]  我相信你和我都會很熟悉
[00:00:44.800 --> 00:00:49.320]  我們都很記得我們的主耶穌說
[00:00:49.320 --> 00:00:53.680]  但是聖靈降臨在我們身上的時候
[00:00:53.680 --> 00:00:55.600]  我們就必得能力
[00:00:55.600 --> 00:00:57.360]  並且要在耶路撒冷
[00:00:57.360 --> 00:01:01.280]  從大轉地 撒瑪利亞直到地極
[00:01:01.280 --> 00:01:03.120]  做耶穌基督的見證
[00:01:03.120 --> 00:01:04.720]  是不是很熟悉這節聖經?
[00:01:04.720 --> 00:01:05.680]  沒錯
[00:01:05.680 --> 00:01:09.280]  這節聖經是我們猜拳的聚會裏面
[00:01:09.280 --> 00:01:13.920]  和這個信息當中時常引的一節聖經
[00:01:13.920 --> 00:01:16.720]  很多時候我們聽到這一節的聖經
[00:01:16.720 --> 00:01:20.600]  我們就會將重點放在地域的擴展 是吧
[00:01:20.600 --> 00:01:22.840]  那我沒辦法 你不會留意到的
[00:01:22.840 --> 00:01:27.840]  耶路撒冷 由大傳地 撒瑪利亞直到地極
[00:01:27.840 --> 00:01:31.800]  所以我們今天一樣要去到遠方的時候
[00:01:31.800 --> 00:01:33.280]  都是我們的心願
[00:01:33.280 --> 00:01:38.000]  越來越多的民族可以聽到神自己的福音
[00:01:38.000 --> 00:01:40.960]  這個相信弟兄姊妹都很熟悉
[00:01:40.960 --> 00:01:44.920]  也都很支持 也都很深信的一段聖經
[00:01:44.920 --> 00:01:47.760]  不過今天我想用這一節的聖經的時候
[00:01:47.760 --> 00:01:49.640]  不是再說這一節聖經
