
[00:00:00.000 --> 00:00:05.240]  福底節目讓我們在靈天主導以先
[00:00:05.240 --> 00:00:06.600]  讓我們一起同心低頭
[00:00:06.600 --> 00:00:08.000]  禱告仰望主外神
[00:00:08.000 --> 00:00:09.600]  慈悲天父多謝你
[00:00:09.600 --> 00:00:11.200]  讓我們能夠再次回到
[00:00:11.200 --> 00:00:13.200]  在你的說話面前的學習
[00:00:13.200 --> 00:00:15.600]  求主你的靈與我同在
[00:00:15.600 --> 00:00:18.400]  讓我們能夠聽到的是主你的信息
[00:00:18.400 --> 00:00:22.000]  能夠聽見的是上帝你的請救
[00:00:22.000 --> 00:00:23.800]  能夠聽到的
[00:00:23.800 --> 00:00:26.400]  並且學曉如何在這個地上而活的
[00:00:26.400 --> 00:00:27.600]  是你的指示
[00:00:27.600 --> 00:00:29.400]  求你與我們同在
[00:00:29.400 --> 00:00:31.200]  每一個屬於主你的人
[00:00:31.200 --> 00:00:33.400]  都能夠在今天同蒙恩福
[00:00:33.400 --> 00:00:37.000]  我們將這段時間無論說的、聽的
[00:00:37.000 --> 00:00:40.600]  都能夠在聖靈當中同蒙恩慰
[00:00:40.600 --> 00:00:42.000]  禱告奉耶靠主耶
[00:00:42.000 --> 00:00:43.800]  俗叫得聖的名字而靠
[00:00:43.800 --> 00:00:44.600]  阿門
[00:00:44.600 --> 00:00:48.000]  在今天我們回教會
[00:00:48.000 --> 00:00:50.400]  很多時候就有很多期望
[00:00:50.400 --> 00:00:52.400]  教會的信徒回教會
[00:00:52.400 --> 00:00:56.000]  就想教會給點東西他
[00:00:56.000 --> 00:00:58.200]  我自己這樣看
[00:00:59.200 --> 00:01:01.000]  當我們活在一個
[00:01:01.000 --> 00:01:03.000]  今天的教會環境裏面
[00:01:03.000 --> 00:01:04.200]  如果我們帶著這份
[00:01:04.200 --> 00:01:06.000]  只是在教會想
[00:01:06.000 --> 00:01:08.800]  祈求教會給點東西你的時候
[00:01:08.800 --> 00:01:10.400]  有沒有想過我其實
[00:01:10.400 --> 00:01:13.600]  同樣是上帝要我在這個群體裏面
[00:01:13.600 --> 00:01:18.400]  去付出給上帝的指紋呢
[00:01:18.400 --> 00:01:19.800]  很可惜的很多時候
[00:01:19.800 --> 00:01:21.800]  人只是看自己的角度
[00:01:21.800 --> 00:01:26.200]  這個也可以說是罪人本身的特點
[00:01:26.200 --> 00:01:27.800]  於是回到教會
[00:01:27.800 --> 00:01:32.200]  每個人就算有些看似很虔誠的信徒也好
[00:01:32.200 --> 00:01:34.200]  他們有時候覺得
[00:01:34.200 --> 00:01:37.000]  我來到這裏要買服務
[00:01:37.000 --> 00:01:41.200]  於是乎即使是回到一間教會裏面
[00:01:41.200 --> 00:01:42.800]  他們覺得每一樣東西
[00:01:42.800 --> 00:01:44.600]  其實我都要有些回報
[00:01:44.600 --> 00:01:47.200]  有些東西我要得到才能走
[00:01:47.200 --> 00:01:50.200]  甚至有傳道人覺得回到教會裏面
[00:01:50.200 --> 00:01:52.200]  其實好像是賣東西給信徒
[00:01:52.200 --> 00:01:55.200]  讓他可以買到東西回家
[00:01:55.200 --> 00:02:00.200]  但是究竟教會是不是這樣的存在呢
[00:02:00.200 --> 00:02:02.800]  今天我會和大家一起思想這個題目
[00:02:02.800 --> 00:02:05.200]  我相信大家都會很熟悉
[00:02:05.200 --> 00:02:06.200]  這個題目叫做
[00:02:06.200 --> 00:02:12.000]  堅持到底的悶吼才被拯救
[00:02:12.000 --> 00:02:13.200]  我們想去看看
[00:02:13.200 --> 00:02:17.600]  究竟今天教會活在這個地上的角色
[00:02:17.600 --> 00:02:19.600]  甚至去反映出
[00:02:19.600 --> 00:02:22.600]  究竟今天我們自己活在教會裏面的時候
[00:02:22.600 --> 00:02:25.600]  當盡的責任是什麼
[00:02:25.600 --> 00:02:28.600]  而不是只是知道來到教會裏面
[00:02:28.600 --> 00:02:31.600]  好像我出去飲茶
[00:02:31.600 --> 00:02:35.600]  我給了幾千人幾千的金錢
[00:02:35.600 --> 00:02:37.600]  我就買到幾好的水準
[00:02:37.600 --> 00:02:39.600]  你知道現在尤其是那些人
[00:02:39.600 --> 00:02:41.600]  很喜歡吃的
[00:02:41.600 --> 00:02:43.600]  人莫強如吃虧
[00:02:43.600 --> 00:02:48.600]  所以你看YouTube的短片
[00:02:48.600 --> 00:02:51.600]  都是教你去哪裏有什麼東西吃
[00:02:51.600 --> 00:02:54.600]  給什麼錢,值不值,去討論這件事
[00:02:54.600 --> 00:02:57.600]  教會今天如果順途回去以為
[00:02:57.600 --> 00:03:01.600]  我奉獻了一些錢給教會
[00:03:01.600 --> 00:03:04.600]  教會就要有什麼東西給我
[00:03:04.600 --> 00:03:05.600]  既然我回來教會
[00:03:05.600 --> 00:03:09.600]  我就要買一個屬靈的一個案位
[00:03:09.600 --> 00:03:11.600]  我來教會我給了一些錢
[00:03:11.600 --> 00:03:12.600]  我奉獻了錢
[00:03:12.600 --> 00:03:15.600]  於是我就要有一個怎樣的環境
[00:03:15.600 --> 00:03:19.600]  去幫助我使我覺得很神聖
