
[00:00:00.000 --> 00:00:02.000]  各位電影節的平安
[00:00:02.000 --> 00:00:04.000]  在今天講到之前
[00:00:04.000 --> 00:00:06.000]  我想和大家有個祈禱
[00:00:06.000 --> 00:00:08.000]  這個祈禱就是特別為了
[00:00:08.000 --> 00:00:10.000]  大家知道在星期五
[00:00:10.000 --> 00:00:12.000]  在法國所發生的事情
[00:00:12.000 --> 00:00:16.000]  六次連環的恐怖襲擊
[00:00:16.000 --> 00:00:20.000]  帶來127條性命的死亡
[00:00:20.000 --> 00:00:22.000]  200多位的朋友受傷
[00:00:22.000 --> 00:00:24.000]  我們雖然不認識他們
[00:00:24.000 --> 00:00:27.000]  但是我們都關心他們生命的情況
[00:00:27.000 --> 00:00:30.000]  我想大家都一起同心為他們祈禱
[00:00:30.000 --> 00:00:32.000]  大家可以自己稍為禱告
[00:00:32.000 --> 00:00:35.000]  我接著再和大家禱告
[00:00:35.000 --> 00:00:37.000]  在天上掌管生命
[00:00:37.000 --> 00:00:40.000]  掌管人類歷史的主
[00:00:40.000 --> 00:00:43.000]  我們深相信
[00:00:43.000 --> 00:00:46.000]  就算地上洪水氾濫
[00:00:46.000 --> 00:00:49.000]  你仍然坐著你的寶座
[00:00:49.000 --> 00:00:52.000]  你的權柄仍然立定在天上
[00:00:52.000 --> 00:00:55.000]  有人以為你已經死了
[00:00:55.000 --> 00:01:00.000]  有人以為你自己拖延了自己的審判
[00:01:00.000 --> 00:01:02.000]  但是主啊
[00:01:02.000 --> 00:01:04.000]  你告訴我們
[00:01:04.000 --> 00:01:06.000]  你不是拖延
[00:01:06.000 --> 00:01:09.000]  你只是讓人有機會悔改
[00:01:09.000 --> 00:01:13.000]  讓人能夠回轉歸向你
[00:01:13.000 --> 00:01:16.000]  主我們同心今天
[00:01:16.000 --> 00:01:19.000]  紀念在法國所經歷的事情
[00:01:19.000 --> 00:01:21.000]  主我們知道這些消息
[00:01:21.000 --> 00:01:23.000]  我們心裡都難過
[00:01:23.000 --> 00:01:26.000]  雖然我們未必認識這些受死傷的人
[00:01:26.000 --> 00:01:30.000]  但是如果見到生命無辜的死亡
[00:01:30.000 --> 00:01:32.000]  主我們都在你面前
[00:01:32.000 --> 00:01:35.000]  很願意同心向你呼求
[00:01:35.000 --> 00:01:37.000]  主啊求你自己親自的憐憫
[00:01:37.000 --> 00:01:39.000]  很多傷患者
[00:01:39.000 --> 00:01:41.000]  現今仍然在醫院
[00:01:41.000 --> 00:01:45.000]  求你自己賜下你自己的平安
[00:01:45.000 --> 00:01:47.000]  賜下你自己的恩惠
[00:01:47.000 --> 00:01:49.000]  讓他們得到醫治
[00:01:49.000 --> 00:01:51.000]  保守很多醫護人員
[00:01:51.000 --> 00:01:53.000]  給他們有力量
[00:01:53.000 --> 00:01:55.000]  給他們有那份智慧和愛心
[00:01:55.000 --> 00:01:58.000]  來輔助這班傷患者
[00:01:58.000 --> 00:02:01.000]  求你同樣安慰很多死傷者的家人
[00:02:01.000 --> 00:02:03.000]  他們的朋友
[00:02:03.000 --> 00:02:05.000]  在突然間失去至親的過程中
[00:02:05.000 --> 00:02:08.000]  主啊你自己都安慰他們
[00:02:08.000 --> 00:02:10.000]  也祈求你自己保守他們的心
[00:02:10.000 --> 00:02:13.000]  能夠有一種力量去面對
[00:02:13.000 --> 00:02:17.000]  不至於產生很多不必要的仇恨
[00:02:17.000 --> 00:02:22.000]  也不至於自己在悲哀當中灰心
[00:02:22.000 --> 00:02:25.000]  主啊你自己都堅固他們的心靈
[00:02:25.000 --> 00:02:28.000]  能夠繼續堅定地走人生的路
[00:02:28.000 --> 00:02:31.000]  主我們願望你自己在其中
[00:02:31.000 --> 00:02:34.000]  你親自幫助法國的政府
[00:02:34.000 --> 00:02:37.000]  還有可能有很多其他的國家
[00:02:37.000 --> 00:02:41.000]  當他們同樣面對著很多不同的恐怖襲擊的時候
[00:02:41.000 --> 00:02:45.000]  主啊你自己親自賜他們力量、智慧
[00:02:45.000 --> 00:02:50.000]  你都有能力去保護自己的國民
[00:02:50.000 --> 00:02:57.000]  也在前面能夠瓦解很多不同的殘暴的組織
[00:02:57.000 --> 00:02:59.000]  一些的計謀
[00:02:59.000 --> 00:03:02.000]  讓你的憐憫淋到大地
[00:03:02.000 --> 00:03:06.000]  很多很多的生命不至於再受到殘害
[00:03:06.000 --> 00:03:07.000]  主啊我們祈禱
[00:03:07.000 --> 00:03:10.000]  求天上的主你在天上監察這些事情
[00:03:10.000 --> 00:03:13.000]  止息這些邪惡的事情
[00:03:13.000 --> 00:03:15.000]  讓我們都真的見到你的憐憫
[00:03:15.000 --> 00:03:17.000]  雖然人在罪的當中
[00:03:17.000 --> 00:03:21.000]  但是主啊仍然見到你的憐憫淋到去普世
[00:03:21.000 --> 00:03:24.000]  不同的地方、不同的角落
