
[00:00:00.000 --> 00:00:02.000]  我們啟示錄第一講
[00:00:02.000 --> 00:00:06.000]  焦點就是集中在耶穌基督的身上
[00:00:06.000 --> 00:00:09.000]  是耶穌基督的啟示
[00:00:09.000 --> 00:00:11.000]  今天第二講
[00:00:11.000 --> 00:00:16.000]  焦點是放在耶穌基督的訓示
[00:00:16.000 --> 00:00:20.000]  就是祂對祂的教會所說的話
[00:00:20.000 --> 00:00:24.000]  當主日我被聖靈感動
[00:00:24.000 --> 00:00:27.000]  聽見在我後面有大聲音
[00:00:27.000 --> 00:00:30.000]  如吹號說
[00:00:30.000 --> 00:00:32.000]  你所看見的
[00:00:32.000 --> 00:00:35.000]  當寫在書上
[00:00:35.000 --> 00:00:36.000]  達與以弗所
[00:00:36.000 --> 00:00:37.000]  是美那
[00:00:37.000 --> 00:00:38.000]  別加摩
[00:00:38.000 --> 00:00:39.000]  推亞推拉
[00:00:39.000 --> 00:00:40.000]  撒迪非拉
[00:00:40.000 --> 00:00:41.000]  鐵非
[00:00:41.000 --> 00:00:43.000]  魯底加
[00:00:43.000 --> 00:00:44.000]  七個教會
[00:00:44.000 --> 00:00:45.000]  大家都知道
[00:00:45.000 --> 00:00:47.000]  這七個教會
[00:00:47.000 --> 00:00:53.000]  就是在現在土耳其西部境內的那一帶
[00:00:53.000 --> 00:00:54.000]  七封信
[00:00:54.000 --> 00:01:00.000]  在啟示錄第二章第三章記載了
[00:01:00.000 --> 00:01:04.000]  今天我們的心智很大
[00:01:04.000 --> 00:01:09.000]  我們一口氣將七封信講完
[00:01:09.000 --> 00:01:10.000]  行不行
[00:01:10.000 --> 00:01:12.000]  如果你能夠看到聖經
[00:01:12.000 --> 00:01:17.000]  你都可以跟著第二第三章的經文一路來聽
[00:01:17.000 --> 00:01:21.000]  第一個我要和大家思想的
[00:01:21.000 --> 00:01:24.000]  是最重要的
[00:01:24.000 --> 00:01:25.000]  也是我們講題
[00:01:25.000 --> 00:01:27.000]  凡有以的
[00:01:27.000 --> 00:01:29.000]  你懂得接下去
[00:01:29.000 --> 00:01:32.000]  凡有以的
[00:01:32.000 --> 00:01:36.000]  這裡有七次出現這一句話
[00:01:36.000 --> 00:01:39.000]  如果你想背一節的聖經
[00:01:39.000 --> 00:01:43.000]  我相信這一句你一定能夠背得成
[00:01:43.000 --> 00:01:47.000]  聖靈向宗教會所說的話
[00:01:47.000 --> 00:01:48.000]  凡有以的
[00:01:48.000 --> 00:01:51.000]  就應當聽
[00:01:51.000 --> 00:01:55.000]  聖靈向宗教會所說的話
[00:01:55.000 --> 00:01:56.000]  凡有以的
[00:01:56.000 --> 00:01:59.000]  就應當聽
[00:01:59.000 --> 00:02:02.000]  聖靈向宗教會所說的話
[00:02:02.000 --> 00:02:03.000]  凡有以的
[00:02:03.000 --> 00:02:05.000]  就應當聽
[00:02:05.000 --> 00:02:07.000]  還有多少次要繼續讀
[00:02:07.000 --> 00:02:09.000]  一起來
[00:02:09.000 --> 00:02:13.000]  凡聖靈向宗教會所說的話
[00:02:13.000 --> 00:02:15.000]  凡有以的
[00:02:15.000 --> 00:02:17.000]  就應當聽
[00:02:17.000 --> 00:02:20.000]  聖靈向宗教會所說的話
[00:02:20.000 --> 00:02:22.000]  凡有以的
[00:02:22.000 --> 00:02:24.000]  就應當聽
[00:02:24.000 --> 00:02:27.000]  聖靈向宗教會所說的話
[00:02:27.000 --> 00:02:28.000]  凡有以的
[00:02:28.000 --> 00:02:30.000]  就應當聽
[00:02:30.000 --> 00:02:33.000]  聖靈向宗教會所說的話
[00:02:33.000 --> 00:02:34.000]  凡有以的
[00:02:34.000 --> 00:02:36.000]  就應當聽
[00:02:36.000 --> 00:02:38.000]  我現在隨便點一位
[00:02:38.000 --> 00:02:40.000]  站起來背
[00:02:40.000 --> 00:02:42.000]  我相信你都會
[00:02:42.000 --> 00:02:43.000]  不過我不用怕
[00:02:43.000 --> 00:02:45.000]  我不會這樣做
[00:02:45.000 --> 00:02:48.000]  我們有沒有聽呢?
[00:02:48.000 --> 00:02:51.000]  其實我們每天都在聽
[00:02:51.000 --> 00:02:53.000]  我們每天的耳朵
