
[00:00:00.000 --> 00:00:06.000]  很多年前當我剛出來做傳道的時候
[00:00:06.000 --> 00:00:09.000]  我在一個宗派裡面學習做侍奉
[00:00:09.000 --> 00:00:14.000]  然後當時我們同班一起畢業的同學
[00:00:14.000 --> 00:00:16.000]  有幾個都在一個宗派裡面侍奉
[00:00:16.000 --> 00:00:19.000]  我那時候畢業的時候是23歲
[00:00:19.000 --> 00:00:23.000]  在一間小的堂屋裡面學習做侍奉
[00:00:23.000 --> 00:00:26.000]  在這個宗派裡面有個祈禱會的
[00:00:26.000 --> 00:00:28.000]  傳道人走過一起有祈禱會
[00:00:28.000 --> 00:00:31.000]  祈禱會的時候就有不同的同工參與
[00:00:31.000 --> 00:00:34.000]  其中一個快要退休的旅船道
[00:00:34.000 --> 00:00:37.000]  看到我們幾個年輕人在那裡
[00:00:37.000 --> 00:00:38.000]  紮紮跳跳的
[00:00:38.000 --> 00:00:41.000]  又好像看得不太順眼
[00:00:41.000 --> 00:00:44.000]  結果他就叫了我過來問
[00:00:44.000 --> 00:00:46.000]  他究竟是多少歲
[00:00:46.000 --> 00:00:49.000]  我差不多想說關你什麼事
[00:00:49.000 --> 00:00:51.000]  我又不好意思這樣說
[00:00:51.000 --> 00:00:53.000]  我23歲
[00:00:53.000 --> 00:00:55.000]  然後他這樣說
[00:00:55.000 --> 00:00:59.000]  難怪啦 青BB這樣
[00:00:59.000 --> 00:01:04.000]  因為他是長輩 我不敢說
[00:01:04.000 --> 00:01:05.000]  其實我心裡想說
[00:01:05.000 --> 00:01:09.000]  難怪啦 老爺爺這樣
[00:01:09.000 --> 00:01:14.000]  我把這個經歷告訴我教會的年輕人
[00:01:14.000 --> 00:01:18.000]  結果上個星期慶祝我登錄60歲生日
[00:01:18.000 --> 00:01:20.000]  他寫了一張賀卡
[00:01:20.000 --> 00:01:22.000]  很大的賀卡簽名
[00:01:22.000 --> 00:01:27.000]  上一本寫著老爺爺牧師台伎
[00:01:27.000 --> 00:01:31.000]  我發現那個年代裡
[00:01:31.000 --> 00:01:36.000]  前輩覺得後輩不太行
[00:01:36.000 --> 00:01:38.000]  很多東西需要學
[00:01:38.000 --> 00:01:40.000]  但是反過來
[00:01:40.000 --> 00:01:42.000]  現在這個年代
[00:01:42.000 --> 00:01:46.000]  很多前輩老人家很想來接觸青年人
[00:01:46.000 --> 00:01:48.000]  但是青年人不給你
[00:01:48.000 --> 00:01:51.000]  所以我們生在兩代的甲縫
[00:01:51.000 --> 00:01:53.000]  是被害的一群來的
[00:01:53.000 --> 00:01:56.000]  上一代覺得我們太青BB
[00:01:56.000 --> 00:01:59.000]  接著下來的下一代不想參與我們玩的
[00:01:59.000 --> 00:02:03.000]  我想今天晚上跟大家分享一個題目
[00:02:03.000 --> 00:02:07.000]  活在一個沒有夢想的年代
[00:02:07.000 --> 00:02:13.000]  當我接觸環球教聯會請我講這個題目的時間
[00:02:13.000 --> 00:02:15.000]  我就想起《大義》書這段經文
[00:02:15.000 --> 00:02:17.000]  我很想分享這段聖經
[00:02:19.000 --> 00:02:22.000]  夢想我相信不需要多講
[00:02:22.000 --> 00:02:23.000]  都是很重要的
[00:02:23.000 --> 00:02:25.000]  什麼年代的人都是
[00:02:25.000 --> 00:02:26.000]  特別年輕人
[00:02:26.000 --> 00:02:28.000]  沒有夢想的年輕人
[00:02:28.000 --> 00:02:30.000]  是很多人害怕的
[00:02:30.000 --> 00:02:34.000]  中國人就會說
[00:02:34.000 --> 00:02:37.000]  做夢有一句話這樣說
[00:02:37.000 --> 00:02:39.000]  說什麼呢?夢見什麼?
[00:02:39.000 --> 00:02:43.000]  我今天做夢夢見什麼呢?
[00:02:43.000 --> 00:02:44.000]  真的不知道嗎?
[00:02:44.000 --> 00:02:45.000]  沒理由不知道
[00:02:45.000 --> 00:02:46.000]  夢見什麼呢?
[00:02:46.000 --> 00:02:49.000]  是周公 是吧?
