
[00:00:00.000 --> 00:00:09.000]  近年來在教會裏經常推行一種叫做師徒傳承的關係
[00:00:09.000 --> 00:00:11.000]  這個叫做mentoring
[00:00:11.000 --> 00:00:15.000]  和discipleship和門徒訓練有些不同
[00:00:15.000 --> 00:00:17.000]  其實都是類似
[00:00:17.000 --> 00:00:24.000]  mentoring就是師徒 叫生命師父的那種關係
[00:00:24.000 --> 00:00:30.000]  我覺得這個趨勢是值得開心 值得高興
[00:00:30.000 --> 00:00:36.000]  因為做門徒不只是知識的傳遞
[00:00:36.000 --> 00:00:41.000]  做門徒都是有榜樣和帶領 有生命的感染
[00:00:41.000 --> 00:00:43.000]  如果單單只是知識的傳遞
[00:00:43.000 --> 00:00:49.000]  這種門徒訓練或者師父徒弟的訓練
[00:00:49.000 --> 00:00:55.000]  其實就只是會訓練一班法理賽人出來
[00:00:55.000 --> 00:01:00.000]  師徒關係的傳承其實就像田徑賽的接棒一樣
[00:01:00.000 --> 00:01:05.000]  就是交棒和接棒
[00:01:05.000 --> 00:01:09.000]  其實在交棒和接棒的接力賽裏面
[00:01:09.000 --> 00:01:12.000]  每一個人走的速度都很重要
[00:01:12.000 --> 00:01:15.000]  但並不是唯一最重要
[00:01:15.000 --> 00:01:19.000]  因為在交棒的範圍裏面
[00:01:19.000 --> 00:01:20.000]  如果交得不好
[00:01:20.000 --> 00:01:24.000]  這個接力賽就一定會輸
[00:01:24.000 --> 00:01:27.000]  所以基督徒在這個世上
[00:01:27.000 --> 00:01:30.000]  其實我們是一代一代的傳承下去
[00:01:30.000 --> 00:01:34.000]  使徒一次交付給我們的信仰
[00:01:34.000 --> 00:01:36.000]  我們要傳遞下去
[00:01:36.000 --> 00:01:39.000]  而耶穌基督給我們的榜樣
[00:01:39.000 --> 00:01:41.000]  我們要傳遞下去
[00:01:41.000 --> 00:01:48.000]  在國際從事領袖訓練的一個非常有名的牧師
[00:01:48.000 --> 00:01:51.000]  也是作家叫John Maxwell
[00:01:51.000 --> 00:01:55.000]  他說成功的侍奉一定要找到接班人
[00:01:55.000 --> 00:01:58.000]  他才可以圓滿
[00:01:58.000 --> 00:02:00.000]  英文是這樣說
[00:02:00.000 --> 00:02:06.000]  No success is complete without a successor
[00:02:06.000 --> 00:02:12.000]  即是說你如果成功而不能夠傳承的話
[00:02:12.000 --> 00:02:15.000]  你的成功是有缺陷的
[00:02:15.000 --> 00:02:18.000]  所以功成一定要傳承
[00:02:18.000 --> 00:02:21.000]  如果功成你不傳承
[00:02:21.000 --> 00:02:23.000]  你的功只會承在你這一代
[00:02:23.000 --> 00:02:27.000]  下一代沒有辦法繼續下去
[00:02:27.000 --> 00:02:31.000]  今天我們要說到摩西的生平的最後
[00:02:31.000 --> 00:02:35.000]  而摩西他沒有辦法入家林
[00:02:35.000 --> 00:02:38.000]  我們昨晚說了他很大的遺憾
[00:02:38.000 --> 00:02:41.000]  他人生的污點 盲點 黑點
[00:02:41.000 --> 00:02:49.000]  就是他在米利巴水沒有將耶和華的命顯為誠
[00:02:49.000 --> 00:02:52.000]  他擊打盤石兩次 違背神的命令
[00:02:52.000 --> 00:02:55.000]  所以神不讓他入家林
[00:02:55.000 --> 00:02:58.000]  所以他脫了遺 他失去了他的遺
[00:02:58.000 --> 00:03:04.000]  最後他要將這個遺退讓給下一代
[00:03:04.000 --> 00:03:07.000]  退位和讓位
[00:03:07.000 --> 00:03:11.000]  我們也看過這個鐵三角
[00:03:11.000 --> 00:03:15.000]  團隊侍奉大家一起讀這句話
[00:03:15.000 --> 00:03:23.000]  工人帶領工隊完成工作
[00:03:23.000 --> 00:03:26.000]  神的工作是生生不息
[00:03:26.000 --> 00:03:28.000]  神的工作不會停止
[00:03:28.000 --> 00:03:34.000]  工人可以過去工作繼續
[00:03:34.000 --> 00:03:36.000]  所以如果我們這個工人
[00:03:36.000 --> 00:03:38.000]  在我們這一代裡
[00:03:38.000 --> 00:03:43.000]  我們沒有辦法交棒給下一代的工人
[00:03:43.000 --> 00:03:46.000]  沒有辦法從工隊裡找一個接棒人
[00:03:46.000 --> 00:03:49.000]  而到一個時候我們這個工人離開的時候
