
[00:00:00.000 --> 00:00:08.640]  我認為Steven的離開不是終結,而是應該開始
[00:00:08.640 --> 00:00:10.640]  我特別想到兩方面
[00:00:10.640 --> 00:00:14.640]  第一,他的癌症關懷小組
[00:00:14.640 --> 00:00:23.440]  有人問我Steven不在,是否癌症關懷小組的使工結束呢?
[00:00:23.440 --> 00:00:27.440]  我說不是,是剛剛開始
[00:00:27.440 --> 00:00:33.440]  能夠繼續發展下去,就要弟兄姊妹
[00:00:33.440 --> 00:00:37.440]  能否繼承這種精神
[00:00:37.440 --> 00:00:42.440]  因為有很多人需要盼望,需要福音
[00:00:42.440 --> 00:00:46.440]  這是一個很好的機會,將福音告訴你
[00:00:46.440 --> 00:00:50.440]  所以我希望大家在禱告中紀念
[00:00:50.440 --> 00:00:56.440]  第二,我想和大家分享
[00:00:56.440 --> 00:01:03.440]  大多數教會最弱的一環就是禱告生活
[00:01:03.440 --> 00:01:06.440]  祈禱會很少人參加
[00:01:06.440 --> 00:01:16.440]  禱告沒有特別為教會弟兄姊妹、使工等行切的禱告
[00:01:16.440 --> 00:01:23.440]  但在Steven在生的時候,我發覺不是
[00:01:23.440 --> 00:01:26.440]  三藩市報道會是可以做得到的
[00:01:26.440 --> 00:01:33.440]  有不少弟兄姊妹是每天為他祈禱,有些甚至是禁食為他祈禱
[00:01:33.440 --> 00:01:38.440]  不是說Steven回到天府我們就結束
[00:01:38.440 --> 00:01:47.440]  會不會是我們繼續這種禱告的精神、禱告的侍奉
[00:01:47.440 --> 00:01:59.440]  遲些你會收到一些童工、執事或其他人邀請你做禱告的夥伴、禱告的勇士的時候
[00:01:59.440 --> 00:02:04.440]  請你認真考慮,如果教會不是一個禱告
[00:02:04.440 --> 00:02:09.440]  弟兄姊妹沒有禱告的支持,很可能我們不會是這樣
[00:02:09.440 --> 00:02:18.440]  你再看看今天的教會,有很多空椅子、空位
[00:02:18.440 --> 00:02:23.440]  再看看秩序表出席的人數
[00:02:23.440 --> 00:02:31.440]  不知道什麼緣故,在這六個月來,教會由240人達到170人崇拜
[00:02:31.440 --> 00:02:38.440]  負增長率超過25%,原因是什麼呢?
[00:02:38.440 --> 00:02:47.440]  很多原因我們都不需要去解釋,當然有很多其他原因
[00:02:47.440 --> 00:02:51.440]  但我覺得其中一樣,就是我們有沒有禱告支援這個教會
[00:02:51.440 --> 00:03:04.440]  我希望Steven給我們的見證、激勵,讓我們付出關懷
[00:03:04.440 --> 00:03:11.440]  你有沒有想過,有些人你沒有見過很久,你會不會打電話去問候他們呢?
[00:03:11.440 --> 00:03:16.440]  會不會去關懷他們呢?這個都是值得我們去思想
[00:03:16.440 --> 00:03:19.440]  請我們再一次同心,低頭,同道鞠
[00:03:19.440 --> 00:03:24.440]  天父我們再一次感謝你,因為你的恩典都救我們用
[00:03:24.440 --> 00:03:28.440]  求你藉著Steven的見證給我們很大的激勵
[00:03:28.440 --> 00:03:33.440]  讓我們能夠更加愛你,更加熱心侍奉你
[00:03:33.440 --> 00:03:36.440]  求你祝福保守我們
[00:03:36.440 --> 00:03:42.440]  也藉著你的話語去提醒、勸勉、教導、安慰、督責、改變我們
[00:03:42.440 --> 00:03:45.440]  我們這樣的祈禱乃是奉耶穌基督的命求
[00:03:45.440 --> 00:03:50.440]  今天我們繼續思想傳道書的訊息
[00:03:50.440 --> 00:03:53.440]  為人三忌
[00:03:53.440 --> 00:03:59.440]  希望藉著所羅門王給我們的訊息
[00:03:59.440 --> 00:04:03.440]  我們得到提醒和生命的改變
[00:04:03.440 --> 00:04:08.440]  究竟做人有哪三大忌呢?最怕哪三樣東西呢?
[00:04:08.440 --> 00:04:11.440]  我們就要看看所羅門王給我們的思想
[00:04:11.440 --> 00:04:18.440]  請我們再打開傳道書第十章
[00:04:18.440 --> 00:04:24.440]  第十章十二節至二十節
[00:04:24.440 --> 00:04:27.440]  我再讀一次給大家聽
[00:04:27.440 --> 00:04:35.440]  傳道書第十章第十三節至二十節
[00:04:35.440 --> 00:05:04.440]  (念句)
[00:05:04.440 --> 00:05:13.440]  (念句)
[00:05:13.440 --> 00:05:33.440]  (念句)
[00:05:33.440 --> 00:05:43.440]  (念句)
[00:05:43.440 --> 00:05:47.440]  我記得很久之前有一天我收到一個電話
[00:05:47.440 --> 00:05:50.440]  是一個小學的同學打電話給我
[00:05:50.440 --> 00:05:56.440]  他說:蘇永睿,我們約了小學一班同學去喝茶
[00:05:56.440 --> 00:06:00.440]  你有沒有機會?想不想去參加?
[00:06:00.440 --> 00:06:02.440]  我已經在小學畢業了幾十年
[00:06:02.440 --> 00:06:04.440]  有很多人都沒見過面
[00:06:04.440 --> 00:06:07.440]  在街上見到也認不出他
