
[00:00:00.000 --> 00:00:06.360]  列王紀合一王朝系列的第十一講
[00:00:06.360 --> 00:00:08.840]  今天就是最後的一講
[00:00:08.840 --> 00:00:12.720]  這一講之後以色列國就分為南北兩國
[00:00:12.720 --> 00:00:16.360]  所以就跟著我們會講的就是
[00:00:16.360 --> 00:00:20.600]  北國王朝系列和南國王朝系列
[00:00:20.600 --> 00:00:25.240]  今天的經文在列王紀上的十二章和十四章尾
[00:00:25.240 --> 00:00:28.920]  也都在歷代之下的十章至到十二章
[00:00:28.920 --> 00:00:31.560]  所以如果一齊讀經的話
[00:00:31.560 --> 00:00:33.360]  你一邊聽道一邊讀經
[00:00:33.360 --> 00:00:35.640]  記得要讀這些經文
[00:00:35.640 --> 00:00:37.680]  我今天給他的題目是
[00:00:37.680 --> 00:00:40.640]  父親的虛空 兒子的愚昧
[00:00:40.640 --> 00:00:44.720]  一個基業如何敗在兩代人的手中
[00:00:44.720 --> 00:00:48.320]  這裡說父親的虛空是說誰呢
[00:00:48.320 --> 00:00:49.600]  是所羅門
[00:00:49.600 --> 00:00:52.880]  他在傳道書說凡事都虛空
[00:00:52.880 --> 00:00:56.440]  他的兒子就是我們今天的主角羅波安
[00:00:56.440 --> 00:01:01.080]  遲些我們會見到他是一個非常愚昧的人
[00:01:01.080 --> 00:01:04.840]  以色列國就是敗在他兩個人的手中
[00:01:04.840 --> 00:01:08.200]  成為了南北兩國
[00:01:08.200 --> 00:01:12.560]  在傳道書的二章十八節至到十九節
[00:01:12.560 --> 00:01:14.720]  所羅門他自己都說
[00:01:14.720 --> 00:01:17.280]  他說我恨惡一切的奴隸
[00:01:17.280 --> 00:01:20.480]  就是我在日光之下的奴隸
[00:01:20.480 --> 00:01:23.920]  因為我得來的必留給我以後的人
[00:01:23.920 --> 00:01:26.680]  那人是智慧是愚昧
[00:01:26.680 --> 00:01:31.880]  誰能知道他竟要管理我奴隸所得的
[00:01:31.880 --> 00:01:35.960]  就是我在日光之下用智慧所得的
[00:01:35.960 --> 00:01:37.920]  這也是虛空
[00:01:37.920 --> 00:01:41.320]  所羅門在傳道書裏面說虛空
[00:01:41.320 --> 00:01:46.240]  其中一個虛空就是他奴隸得來的產業
[00:01:46.240 --> 00:01:48.480]  他會給他的後人
[00:01:48.480 --> 00:01:54.400]  而究竟這個人是智慧還是愚昧不到他管
[00:01:54.400 --> 00:01:56.880]  他說這個也是虛空
[00:01:56.880 --> 00:02:02.160]  而的確他的兒子羅波安就是一個愚昧的人
[00:02:02.160 --> 00:02:06.160]  根據列王紀上的十四章二十一節
[00:02:06.160 --> 00:02:09.960]  羅波安登基的時候他是四十一歲
[00:02:09.960 --> 00:02:13.920]  由於所羅門統治了以色列國四十年
[00:02:13.920 --> 00:02:19.680]  我們知道羅波安出世在所羅門登基之前
