
[00:00:00.000 --> 00:00:08.480]  很高興再一次來到唐宣喜主日崇拜的時候
[00:00:08.480 --> 00:00:11.680]  和大家一起讀上帝的話語
[00:00:11.680 --> 00:00:20.000]  昨晚和下午唐崇拜的電影節目看《但義理》
[00:00:20.000 --> 00:00:22.640]  今早和大家看《乃蠻》
[00:00:22.640 --> 00:00:26.480]  兩個角色都是很特別的
[00:00:26.480 --> 00:00:31.680]  但義理出身貴族 由大支派起第一次被擄的時候
[00:00:31.680 --> 00:00:34.960]  皇親國戚貴袖被擄的時候
[00:00:34.960 --> 00:00:38.560]  年同年輕人十幾歲被擄了
[00:00:38.560 --> 00:00:48.160]  所以他本來是精英優越的環境生活方式
[00:00:48.160 --> 00:00:49.760]  前途無限量
[00:00:49.760 --> 00:00:56.160]  然後一下子就掉到深坑裡變成一個弱勢的
[00:00:56.160 --> 00:01:01.280]  做了亡國奴 做了人家的階下囚
[00:01:01.280 --> 00:01:07.360]  被人家看著 整個生命都沒辦法再自己主宰
[00:01:07.360 --> 00:01:10.160]  就在各種困難的環境當中
[00:01:10.160 --> 00:01:13.760]  他自己要想辦法保護自己
[00:01:13.760 --> 00:01:19.920]  做到堅持他自己所想堅持的東西
[00:01:19.920 --> 00:01:27.040]  經常要有一個博弈的思考 博弈的行動
[00:01:27.040 --> 00:01:29.600]  但今天看《乃蠻》就倒轉了
[00:01:29.600 --> 00:01:33.040]  一個強勢 絕對不是弱勢
[00:01:33.040 --> 00:01:37.360]  是強勢 所以我給的題目就是大男人小女人和上帝
[00:01:37.360 --> 00:01:39.440]  中間都有弱勢的角色
[00:01:39.440 --> 00:01:42.720]  我們先看強勢的角色
[00:01:42.720 --> 00:01:47.120]  說故事 因為《乃蠻》是一個故事
[00:01:47.120 --> 00:01:50.160]  讀舊約 人們喜歡讀舊約 我也喜歡讀舊約
[00:01:50.160 --> 00:01:52.000]  雖然我自己較較新約
[00:01:52.000 --> 00:01:54.000]  因為我比較喜歡新約
[00:01:54.000 --> 00:01:57.520]  可能不用學那麼多東西
[00:01:57.520 --> 00:02:01.920]  人們喜歡讀舊約 舊約吸引
[00:02:01.920 --> 00:02:03.920]  其中一個很大的原因就是裡面的故事
[00:02:03.920 --> 00:02:07.680]  故事很引人入勝
[00:02:07.680 --> 00:02:14.960]  《乃蠻》故事我認為是舊約裡面其中一個講得最好的故事
[00:02:14.960 --> 00:02:17.440]  他講的東西和不講的東西
[00:02:17.440 --> 00:02:22.560]  沒有一個故事能夠講完所有發生的事情
[00:02:22.560 --> 00:02:24.560]  因為講完其實很悶
[00:02:24.560 --> 00:02:28.880]  我們看電影 看劇集
[00:02:28.880 --> 00:02:33.040]  你會發覺都是跳過了很多我們平時生活裡面很悶的東西
[00:02:33.040 --> 00:02:35.680]  如果一套紀錄片是跟一個人
[00:02:35.680 --> 00:02:39.840]  由他早上起床一直跟著到晚上睡覺
[00:02:39.840 --> 00:02:43.040]  絕大部分的情節都是悶到抽筋
[00:02:43.040 --> 00:02:44.160]  那些都拿走了
[00:02:44.160 --> 00:02:46.880]  但悶到抽筋又不是指著不重要
[00:02:46.880 --> 00:02:50.320]  可能發生了一些事情或是他恆常做一些事情
[00:02:50.320 --> 00:02:54.240]  其實對他自己的生活是很大影響很大影響
[00:02:54.240 --> 00:02:56.480]  但無論如何你要講一個故事
[00:02:56.480 --> 00:03:01.840]  就要將一些我們稱之為沉悶或是很日常的事情
[00:03:01.840 --> 00:03:05.680]  剔走它 只是將焦點擺起
[00:03:05.680 --> 00:03:08.240]  能夠驅動故事的發展
[00:03:08.240 --> 00:03:10.800]  和引人入勝
[00:03:10.800 --> 00:03:13.840]  有些事情是故意不講
[00:03:13.840 --> 00:03:15.280]  不一定會悶
[00:03:15.280 --> 00:03:19.840]  有時也是因為你自己讀者填寫的內容
[00:03:19.840 --> 00:03:22.080]  就更加有意思
[00:03:22.080 --> 00:03:24.720]  在《奶饅》這個故事裡面
[00:03:24.720 --> 00:03:27.920]  我就想特別看看裡面的大男人
