
[00:00:00.000 --> 00:00:03.000]  我相信讀著的華語的重要性
[00:00:03.000 --> 00:00:04.000]  你會知道的
[00:00:04.000 --> 00:00:06.000]  但很多時候我們不肯去做
[00:00:06.000 --> 00:00:09.000]  但是為什麼會選這段聖經呢
[00:00:09.000 --> 00:00:10.000]  大概有幾個原因的
[00:00:10.000 --> 00:00:14.000]  除了今天的主人我可以自己選之外
[00:00:14.000 --> 00:00:17.000]  大概有三個原因
[00:00:17.000 --> 00:00:18.000]  很簡單
[00:00:18.000 --> 00:00:20.000]  但是都是很重要的
[00:00:20.000 --> 00:00:21.000]  第一個原因就是
[00:00:21.000 --> 00:00:23.000]  大家進來都看到
[00:00:23.000 --> 00:00:26.000]  我們提醒我們這個月尾
[00:00:26.000 --> 00:00:28.000]  就是我們紀念我們的主
[00:00:28.000 --> 00:00:30.000]  十字架復活的日子
[00:00:30.000 --> 00:00:33.000]  今天這件事情的發生
[00:00:33.000 --> 00:00:36.000]  就發生在主耶穌進入耶路撒冷
[00:00:36.000 --> 00:00:38.000]  最後一個星期的前夕
[00:00:38.000 --> 00:00:40.000]  晚上的一個延值當中
[00:00:40.000 --> 00:00:42.000]  這個也是很有意思的
[00:00:42.000 --> 00:00:45.000]  就是說耶穌吃完這一餐之後
[00:00:45.000 --> 00:00:47.000]  第二天他就進入耶路撒冷了
[00:00:47.000 --> 00:00:49.000]  所以剛才我們看到
[00:00:49.000 --> 00:00:51.000]  約翰福音那裡說到
[00:00:51.000 --> 00:00:53.000]  是雨節前的六天
[00:00:53.000 --> 00:00:57.000]  就是說耶穌基督要進入耶路撒冷了
[00:00:57.000 --> 00:00:59.000]  也是一個很適合的時刻
[00:00:59.000 --> 00:01:01.000]  我們來思想這一段聖經
[00:01:01.000 --> 00:01:05.000]  另外第二樣就有點心意的
[00:01:05.000 --> 00:01:09.000]  因為前天就是三月八號
[00:01:09.000 --> 00:01:11.000]  婦女節
[00:01:11.000 --> 00:01:15.000]  我想都是定義說一位姊妹
[00:01:15.000 --> 00:01:16.000]  一個美好的見證
[00:01:16.000 --> 00:01:19.000]  就是今天我們的主角瑪利亞
[00:01:19.000 --> 00:01:21.000]  這位姊妹在耶穌的心中
[00:01:21.000 --> 00:01:22.000]  在耶穌的口中
[00:01:22.000 --> 00:01:24.000]  都是極為稱讚的
[00:01:24.000 --> 00:01:26.000]  一位姊妹所作的一件美事
[00:01:26.000 --> 00:01:29.000]  我覺得這些都是適合的
[00:01:29.000 --> 00:01:35.000]  第三個原因就是
[00:01:35.000 --> 00:01:38.000]  因為這段聖經
[00:01:38.000 --> 00:01:42.000]  主耶穌曾經提醒過我們
[00:01:42.000 --> 00:01:43.000]  你記住這段聖經
[00:01:43.000 --> 00:01:45.000]  約翰福音十二章這段
[00:01:45.000 --> 00:01:46.000]  是還有其他經文
[00:01:46.000 --> 00:01:49.000]  就是其他的四福音有記載的
[00:01:49.000 --> 00:01:52.000]  其實如果你看馬太福音二十六章
[00:01:52.000 --> 00:01:54.000]  路加福音十四章
[00:01:54.000 --> 00:01:56.000]  馬可福音十四章
[00:01:56.000 --> 00:01:58.000]  都是有記載同一件事的
[00:01:58.000 --> 00:02:00.000]  今天我們講的時候
[00:02:00.000 --> 00:02:02.000]  就不只是用這一段聖經
[00:02:02.000 --> 00:02:05.000]  還用了馬可和馬太
[00:02:05.000 --> 00:02:07.000]  是合在一起來講的
[00:02:07.000 --> 00:02:09.000]  在那裡記載到
[00:02:09.000 --> 00:02:10.000]  主耶穌不單止說
[00:02:10.000 --> 00:02:13.000]  這位女人瑪利亞做了一件美事
[00:02:13.000 --> 00:02:16.000]  祂還說了一件相當重要的
[00:02:16.000 --> 00:02:17.000]  嚴重的
[00:02:17.000 --> 00:02:19.000]  祂說這件事
[00:02:19.000 --> 00:02:22.000]  耶穌說你去到以後歷世歷代
[00:02:22.000 --> 00:02:25.000]  你去到哪裡去傳福音的時候
[00:02:25.000 --> 00:02:28.000]  都要講論這個女人所做的事
[00:02:28.000 --> 00:02:30.000]  來紀念她
[00:02:30.000 --> 00:02:32.000]  這句話很重要的
[00:02:32.000 --> 00:02:33.000]  有一天我看了一看的時候
[00:02:33.000 --> 00:02:34.000]  發覺慘了
[00:02:34.000 --> 00:02:36.000]  我講了這麼久都沒有講過這個人
[00:02:36.000 --> 00:02:38.000]  我覺得不是很對
[00:02:38.000 --> 00:02:40.000]  所以馬上就和大家講
[00:02:40.000 --> 00:02:42.000]  按照耶穌基督的要求
[00:02:42.000 --> 00:02:45.000]  講了這麼多篇都沒有講這個人
[00:02:45.000 --> 00:02:47.000]  所以一定要再講一講
[00:02:47.000 --> 00:02:49.000]  我覺得是很有意思
[00:02:49.000 --> 00:02:51.000]  我再研究慢慢再想的時候
[00:02:51.000 --> 00:02:54.000]  我就想和大家分享今天的訊息
[00:02:54.000 --> 00:02:55.000]  好嗎?
[00:02:55.000 --> 00:02:59.000]  我們首先就現場重組一下
[00:02:59.000 --> 00:03:00.000]  發生什麼事
[00:03:00.000 --> 00:03:01.000]  剛才我們所讀的時候
[00:03:01.000 --> 00:03:03.000]  你們都看到了
[00:03:03.000 --> 00:03:04.000]  那件事是發生在
[00:03:04.000 --> 00:03:06.000]  耶穌基督進入耶路撒冷
[00:03:06.000 --> 00:03:08.000]  最後一個星期的前夕
[00:03:08.000 --> 00:03:09.000]  那天聖經說
[00:03:09.000 --> 00:03:12.000]  有人為祂安排一個筵席
[00:03:12.000 --> 00:03:14.000]  這個筵席的地方就是伯大尼
[00:03:14.000 --> 00:03:17.000]  就是近著耶路撒冷東面的一個城市
[00:03:17.000 --> 00:03:18.000]  在筵席裡面
[00:03:18.000 --> 00:03:21.000]  聖經只記載了馬大瑪利亞
[00:03:21.000 --> 00:03:23.000]  也有祂的弟弟拉撒路
[00:03:23.000 --> 00:03:25.000]  當然還有門徒
[00:03:25.000 --> 00:03:26.000]  剛才我們看到
[00:03:26.000 --> 00:03:27.000]  是不是只有這麼多呢?
[00:03:27.000 --> 00:03:29.000]  肯定不止這麼多
[00:03:29.000 --> 00:03:32.000]  因為大家應該知道
[00:03:32.000 --> 00:03:34.000]  主耶穌基督當天
[00:03:34.000 --> 00:03:37.000]  祂進入耶路撒冷這件事是大事
[00:03:37.000 --> 00:03:41.000]  耶穌基督不是隨便帶幾個門徒進入耶路撒冷
[00:03:41.000 --> 00:03:42.000]  其實那件事
[00:03:42.000 --> 00:03:45.000]  不單止是耶路撒冷一個轟動的事
[00:03:45.000 --> 00:03:47.000]  並且當時巴勒斯坦也是重要的
[00:03:47.000 --> 00:03:49.000]  如果不是的話
[00:03:49.000 --> 00:03:52.000]  就不會當耶穌基督坐雷子進入耶路撒冷的時候
[00:03:52.000 --> 00:03:56.000]  已經有人在等著祂在甲道去歡呼
[00:03:56.000 --> 00:03:58.000]  賀薩那 王薩那 是不是?
[00:03:58.000 --> 00:04:00.000]  還有你鋪了鬆裏珠
[00:04:00.000 --> 00:04:04.000]  當然究竟那些人是什麼動機
[00:04:04.000 --> 00:04:06.000]  是各有不同的
[00:04:06.000 --> 00:04:09.000]  可能很多人只是帶著一種政治的動機
[00:04:09.000 --> 00:04:12.000]  期待這個等候已久的耶穌
[00:04:12.000 --> 00:04:14.000]  在祂進入耶路撒冷最後的這個星期
[00:04:14.000 --> 00:04:19.000]  和這些惡勢力 或者叫做羅馬的政府對抗的時候
[00:04:19.000 --> 00:04:22.000]  會不會發動群眾的起義
[00:04:22.000 --> 00:04:26.000]  打倒羅馬政府
[00:04:26.000 --> 00:04:29.000]  然後成為新的領導以色列的王
[00:04:29.000 --> 00:04:31.000]  所以這是一件大事
[00:04:31.000 --> 00:04:33.000]  大家都期待著祂
[00:04:33.000 --> 00:04:36.000]  看看祂接下來這個星期會做些什麼
[00:04:36.000 --> 00:04:40.000]  所以之前那一晚有人為祂設一個筵席
[00:04:40.000 --> 00:04:41.000]  是戰行
[00:04:41.000 --> 00:04:43.000]  這個肯定不是一件小事
[00:04:43.000 --> 00:04:45.000]  所以相信那一晚會有很多人
[00:04:45.000 --> 00:04:48.000]  並且那一晚會是一個很隆重的宴會
[00:04:48.000 --> 00:04:50.000]  耶穌是主角
[00:04:50.000 --> 00:04:55.000]  所以聖經說耶穌被邀請為祂特別設這個筵席
[00:04:55.000 --> 00:04:57.000]  做一個主角
[00:04:57.000 --> 00:04:59.000]  按照當時猶太的習慣
[00:04:59.000 --> 00:05:00.000]  祂是打斜的
[00:05:00.000 --> 00:05:04.000]  是坐在核心中間的桌前
[00:05:04.000 --> 00:05:06.000]  大家給祂有食物
[00:05:06.000 --> 00:05:08.000]  大家有很多事情在談
[00:05:08.000 --> 00:05:12.000]  就在這個這麼隆重的典禮和一個筵席
[00:05:12.000 --> 00:05:15.000]  當中就發生了一件很奇怪的事
[00:05:15.000 --> 00:05:18.000]  有一個女人突然走到耶穌的面前
[00:05:18.000 --> 00:05:21.000]  這個就是我們所熟悉的瑪利亞
[00:05:21.000 --> 00:05:23.000]  走到耶穌的面前
[00:05:23.000 --> 00:05:26.000]  打破一個很昂貴的瓶
[00:05:26.000 --> 00:05:30.000]  裡面有更加昂貴的香膏
