
[00:00:00.000 --> 00:00:09.440]  信和不信最大的分別在哪裡呢?
[00:00:09.440 --> 00:00:12.240]  我曾經多次分享過
[00:00:12.240 --> 00:00:16.720]  信仰不是讓我們去逃避環境
[00:00:16.720 --> 00:00:21.560]  信不是讓我們去改變環境
[00:00:21.560 --> 00:00:23.000]  改變制御
[00:00:23.000 --> 00:00:24.840]  改變別人
[00:00:24.840 --> 00:00:29.200]  信仰,一個真正從聖經而來的信仰
[00:00:29.200 --> 00:00:31.760]  是要我們改變心境
[00:00:31.760 --> 00:00:33.760]  而不是去改變環境
[00:00:33.760 --> 00:00:35.760]  是要我們改變我們自己
[00:00:35.760 --> 00:00:37.760]  不是去改變別人
[00:00:37.760 --> 00:00:41.040]  另一方面,一個真正的信仰
[00:00:41.040 --> 00:00:43.520]  就在一個絕對真理的上面
[00:00:43.520 --> 00:00:47.280]  縱使命都沒有
[00:00:47.280 --> 00:00:49.280]  我們堅守
[00:00:49.280 --> 00:00:51.280]  好像馬丁路德
[00:00:51.280 --> 00:00:52.800]  他自己所說道
[00:00:52.800 --> 00:00:56.560]  Sola Scriptura唯獨聖經
[00:00:56.560 --> 00:00:58.560]  死就死罷了
[00:00:58.560 --> 00:01:01.000]  但對相對的事
[00:01:01.000 --> 00:01:05.920]  我們寧可聽從眾人以為比的事
[00:01:05.920 --> 00:01:07.600]  我們留心去做
[00:01:07.600 --> 00:01:10.680]  那些沒有什麼需要去堅持的地方
[00:01:10.680 --> 00:01:12.680]  不需要堅持
[00:01:12.680 --> 00:01:14.000]  在今天
[00:01:14.000 --> 00:01:16.240]  我們將要去到一段經文
[00:01:16.240 --> 00:01:19.640]  是《創世紀》的四章一到十六節
[00:01:19.640 --> 00:01:21.440]  當我們看到這一段經文的時候
[00:01:21.440 --> 00:01:26.160]  到底它最主要講的是什麼呢?
[00:01:26.160 --> 00:01:28.360]  在白萊斯十一章第四節
[00:01:28.360 --> 00:01:33.480]  他引用到該人和阿伯的事例的時候
[00:01:33.480 --> 00:01:37.080]  他就特別針對一件事來講
[00:01:37.080 --> 00:01:39.080]  我們一起看一看這一段聖經
[00:01:39.080 --> 00:01:40.240]  一起讀
[00:01:40.240 --> 00:01:43.920]  「阿伯因著信獻祭於神
[00:01:43.920 --> 00:01:46.320]  比該人所獻的更美
[00:01:46.320 --> 00:01:48.880]  因此便得了輕易的見證
[00:01:48.880 --> 00:01:52.080]  就是神指著他禮物作的見證
[00:01:52.080 --> 00:01:53.600]  他雖然死了
[00:01:53.600 --> 00:01:57.000]  卻因著信仍舊說話」
[00:01:57.000 --> 00:01:58.760]  各位親愛的弟兄姐妹
[00:01:58.760 --> 00:02:03.760]  在白萊斯引用《創世紀》第四章的時間
[00:02:03.760 --> 00:02:06.120]  他特別提到這個地方
[00:02:06.120 --> 00:02:09.960]  是在比較兩個人
[00:02:09.960 --> 00:02:11.240]  這兩個人
[00:02:11.240 --> 00:02:13.240]  一個是阿伯
[00:02:13.240 --> 00:02:15.040]  一個是該人
[00:02:15.040 --> 00:02:17.040]  而比較他們的時間
