
[00:00:00.000 --> 00:00:04.600]  各位電影節目的觀眾朋友大家好
[00:00:04.600 --> 00:00:09.000]  歡迎大家參加我們三藩市報道會網上崇拜
[00:00:09.000 --> 00:00:12.800]  我們繼續思想哈巴谷書的信息
[00:00:12.800 --> 00:00:16.640]  今天來到第四講信是等候
[00:00:16.640 --> 00:00:21.760]  經文是哈巴谷書第二章一節至四節
[00:00:21.760 --> 00:00:25.600]  倫敦有一位作家他覺得倫敦太嘈了
[00:00:25.600 --> 00:00:30.400]  太多雜音令他的靈感全部消失
[00:00:30.400 --> 00:00:32.640]  嚴重影響他的創作
[00:00:32.640 --> 00:00:38.400]  於是他決定搬離倫敦搬到郊外一個農莊
[00:00:38.400 --> 00:00:43.040]  那裡沒有車聲沒有人聲沒有吵架聲
[00:00:43.040 --> 00:00:47.600]  一片寧靜覺得真是一片樂土
[00:00:47.600 --> 00:00:51.200]  這樣他就可以很安靜地寫作了
[00:00:51.200 --> 00:00:58.640]  誰知早上起床沒多久他正要開工寫作的時候
[00:00:58.640 --> 00:01:03.200]  忽然之間聽見鄰舍養了隻雞
[00:01:03.200 --> 00:01:10.400]  叫著連叫幾分鐘
[00:01:10.400 --> 00:01:19.040]  他感到很煩悶將他的靈感帶走真是不勝其煩
[00:01:19.040 --> 00:01:23.360]  第二天準備開工的時候
[00:01:23.360 --> 00:01:28.240]  那隻雞又是連叫將他的靈感帶走
[00:01:28.240 --> 00:01:32.080]  整個星期都是這樣終於他忍不住了
[00:01:32.080 --> 00:01:36.320]  就跟鄰舍投訴說你隻雞
[00:01:36.320 --> 00:01:40.480]  一早就在提將我的靈感全部帶走
[00:01:40.480 --> 00:01:42.480]  我什麼都寫不出來
[00:01:42.480 --> 00:01:46.560]  我離開倫敦想有些安靜的時間寫作
[00:01:46.560 --> 00:01:50.080]  誰知來到這裡的時候又被你隻雞吵著了
[00:01:50.080 --> 00:01:52.960]  鄰居就覺得很奇怪
[00:01:52.960 --> 00:01:59.360]  說我隻雞每天早上他叫都不夠五分鐘
[00:01:59.360 --> 00:02:02.960]  叫完之後他就安靜了
[00:02:02.960 --> 00:02:05.760]  最多吵你就吵你幾分鐘
[00:02:05.760 --> 00:02:08.000]  騷擾你騷擾你幾分鐘
[00:02:08.000 --> 00:02:12.000]  你大可以忍受這幾分鐘然後安靜地做工
[00:02:12.000 --> 00:02:16.240]  那怎麼會所有的靈感都沒有了?
[00:02:16.240 --> 00:02:19.440]  這個作家就對他說你有所不知了
[00:02:19.440 --> 00:02:24.800]  我不是為了那隻雞五分鐘叫的時候煩躁不安
[00:02:24.800 --> 00:02:33.280]  是我等候那隻雞叫了23個小時55分鐘
[00:02:33.280 --> 00:02:38.560]  等候時間是覺得非常煩擾
[00:02:38.560 --> 00:02:42.320]  我不介意那隻雞用了五分鐘的時候叫
[00:02:42.320 --> 00:02:47.440]  但是我要等這五分鐘雞叫的事情發生
[00:02:47.440 --> 00:02:54.080]  這個等候的期間使我心神恍惚煩躁不安
[00:02:54.080 --> 00:02:56.080]  什麼都做不到
[00:02:56.080 --> 00:02:59.600]  等候的確很難熬的
[00:02:59.600 --> 00:03:04.320]  你想一想你最近肚子痛
[00:03:04.320 --> 00:03:06.880]  你擔心就去看醫生
[00:03:06.880 --> 00:03:09.200]  醫生檢查過之後就對你說
[00:03:09.200 --> 00:03:13.200]  我擔心你是為了重病
[00:03:13.200 --> 00:03:15.200]  不知道是不是肝癌
[00:03:15.200 --> 00:03:18.080]  為了穩陣起見
[00:03:18.080 --> 00:03:22.000]  我都贊成你去電腦掃描一下
[00:03:22.000 --> 00:03:24.720]  於是你就聽醫生的話
[00:03:24.720 --> 00:03:26.720]  就去了電腦掃描
[00:03:26.720 --> 00:03:30.480]  電腦掃描的醫生告訴你
[00:03:30.480 --> 00:03:33.360]  隔幾天就會通知你了
[00:03:33.360 --> 00:03:37.840]  你等候報告這幾天真的坐立不安
[00:03:37.840 --> 00:03:39.840]  極其煩躁
[00:03:39.840 --> 00:03:42.800]  因為等是極不容易的
[00:03:42.800 --> 00:03:47.040]  譬如等候健康檢查的報告
[00:03:47.040 --> 00:03:50.400]  考試成績揭曉的報告
[00:03:50.400 --> 00:03:54.400]  公司會不會找你請你做公
[00:03:54.400 --> 00:03:58.080]  面試聘請你的等候
[00:03:58.080 --> 00:04:01.920]  這些等候的時間都是非常非常焦慮的
[00:04:01.920 --> 00:04:04.720]  我記得2003年的時候
[00:04:04.720 --> 00:04:07.120]  我太太就幻想了林班
[00:04:07.120 --> 00:04:09.120]  要做骨髓移植的手術
[00:04:09.120 --> 00:04:12.640]  每隔半年就要做CT掃描
[00:04:12.640 --> 00:04:14.640]  看看有沒有復發
[00:04:14.640 --> 00:04:18.400]  香港馬來醫院有一個很有趣的習慣
[00:04:18.400 --> 00:04:24.160]  這個習慣的做法就令到病人很不安
[00:04:24.160 --> 00:04:26.560]  做完檢查之後醫院就會跟你說
[00:04:26.560 --> 00:04:28.000]  有事就打電話給你
[00:04:28.000 --> 00:04:30.000]  沒事就不會打
[00:04:30.000 --> 00:04:32.000]  回到家裡
[00:04:32.000 --> 00:04:34.000]  整天看著電話
[00:04:34.000 --> 00:04:36.000]  到五點鐘都沒有電話了
[00:04:36.000 --> 00:04:38.000]  哎 送日好戲
[00:04:38.000 --> 00:04:40.000]  到第二天
[00:04:40.000 --> 00:04:42.000]  八點鐘開始的時候
[00:04:42.000 --> 00:04:44.000]  緊張大師又來了
[00:04:44.000 --> 00:04:46.000]  忽然電話響
[00:04:46.000 --> 00:04:48.000]  喂 原來不是醫院打來的
[00:04:48.000 --> 00:04:50.000]  有個朋友打電話來問候你
[00:04:50.000 --> 00:04:52.000]  心裡說
[00:04:52.000 --> 00:04:54.000]  拜託不要在這個時候打電話來
[00:04:54.000 --> 00:04:56.000]  真的嚇死我了
[00:04:56.000 --> 00:04:58.000]  嚇到我膽子都破了
[00:04:58.000 --> 00:05:00.000]  你可以想像在這幾天的等候
[00:05:00.000 --> 00:05:02.000]  心情是怎樣的
[00:05:02.000 --> 00:05:04.000]  我忍到第六天
[00:05:04.000 --> 00:05:08.000]  想想六天都沒有電話應該穩陣
[00:05:08.000 --> 00:05:10.000]  但回心想想
[00:05:10.000 --> 00:05:12.000]  未必的
[00:05:12.000 --> 00:05:14.000]  可能也是六天或七天之後才發現
[00:05:14.000 --> 00:05:16.000]  最後忍受不住
[00:05:16.000 --> 00:05:18.000]  就打電話醫院
[00:05:18.000 --> 00:05:20.000]  問候報告出來了沒有
[00:05:20.000 --> 00:05:22.000]  護士就說
[00:05:22.000 --> 00:05:24.000]  不知道 要查一下
[00:05:24.000 --> 00:05:26.000]  查完之後打電話給你
[00:05:26.000 --> 00:05:28.000]  那天就難忘了
[00:05:28.000 --> 00:05:30.000]  分分鐘看著電話
[00:05:30.000 --> 00:05:32.000]  差不多到五點鐘
[00:05:32.000 --> 00:05:34.000]  下班的時候都沒有電話
[00:05:34.000 --> 00:05:36.000]  於是心情緊張
[00:05:36.000 --> 00:05:38.000]  心情緊張
[00:05:38.000 --> 00:05:40.000]  非常非常緊張
[00:05:40.000 --> 00:05:42.000]  什麼都做不到
[00:05:42.000 --> 00:05:44.000]  終於下班前五分鐘電話響了
[00:05:44.000 --> 00:05:46.000]  真的醫院打電話來
[00:05:46.000 --> 00:05:48.000]  恭喜你
[00:05:48.000 --> 00:05:50.000]  你太太沒事了
[00:05:50.000 --> 00:05:52.000]  那時候才鬆一口氣
[00:05:52.000 --> 00:05:54.000]  這幾天的等候
[00:05:54.000 --> 00:05:56.000]  真是永世難忘
[00:05:56.000 --> 00:05:58.000]  等候一點都不容易
[00:05:58.000 --> 00:06:00.000]  等候一點都不容易
[00:06:00.000 --> 00:06:02.000]  就像一個空中飛人
[00:06:02.000 --> 00:06:04.000]  放了本來的鞦韆
[00:06:04.000 --> 00:06:06.000]  但對面的鞦韆還沒到
[00:06:06.000 --> 00:06:08.000]  只好在空中吊吊飛
[00:06:08.000 --> 00:06:10.000]  唯一就是盼望
[00:06:10.000 --> 00:06:12.000]  和相信鞦韆一定會來
[00:06:12.000 --> 00:06:14.000]  等候雖然是難受
[00:06:14.000 --> 00:06:16.000]  但它是一個信心的功課
[00:06:16.000 --> 00:06:18.000]  特別在我們這個世代
[00:06:18.000 --> 00:06:20.000]  更加不容易
[00:06:20.000 --> 00:06:22.000]  我們這個世代是講
[00:06:22.000 --> 00:06:24.000]  校女的世代
[00:06:24.000 --> 00:06:26.000]  由電腦的
[00:06:26.000 --> 00:06:28.000]  286到360
[00:06:28.000 --> 00:06:30.000]  到486
[00:06:30.000 --> 00:06:32.000]  到platinum
