
[00:00:00.000 --> 00:00:02.000]  我記得有一次開組的時候
[00:00:02.000 --> 00:00:06.000]  和一班年紀稍為大一點的弟兄姊妹一起開組
[00:00:06.000 --> 00:00:10.000]  那次我就叫他們去分享一下他們的童年
[00:00:10.000 --> 00:00:12.000]  最值得你留戀的是什麼呢?
[00:00:12.000 --> 00:00:14.000]  你最不留戀的是什麼呢?
[00:00:14.000 --> 00:00:17.000]  最開心的是什麼呢?或者最不開心的是什麼呢?
[00:00:17.000 --> 00:00:19.000]  有一位姊妹已經五十多歲
[00:00:19.000 --> 00:00:21.000]  想不到當她剛剛開始說的時候
[00:00:21.000 --> 00:00:24.000]  她已經開始哭了出來
[00:00:24.000 --> 00:00:26.000]  從那時候開始我就記得
[00:00:26.000 --> 00:00:30.000]  一去到分享這些一定要預備一大堆紙巾
[00:00:30.000 --> 00:00:32.000]  到時候要派
[00:00:32.000 --> 00:00:35.000]  其實我剛剛看見五十多歲
[00:00:35.000 --> 00:00:39.000]  即是童年對她來說已經去了四十多年
[00:00:39.000 --> 00:00:43.000]  為什麼當分享到十歲以前的時候
[00:00:43.000 --> 00:00:45.000]  她仍然有這麼多的感觸
[00:00:45.000 --> 00:00:47.000]  這麼大的傷痕在裡面呢?
[00:00:47.000 --> 00:00:49.000]  原來這位姊妹
[00:00:49.000 --> 00:00:51.000]  她是第三個妾侍所生
[00:00:51.000 --> 00:00:53.000]  生了出來之後
[00:00:53.000 --> 00:00:56.000]  一直被那些大婆的子女
[00:00:56.000 --> 00:00:59.000]  即是正室的子女來欺負她
[00:00:59.000 --> 00:01:01.000]  打她、罵她
[00:01:01.000 --> 00:01:04.000]  在她媽媽的心目中和她爸爸的心目中
[00:01:04.000 --> 00:01:06.000]  她是毫無地位的
[00:01:06.000 --> 00:01:08.000]  是因為這樣一直到現在
[00:01:08.000 --> 00:01:11.000]  一想起以前的事跡的時候
[00:01:11.000 --> 00:01:13.000]  她心裡就不由自主
[00:01:13.000 --> 00:01:15.000]  眼淚就汪汪的湧出來
[00:01:15.000 --> 00:01:16.000]  另一方面
[00:01:16.000 --> 00:01:18.000]  如果大家最近有看新聞的時候
[00:01:18.000 --> 00:01:20.000]  我相信你們一定會留意到
[00:01:20.000 --> 00:01:23.000]  美國體育界一宗的醜聞
[00:01:23.000 --> 00:01:26.000]  就是美國溜冰隊國家隊的
[00:01:26.000 --> 00:01:30.000]  第二位排名第二的那位溜冰好手
[00:01:30.000 --> 00:01:32.000]  哈廷
[00:01:32.000 --> 00:01:34.000]  為了要爭取在選拔賽的時候
[00:01:34.000 --> 00:01:38.000]  超越第一名的卡拉根
[00:01:38.000 --> 00:01:40.000]  聽說被懷疑
[00:01:40.000 --> 00:01:44.000]  她不惜去買一些人
[00:01:44.000 --> 00:01:45.000]  帶通他們
[00:01:45.000 --> 00:01:47.000]  然後叫他們去傷害卡拉根
[00:01:47.000 --> 00:01:50.000]  以至在選拔賽的時候
[00:01:50.000 --> 00:01:52.000]  她不能夠完成選拔賽
[00:01:52.000 --> 00:01:53.000]  不能夠參加
[00:01:53.000 --> 00:01:54.000]  這件事一直到現在
[00:01:54.000 --> 00:01:57.000]  仍然轟動報界和新聞界
[00:01:57.000 --> 00:01:59.000]  各位親愛的兄弟姐妹
[00:01:59.000 --> 00:02:01.000]  是因為這樣的緣故
[00:02:01.000 --> 00:02:03.000]  我就開始有機會去看一看
[00:02:03.000 --> 00:02:05.000]  哈廷這個人的生平
[00:02:05.000 --> 00:02:08.000]  新聞也有些地方揭露了他的身世
[00:02:08.000 --> 00:02:11.000]  發覺到他的身世也是相當的可憐
[00:02:11.000 --> 00:02:13.000]  他生長在一個破裂的家庭
[00:02:13.000 --> 00:02:14.000]  父母離婚
[00:02:14.000 --> 00:02:15.000]  離婚之後
[00:02:15.000 --> 00:02:18.000]  他的母親又再改嫁
[00:02:18.000 --> 00:02:20.000]  但也是一個破裂的婚姻
[00:02:20.000 --> 00:02:21.000]  而另一方面
[00:02:21.000 --> 00:02:25.000]  我也看到這位只不過是二十多歲的二人
[00:02:25.000 --> 00:02:27.000]  他在他一生裡
[00:02:27.000 --> 00:02:30.000]  是深深被那時童年的經歷
[00:02:30.000 --> 00:02:31.000]  如影隨形的
[00:02:31.000 --> 00:02:34.000]  好像幽魂一樣來纏著他
[00:02:34.000 --> 00:02:37.000]  醉酒
[00:02:37.000 --> 00:02:39.000]  Chain smoking
[00:02:39.000 --> 00:02:41.000]  繼續不斷一支煙不離一支煙
[00:02:41.000 --> 00:02:42.000]  繼續不斷吸煙
[00:02:42.000 --> 00:02:45.000]  甚至有些報道說
[00:02:45.000 --> 00:02:47.000]  他有可能是吸毒的
[00:02:47.000 --> 00:02:50.000]  他為了逃避他不快樂的家庭
[00:02:50.000 --> 00:02:52.000]  很快就結婚
[00:02:52.000 --> 00:02:54.000]  但也很快就離婚
[00:02:54.000 --> 00:02:57.000]  他曾經結交過很多朋友
[00:02:57.000 --> 00:02:59.000]  一熟了之後
[00:02:59.000 --> 00:03:01.000]  就跟著散了
[00:03:01.000 --> 00:03:02.000]  在他的性格
[00:03:02.000 --> 00:03:04.000]  他很執著
[00:03:04.000 --> 00:03:06.000]  很沒有安全感
[00:03:06.000 --> 00:03:08.000]  任何人稍為熟一點
[00:03:08.000 --> 00:03:10.000]  就很容易被他利用
[00:03:10.000 --> 00:03:11.000]  要去控制
[00:03:11.000 --> 00:03:13.000]  而造成的結果
[00:03:13.000 --> 00:03:14.000]  一熟了之後
[00:03:14.000 --> 00:03:17.000]  他就變成那些朋友都一個一個離開他
