
[00:00:00.000 --> 00:00:08.000]  很高興能夠今天繼續和弟兄姊妹分享主的話語
[00:00:08.000 --> 00:00:13.600]  今天和大家一起分享的經文是約爾書第三章
[00:00:13.600 --> 00:00:16.400]  我們今天只會看兩節的經文
[00:00:16.400 --> 00:00:20.000]  就是第三章第十二節和第十三節
[00:00:20.000 --> 00:00:23.200]  今天的講題就是「時候滿了」
[00:00:23.200 --> 00:00:29.000]  讓我們再次回到主的話的面前一起細心研讀一下
[00:00:29.000 --> 00:00:33.800]  在我們回到主的話語之前
[00:00:33.800 --> 00:00:37.400]  我想和大家一起分享一下我的一些經歷
[00:00:37.400 --> 00:00:42.000]  在我家的後院裡有一棵桑樹
[00:00:42.000 --> 00:00:46.600]  其實自從我搬進來這間屋之後
[00:00:46.600 --> 00:00:53.400]  這棵桑樹其實大大話話都有十年左右的樹齡
[00:00:53.400 --> 00:00:56.000]  其實這棵桑樹很特別
[00:00:56.000 --> 00:01:03.000]  因為每一年的五月尾至六月左右這個時間
[00:01:03.000 --> 00:01:09.000]  很多時候這棵桑樹上就會開始結很多的桑果
[00:01:09.000 --> 00:01:12.000]  我其實很喜歡吃桑果
[00:01:12.000 --> 00:01:17.000]  其實以前我都很喜歡買一些乾的桑果來吃
[00:01:17.000 --> 00:01:23.000]  自從那棵樹和它有很多的交通交往
[00:01:23.000 --> 00:01:24.000]  種了它這麼多年之後
[00:01:24.000 --> 00:01:27.000]  其實我也有很多故事曾經和大家分享過
[00:01:27.000 --> 00:01:34.000]  但是這棵樹現在每一年在這段時間都會生出很多的桑果
[00:01:34.000 --> 00:01:37.000]  因為它生出很多這些桑果
[00:01:37.000 --> 00:01:44.000]  而且很多時候這些桑果的熟透程度也很快
[00:01:44.000 --> 00:01:47.000]  不是說可以一個蘋果你看著它小小的
[00:01:47.000 --> 00:01:49.000]  然後看它怎麼變大
[00:01:49.000 --> 00:01:51.000]  然後從青色變成紅色
[00:01:51.000 --> 00:01:52.000]  沒有這樣的機器
[00:01:52.000 --> 00:01:53.000]  這個時間很短的
[00:01:53.000 --> 00:01:55.000]  所以你看到它桑果
[00:01:55.000 --> 00:02:01.000]  今天可能你看到它只是仍然青青綠綠的狀態之下
[00:02:01.000 --> 00:02:04.000]  其實可能到明天的下午
[00:02:04.000 --> 00:02:07.000]  它已經突然間變得很成熟
[00:02:07.000 --> 00:02:11.000]  變成很深紫色的顏色
[00:02:11.000 --> 00:02:13.000]  甚至因為它很快熟
[00:02:13.000 --> 00:02:16.000]  所以有時候不單止樹上的桑果
[00:02:16.000 --> 00:02:25.000]  有時候在地上的地面也掉滿了這棵桑果樹
[00:02:25.000 --> 00:02:27.000]  掉下來的桑果
[00:02:27.000 --> 00:02:30.000]  不過也因為這個緣故
[00:02:30.000 --> 00:02:37.000]  這棵桑果樹每逢這個時段就會很忙碌
[00:02:37.000 --> 00:02:39.000]  而且很熱鬧
[00:02:39.000 --> 00:02:40.000]  為什麼呢
[00:02:40.000 --> 00:02:42.000]  因為無論在天上的
[00:02:42.000 --> 00:02:44.000]  或者在地上的
[00:02:44.000 --> 00:02:46.000]  甚至是地底下的
[00:02:46.000 --> 00:02:50.000]  各式各樣的動物都會一起來
[00:02:50.000 --> 00:02:56.000]  盡快去享受這棵桑果樹上所結出的果子
[00:02:56.000 --> 00:03:00.000]  而我也是其中一個樹的主人
[00:03:00.000 --> 00:03:05.000]  當然也很希望能夠享受到這棵桑果樹上的果子
[00:03:05.000 --> 00:03:09.000]  所以經常在那段時間就經常去留意
[00:03:09.000 --> 00:03:12.000]  看著那棵樹哪一顆桑果是熟了
[00:03:12.000 --> 00:03:15.000]  我就要盡快把它摘下來
[00:03:15.000 --> 00:03:17.000]  因為如果我不摘下來的話
[00:03:17.000 --> 00:03:19.000]  通常只有幾個後果
[00:03:19.000 --> 00:03:21.000]  第一,要不就是熟了那一顆
[00:03:21.000 --> 00:03:23.000]  然後它掉到地上
[00:03:23.000 --> 00:03:28.000]  有時候我不想撿地上的桑果來吃
[00:03:28.000 --> 00:03:31.000]  如果我不摘得及時
[00:03:31.000 --> 00:03:33.000]  可能那些鳥會飛過來
[00:03:33.000 --> 00:03:36.000]  所以那棵桑果樹就很忙碌
[00:03:36.000 --> 00:03:38.000]  很多鳥經常跑過來
[00:03:38.000 --> 00:03:40.000]  它又不熟不吃
[00:03:40.000 --> 00:03:43.000]  它看到那一顆漂亮的、熟的、甜的
[00:03:43.000 --> 00:03:45.000]  它就很會選擇
