
[00:00:00.000 --> 00:00:10.240]  今天會跟大家一起思想的經文是出自於這個馬太福音第九章第35至第38節
[00:00:10.240 --> 00:00:14.960]  我們一起思想的題目是叫做守護好神的莊稼
[00:00:14.960 --> 00:00:19.680]  很多時候我們教會裡面經常都討論到一個題目
[00:00:19.680 --> 00:00:21.680]  就叫做呼召
[00:00:21.680 --> 00:00:24.800]  最近我和師妹聊天的時候
[00:00:24.800 --> 00:00:27.920]  好像和一個朋友一個姐妹聊天的時候
[00:00:27.920 --> 00:00:31.680]  她說她們曾經去過一間天主教教會裡面
[00:00:31.680 --> 00:00:36.320]  很多的神父都經常叫弟兄姐妹不要只是回來教會
[00:00:36.320 --> 00:00:39.920]  你們要呼召做神職人員
[00:00:39.920 --> 00:00:41.920]  但是我們有一個問題
[00:00:41.920 --> 00:00:43.920]  呼召是怎麼來的呢?
[00:00:43.920 --> 00:00:45.920]  什麼叫做呼召呢?
[00:00:45.920 --> 00:00:50.480]  這個在基督教會裡面我們經常提到的題目呼召
[00:00:50.480 --> 00:00:56.400]  其實已經聽到我們用聖經的用語叫做以禱發養
[00:00:56.400 --> 00:00:59.680]  其實到底什麼意思呢呼召
[00:00:59.680 --> 00:01:02.880]  其實也都回頭去看一下
[00:01:02.880 --> 00:01:04.880]  呼召是什麼一回事
[00:01:04.880 --> 00:01:09.600]  正正是今天我想和大家一起藉著這段經文去思想的題目
[00:01:09.600 --> 00:01:14.800]  我們之前已經在第九章的開頭第九章十三節裡面
[00:01:14.800 --> 00:01:20.480]  談及過耶穌呼召我們所看的馬太福音的作者馬太
[00:01:20.480 --> 00:01:24.240]  他怎樣蒙上帝的兒子耶穌基督
[00:01:24.240 --> 00:01:27.840]  去呼召他成為門徒之一
[00:01:27.840 --> 00:01:32.960]  但是這個題目沒有停在只是馬太的蒙召裡面
[00:01:32.960 --> 00:01:40.400]  耶穌繼續希望每一個門徒能夠去明白到呼召是一回什麼事情
[00:01:40.400 --> 00:01:42.800]  而今天我們看完這段聖經之後
[00:01:42.800 --> 00:01:45.360]  下一課我們去看到第十章
[00:01:45.360 --> 00:01:50.480]  就會看到耶穌特意選了十二個門徒
[00:01:50.480 --> 00:01:53.760]  去呼召成為一個小的團隊
[00:01:53.760 --> 00:01:58.080]  來繼續推展這個傳道的工作
[00:01:58.080 --> 00:02:02.080]  所以我們希望能夠透過這一連串的題目
[00:02:02.080 --> 00:02:04.080]  去讓我們有更深的認識
[00:02:04.080 --> 00:02:06.640]  什麼叫做呼召
[00:02:06.640 --> 00:02:12.880]  首先我們要去明白到耶穌呼召我們究竟是做些什麼好呢
[00:02:12.880 --> 00:02:16.880]  這個我們就不如回頭去看回馬太福音第九章
[00:02:16.880 --> 00:02:22.080]  我們今天所看的經文第35節至到第38節的內容
[00:02:22.080 --> 00:02:26.960]  這段經文是很多的牧者甚至基督徒都很熟悉的經文
[00:02:26.960 --> 00:02:31.600]  但是這段聖經卻是很多時候被我們誤會的經文
[00:02:31.600 --> 00:02:34.080]  讓我們去看看這段經文說些什麼
[00:02:34.080 --> 00:02:36.800]  雖然剛才姐妹已經幫我們讀了一次
[00:02:36.800 --> 00:02:39.200]  不如我們再次一起同心打開
[00:02:39.200 --> 00:02:43.440]  馬太福音第九章從第35至38節
[00:02:43.440 --> 00:02:48.160]  讀多一次讓我們去明白一下這段經文所說的內容是什麼
[00:02:48.160 --> 00:02:49.920]  找到之後我們一起讀
[00:02:49.920 --> 00:02:52.080]  如果你喜歡讀的和合本版本
[00:02:52.080 --> 00:02:56.000]  應該看在我們程序表或者大家的聖經
[00:02:56.000 --> 00:02:59.520]  如果你用英語的版本可以跟自己的版本
[00:02:59.520 --> 00:03:01.760]  或者我們選用的NET版本
[00:03:01.760 --> 00:03:03.760]  我們一起找到之後打開一起讀
[00:03:03.760 --> 00:03:07.360]  耶穌走遍各城各鄉
[00:03:07.360 --> 00:03:10.160]  在會堂裡教訓人
[00:03:10.160 --> 00:03:13.040]  宣講天國的福音
[00:03:13.040 --> 00:03:16.160]  又醫治各樣的病症
[00:03:16.160 --> 00:03:20.800]  他看見許多的人就憐憫他們
[00:03:20.800 --> 00:03:23.840]  因為他們困苦流離
[00:03:23.840 --> 00:03:27.040]  如同羊沒有牧人一般
[00:03:27.040 --> 00:03:29.600]  於是對門徒說
[00:03:29.600 --> 00:03:31.840]  要收的莊稼多
[00:03:31.840 --> 00:03:33.840]  做工的人少
[00:03:33.840 --> 00:03:37.280]  所以你們當求莊稼的主
[00:03:37.280 --> 00:03:41.360]  打發工人出去收他的莊稼
[00:03:41.360 --> 00:03:44.880]  今天我會透過兩個部分跟大家一起思想這段經文
[00:03:44.880 --> 00:03:49.040]  第一個部分是看第35至36節
[00:03:49.040 --> 00:03:51.280]  我們首先明白一下
[00:03:51.280 --> 00:03:54.720]  原來耶穌基督來去侍奉的時候
[00:03:54.720 --> 00:03:57.680]  或者來到這個世界傳道的時候
[00:03:57.680 --> 00:04:02.480]  其實他的工作從來是沒有變過的
[00:04:02.480 --> 00:04:04.960]  因為這個是他自己本身的屬性
[00:04:04.960 --> 00:04:10.240]  上帝從創始到他最終的日子都好
[00:04:10.240 --> 00:04:14.880]  和我們同活都是從來沒有變過的
[00:04:14.880 --> 00:04:18.160]  因此我們作為他的門徒一份子
[00:04:18.160 --> 00:04:21.440]  我們也都應該抱著這種心態
[00:04:21.440 --> 00:04:23.840]  有上帝同樣的心智
[00:04:23.840 --> 00:04:27.680]  不要隨便因為時局因為狀態或者環境
[00:04:27.680 --> 00:04:31.840]  而我們就從而去扭轉應有的一些原則
[00:04:31.840 --> 00:04:34.640]  和我們應有的信徒應有的屬性
[00:04:34.640 --> 00:04:36.400]  我們一開始看一下這段經文
[00:04:36.400 --> 00:04:43.680]  第35節他就介紹到耶穌去到各城各鄉去傳道
[00:04:43.680 --> 00:04:51.280]  其實這個陳述早在先前第4章23節裏面已經提過的
[00:04:51.280 --> 00:04:53.600]  我們不如回去看一看好不好
[00:04:53.600 --> 00:04:58.400]  馬太福音第4章第23節裏面
