
[00:00:00.000 --> 00:00:05.000]  我回到香港已經兩星期了
[00:00:05.000 --> 00:00:07.000]  坐了14天牢
[00:00:07.000 --> 00:00:11.000]  我發現坐牢挺好的
[00:00:11.000 --> 00:00:13.000]  為什麼呢?
[00:00:13.000 --> 00:00:15.000]  因為不用外出,不用見人
[00:00:15.000 --> 00:00:17.000]  可以在家看書
[00:00:17.000 --> 00:00:19.000]  做自己喜歡做的事
[00:00:19.000 --> 00:00:21.000]  不過坐到第12天就開始很悶了
[00:00:21.000 --> 00:00:23.000]  吃那些餐蛋麵
[00:00:23.000 --> 00:00:25.000]  已經吃到口都歪了
[00:00:25.000 --> 00:00:29.000]  很盼望出來吃一頓飯
[00:00:29.000 --> 00:00:31.000]  所以我妹妹就說
[00:00:31.000 --> 00:00:33.000]  你出來我家吃飯吧
[00:00:33.000 --> 00:00:35.000]  我大大叫她還在家吃飯?
[00:00:35.000 --> 00:00:37.000]  你吃了14天的家庭飯
[00:00:37.000 --> 00:00:39.000]  記得要外出吃飯
[00:00:39.000 --> 00:00:41.000]  她那天晚上坐牢了
[00:00:41.000 --> 00:00:43.000]  要隔離14天
[00:00:43.000 --> 00:00:45.000]  很開心
[00:00:45.000 --> 00:00:47.000]  特別是見到弟兄姊妹
[00:00:47.000 --> 00:00:49.000]  我很感恩
[00:00:49.000 --> 00:00:51.000]  其實我早回來也見不到你們
[00:00:51.000 --> 00:00:53.000]  因為不可以有實體崇拜
[00:00:53.000 --> 00:00:55.000]  加拿大到現在
[00:00:55.000 --> 00:00:57.000]  都沒有實體崇拜
[00:00:57.000 --> 00:00:59.000]  因為那裡的疫情越來越嚴重
[00:00:59.000 --> 00:01:01.000]  本來BC省
[00:01:01.000 --> 00:01:03.000]  我住的地方
[00:01:03.000 --> 00:01:05.000]  每一天大概40-50宗
[00:01:05.000 --> 00:01:07.000]  現在是200多宗
[00:01:07.000 --> 00:01:09.000]  全國本來一天
[00:01:09.000 --> 00:01:13.000]  大概是500-600宗
[00:01:13.000 --> 00:01:17.000]  但現在全國每天超過2000多宗
[00:01:17.000 --> 00:01:19.000]  我回來之前
[00:01:19.000 --> 00:01:21.000]  那個星期
[00:01:21.000 --> 00:01:23.000]  還有人,四個城市
[00:01:23.000 --> 00:01:25.000]  所以市政府示威
[00:01:25.000 --> 00:01:27.000]  說疫情是假的
[00:01:27.000 --> 00:01:29.000]  為什麼要戴口罩
[00:01:29.000 --> 00:01:31.000]  為什麼不准去餐館吃東西
[00:01:31.000 --> 00:01:33.000]  還是抗議
[00:01:33.000 --> 00:01:35.000]  還有一群人
[00:01:35.000 --> 00:01:37.000]  仍然是這麼奇怪
[00:01:37.000 --> 00:01:39.000]  美國更加厲害
[00:01:39.000 --> 00:01:41.000]  你看新聞
[00:01:41.000 --> 00:01:43.000]  有一群人很自由
[00:01:43.000 --> 00:01:45.000]  不願意犧牲任何東西
[00:01:45.000 --> 00:01:47.000]  也不把群體的利益
[00:01:47.000 --> 00:01:49.000]  放在第一
[00:01:49.000 --> 00:01:51.000]  還是一些很奇怪的思想
[00:01:51.000 --> 00:01:53.000]  所以我也不明白
[00:01:53.000 --> 00:01:55.000]  後來我發現
[00:01:55.000 --> 00:01:57.000]  香港做得很好
[00:01:57.000 --> 00:01:59.000]  機場裡面的檢驗
[00:01:59.000 --> 00:02:01.000]  用了很多人手
[00:02:01.000 --> 00:02:03.000]  很多人力物力
[00:02:03.000 --> 00:02:05.000]  來防止這個病毒
[00:02:05.000 --> 00:02:07.000]  所以香港做得很好
[00:02:07.000 --> 00:02:09.000]  今天能夠在實體裡面
[00:02:09.000 --> 00:02:11.000]  和大家見面
[00:02:11.000 --> 00:02:13.000]  一方面很感恩
[00:02:13.000 --> 00:02:15.000]  一方面也看到
[00:02:15.000 --> 00:02:17.000]  中人為此付出很多代價
[00:02:17.000 --> 00:02:19.000]  很聽話的
