
[00:00:00.000 --> 00:00:04.160]  我看到黃牧師不打領帶 我不打了
[00:00:04.160 --> 00:00:06.460]  輕鬆很多
[00:00:06.460 --> 00:00:10.640]  多謝敬拜小組
[00:00:10.640 --> 00:00:13.240]  剛才分享很多東西都很touch我的心
[00:00:13.240 --> 00:00:17.660]  比如說到每一個都是宣教士 我絕對認同
[00:00:17.660 --> 00:00:20.960]  當我們講使命教會 Missionary Church的時候
[00:00:20.960 --> 00:00:23.960]  其實重點就是我們需要活出一個使命人生
[00:00:23.960 --> 00:00:25.860]  每一個都是一個宣教士
[00:00:25.860 --> 00:00:30.660]  不是少數被猜辯被揀選的人宣教士
[00:00:30.660 --> 00:00:35.900]  我也是第一次唱廣東話的宣教對中國
[00:00:35.900 --> 00:00:37.900]  我從來沒有唱過
[00:00:37.900 --> 00:00:41.500]  但是每一次唱一首詩歌的時候都很觸動我的心
[00:00:41.500 --> 00:00:45.560]  我都是贊成很認同 不是福音進中國
[00:00:45.560 --> 00:00:48.860]  而是讓中國的教會成為宣教的教會
[00:00:48.860 --> 00:00:52.560]  我覺得這個可以發生的
[00:00:52.560 --> 00:00:54.980]  不是今晚講 星期天講
[00:00:54.980 --> 00:01:00.500]  所以今晚其實是鋪排 預備星期天的信息
[00:01:00.500 --> 00:01:04.900]  你們的主題是不分種族 沒有國界 衝破時限
[00:01:04.900 --> 00:01:09.100]  很簡單 星期天的信息就是普世宣教
[00:01:09.100 --> 00:01:10.880]  其實就是應該這樣
[00:01:10.880 --> 00:01:12.800]  今晚就是盡心生命
[00:01:12.800 --> 00:01:15.760]  其實盡心生命和普世宣教是什麼?
[00:01:15.760 --> 00:01:18.340]  其實就是我們宣導的DNA
[00:01:18.340 --> 00:01:20.160]  我們屬靈的遺傳
[00:01:20.160 --> 00:01:22.360]  如果我們要將福音傳到不同種族
[00:01:22.360 --> 00:01:24.560]  沒有國界 衝破時限
[00:01:24.560 --> 00:01:26.560]  如果我們沒有一個盡心生命
[00:01:26.560 --> 00:01:28.560]  這些全部都不用說了
[00:01:28.560 --> 00:01:31.980]  所以今晚好像不是講宣教盡心生命
[00:01:31.980 --> 00:01:35.980]  其實是宣教一個最根基最根的東西
[00:01:35.980 --> 00:01:37.980]  如果沒有這個東西
[00:01:37.980 --> 00:01:42.960]  我們那些只不過是一些事工 一些責任
[00:01:42.960 --> 00:01:46.560]  更加說得不好聽 宣教是一個苦差
[00:01:46.560 --> 00:01:50.660]  我建議宣教聚會越來越少人
[00:01:50.660 --> 00:01:53.660]  不只是你們教會 很多教會都是這樣
[00:01:53.660 --> 00:01:56.480]  我想問題根源在哪裡呢?
[00:01:56.480 --> 00:01:58.480]  其實就是回到盡心的生命
[00:01:58.480 --> 00:02:00.480]  如果沒有盡心的生命
[00:02:00.480 --> 00:02:03.480]  宣教真的可以是一個苦差
[00:02:03.480 --> 00:02:05.480]  但是如果有一個盡心的生命
[00:02:05.480 --> 00:02:09.480]  其實宣教只不過是一個生命的流露
[00:02:09.480 --> 00:02:14.280]  你生命如象主 你自自然然就是一個宣教生命
[00:02:14.280 --> 00:02:17.280]  不論在海外 或者是地方
[00:02:17.280 --> 00:02:19.280]  甚至剛才說的出出停車場
[00:02:19.280 --> 00:02:21.280]  或者是你的工作地方 或者是你的學校
[00:02:21.280 --> 00:02:24.280]  或者是你的家 本身就是一個宣教的工程
[00:02:24.280 --> 00:02:27.280]  所以今晚是想用這個盡心生命
[00:02:27.280 --> 00:02:31.280]  然後星期天我們才會觸碰到這個普世宣教
[00:02:31.280 --> 00:02:34.280]  而中國人的教會 我絕對認同
[00:02:34.280 --> 00:02:39.280]  將會在前面一個非常非常策略性的契機
[00:02:39.280 --> 00:02:43.280]  問題是我們有沒有靶子 有沒有願意為生
[00:02:43.280 --> 00:02:48.280]  我不會見到人少而覺得 哎呀 怎麼會今晚這樣
[00:02:48.280 --> 00:02:51.280]  因為我現在很興奮
[00:02:51.280 --> 00:02:54.280]  因為我剛剛從蘇利南回來
[00:02:54.280 --> 00:02:57.280]  我們上個星期四到星期日
[00:02:57.280 --> 00:03:00.280]  在蘇利南有一個拉丁 不是拉丁
[00:03:00.280 --> 00:03:02.280]  不是拉丁 加勒比海的宣教大會
[00:03:02.280 --> 00:03:06.280]  我們有百多人 十多個國家 不同國家的代表
[00:03:06.280 --> 00:03:09.280]  在當中有一個聚會
[00:03:09.280 --> 00:03:13.280]  最令我興奮的 我們想不到
[00:03:13.280 --> 00:03:15.280]  在蘇利南這個教會裏面
[00:03:15.280 --> 00:03:18.280]  他們能夠做跨文化事工
[00:03:18.280 --> 00:03:21.280]  有一天我們去探一個是他們植出來的糖
[00:03:21.280 --> 00:03:24.280]  是完全都是當地的人
[00:03:24.280 --> 00:03:28.280]  所以你見到黑人 見到Brown的 見到黑的
[00:03:28.280 --> 00:03:33.280]  然後我們星期六晚的聚會是一個跨文化聚會
[00:03:33.280 --> 00:03:37.280]  那一晚我們合起來是四五百人
[00:03:37.280 --> 00:03:40.280]  我們自己華人大概是百多人
[00:03:40.280 --> 00:03:43.280]  三百多人都是當地的人
[00:03:43.280 --> 00:03:46.280]  不同的地區 他們植了幾個糖
[00:03:46.280 --> 00:03:51.280]  那天是他們三十屆的猜拳聯會
[00:03:51.280 --> 00:03:56.280]  然後我們加勒比海是第二屆的聯合猜拳聯會
[00:03:56.280 --> 00:03:58.280]  三十屆
[00:03:58.280 --> 00:04:00.280]  最令我興奮的就是進去教會的時候
[00:04:00.280 --> 00:04:03.280]  門口是派對
[00:04:03.280 --> 00:04:06.280]  是派對 宣教是一個派對
[00:04:06.280 --> 00:04:09.280]  然後當我們真的唱詩的時候
[00:04:09.280 --> 00:04:11.280]  當地的我們第二代
[00:04:11.280 --> 00:04:13.280]  他們可以唱河語 他們可以唱國語
[00:04:13.280 --> 00:04:16.280]  可以唱廣東話 唱英文
[00:04:16.280 --> 00:04:19.280]  然後到聚會的時候
[00:04:19.280 --> 00:04:21.280]  我就留在大堂
[00:04:21.280 --> 00:04:25.280]  跟土生的和當地的人用英文來講
[00:04:25.280 --> 00:04:27.280]  就翻譯成河語
[00:04:27.280 --> 00:04:31.280]  另外糖就在對面街 國語 廣東話
[00:04:31.280 --> 00:04:34.280]  然後在後面 大堂後面
[00:04:34.280 --> 00:04:38.280]  有百多個小朋友第一次搞宣教聯會
[00:04:38.280 --> 00:04:39.280]  帶領的是誰呢?
[00:04:39.280 --> 00:04:43.280]  是我們美城宣道會的Faith Lee姐妹
[00:04:43.280 --> 00:04:45.280]  她第三次去蘇利南
[00:04:45.280 --> 00:04:47.280]  帶領他們去同事公
[00:04:47.280 --> 00:04:49.280]  所以你看到我很累的
[00:04:49.280 --> 00:04:52.280]  因為我完了猜拳聯會之後
[00:04:52.280 --> 00:04:55.280]  我師母還要講四堂的培訓
[00:04:55.280 --> 00:04:57.280]  關於counseling
