
[00:00:00.000 --> 00:00:04.380]  各位大宇宙的主持人、各位朋友
[00:00:04.380 --> 00:00:07.280]  你們好 歡迎大家參加我們三藩市報道會
[00:00:07.280 --> 00:00:09.420]  網上的五堂崇拜
[00:00:09.420 --> 00:00:12.560]  我們今天繼續思想《馬太福音》的訊息
[00:00:12.560 --> 00:00:14.820]  我們來到《馬太福音》第五章
[00:00:14.820 --> 00:00:20.940]  13節至15節 題目叫做《簡而清,嚴與剛》
[00:00:20.940 --> 00:00:22.860]  在開始思想這段聖經之前
[00:00:22.860 --> 00:00:26.280]  請我們做一次同心低頭 我們同禱告
[00:00:26.280 --> 00:00:29.400]  慈悲人我一天父 我們多謝你
[00:00:29.400 --> 00:00:32.560]  我們看到世界好像有一個亂局
[00:00:32.560 --> 00:00:36.580]  尤其是我們身處三藩市這個地方
[00:00:36.580 --> 00:00:40.040]  我們發覺似乎越來越亂
[00:00:40.040 --> 00:00:44.760]  但求祢叫我們不是躺平 不是逃避
[00:00:44.760 --> 00:00:49.880]  祢吩咐我們做嚴、做剛 求祢真的幫助我們
[00:00:49.880 --> 00:00:51.620]  教導我們和我們教會
[00:00:51.620 --> 00:00:56.980]  懂得怎樣在三藩市這個地方裡面做嚴、做剛
[00:00:56.980 --> 00:01:02.000]  求祢用祢的話語去提醒、勸勉、教導、安慰、督責我們
[00:01:02.000 --> 00:01:05.700]  奉耶穌基督命求 阿們
[00:01:05.700 --> 00:01:08.900]  當阿安諾斯擔任三藩市市長的時候
[00:01:08.900 --> 00:01:12.420]  他約見了六十多名三藩市的牧師
[00:01:12.420 --> 00:01:13.760]  去到他的辦公室
[00:01:13.760 --> 00:01:17.460]  陳述一下我們認識的民間苦情
[00:01:17.460 --> 00:01:20.940]  內中有些是非裔人士 有些拉丁裔人士
[00:01:20.940 --> 00:01:23.820]  有白人 也有亞裔人士
[00:01:23.820 --> 00:01:28.620]  我們雖然背景不同 族裔不同 教會不同
[00:01:28.620 --> 00:01:30.640]  但我們都有共同的信仰
[00:01:30.640 --> 00:01:33.680]  也都有共同的負擔和看法
[00:01:33.680 --> 00:01:36.980]  我們一幫教務同工都看到三藩市
