
[00:00:00.000 --> 00:00:07.080]  我們繼續講耶利米愛歌這本書
[00:00:07.080 --> 00:00:10.500]  很多謝Lee和Cynthia幫我們選的歌
[00:00:10.500 --> 00:00:13.500]  和我今天講的主題非常吻合
[00:00:13.500 --> 00:00:15.680]  我們說耶利米愛歌
[00:00:15.680 --> 00:00:19.540]  其實不單止是一部講出猶太人
[00:00:19.540 --> 00:00:21.540]  怎樣被滅國
[00:00:21.540 --> 00:00:25.820]  怎樣聖殿被毀 城牆被毀的慘劇
[00:00:25.820 --> 00:00:30.240]  而我們看到耶利米在愛歌裏面五張書
[00:00:30.240 --> 00:00:32.540]  每一張都有一個主題
[00:00:32.540 --> 00:00:35.860]  告訴我們怎樣靠著五步
[00:00:35.860 --> 00:00:38.500]  能夠踏出憂鬱黑暗
[00:00:38.500 --> 00:00:40.900]  能夠面對我們的苦難
[00:00:40.900 --> 00:00:44.020]  第一點在第一章我們說
[00:00:44.020 --> 00:00:48.020]  要面對現實 要接受我們的現實
[00:00:48.020 --> 00:00:50.420]  如果一個人在苦難當中
[00:00:50.420 --> 00:00:52.900]  他不接受現實 不面對現實
[00:00:52.900 --> 00:00:55.500]  他是不可能可以走出來
[00:00:55.500 --> 00:00:57.740]  第二章我們說到
[00:00:57.740 --> 00:01:02.900]  是神的主權使這些災難臨到我們的身上
[00:01:02.900 --> 00:01:04.900]  就好像剛才的詩歌所說
[00:01:04.900 --> 00:01:10.260]  但是神也是鼓勵我們向祂申訴
[00:01:10.260 --> 00:01:14.740]  我們要將我們的苦難傾心如水來告訴神
[00:01:14.740 --> 00:01:16.740]  才能夠好起來
[00:01:16.740 --> 00:01:18.740]  上一次和大家說
[00:01:18.740 --> 00:01:22.700]  我們不要只看著自己的苦難鑽牛角尖
[00:01:22.700 --> 00:01:24.020]  走不出來
[00:01:24.020 --> 00:01:25.740]  我們要仰望神
[00:01:25.740 --> 00:01:28.220]  將我們的注意力放在神的身上
[00:01:28.220 --> 00:01:30.220]  才能夠走出來
[00:01:30.220 --> 00:01:33.900]  今天又有一個什麼訊息呢 很有趣
[00:01:33.900 --> 00:01:37.820]  我叫它做「論光定罪 迎門節哀」
[00:01:37.820 --> 00:01:39.820]  等下我們就會看到
[00:01:39.820 --> 00:01:42.940]  為什麼我給它一個這麼特別的題目
[00:01:42.940 --> 00:01:49.100]  我們說耶利米在愛歌的結構是非常精妙
[00:01:49.100 --> 00:01:51.100]  非常獨特
[00:01:51.100 --> 00:01:55.180]  五章書有五個字母詩
[00:01:55.180 --> 00:01:57.900]  很多的神學家 很多的聖經學者
[00:01:57.900 --> 00:02:00.180]  都說第五章沒有字母詩
[00:02:00.180 --> 00:02:01.540]  我不同意
[00:02:01.540 --> 00:02:05.660]  第五章是有個小型變相的字母詩
[00:02:05.660 --> 00:02:08.700]  但是其餘都是字母詩
[00:02:08.700 --> 00:02:12.340]  但是每一首的字母詩都有少許不同
[00:02:12.340 --> 00:02:17.900]  這個字母詩就是根據希伯來文的字母來編排
[00:02:17.900 --> 00:02:22.500]  由Eleph到Beth到Gemmel 一路這樣排下來
[00:02:22.500 --> 00:02:24.260]  我們說到第一章
[00:02:24.260 --> 00:02:27.140]  去到第十六第十七個字母
[00:02:27.140 --> 00:02:31.620]  就是Iron和Pay兩個字母調轉了
[00:02:31.620 --> 00:02:36.020]  在第二第三第四章是Pay走先過Iron
[00:02:36.020 --> 00:02:39.620]  但是在第一章Iron走先過Pay
[00:02:39.620 --> 00:02:43.820]  所以一個懂得希伯來文的讀者
[00:02:43.820 --> 00:02:46.020]  一看就知道有些問題
[00:02:46.020 --> 00:02:49.380]  就會將注意力放在第十六和第十七節
[00:02:49.380 --> 00:02:51.020]  兩節的經文
[00:02:51.020 --> 00:02:54.180]  帶出來的訊息就是我們要面對現實
[00:02:54.180 --> 00:02:56.060]  接受現實
[00:02:56.060 --> 00:02:59.300]  第二章有甚麼瑕疵
[00:02:59.300 --> 00:03:01.300]  有甚麼不同的地方
[00:03:01.300 --> 00:03:03.100]  第二章沒有瑕疵
[00:03:03.100 --> 00:03:05.900]  因為第二章的主角是說到神
[00:03:05.900 --> 00:03:10.100]  神自己來到懲罰猶大
[00:03:10.100 --> 00:03:12.540]  神是執行祂的文約
[00:03:12.540 --> 00:03:16.140]  所以神是有主權來懲罰猶大
[00:03:16.140 --> 00:03:18.380]  所以第二章是沒有瑕疵的
[00:03:18.380 --> 00:03:19.660]  是說到神
[00:03:19.660 --> 00:03:21.940]  神是沒有瑕疵的
[00:03:21.940 --> 00:03:25.180]  那你說我們怎樣知道經文的重心在哪
[00:03:25.180 --> 00:03:28.820]  剛剛讀完第一章的希伯來文的猶太人
[00:03:28.820 --> 00:03:32.180]  就會將注意力放在第十六和第十七節
[00:03:32.180 --> 00:03:35.420]  看看次序兩個字母有沒有調轉
[00:03:35.420 --> 00:03:37.140]  而帶出來的經文
[00:03:37.140 --> 00:03:40.860]  就是神應驗了他古時所命定
[00:03:40.860 --> 00:03:43.140]  就是祂執行了祂的文約
[00:03:43.140 --> 00:03:46.820]  古時所命定的就是祂和猶太人的文約
[00:03:46.820 --> 00:03:49.420]  你們守約是會得到祝福
[00:03:49.420 --> 00:03:52.820]  你們毀約的話就會得到奏助
[00:03:52.820 --> 00:03:55.420]  而的確猶太人是頻頻毀約
[00:03:55.420 --> 00:03:58.020]  所以奏助臨到他們的身上
