
[00:00:00.000 --> 00:00:03.000]  各位親愛的親愛的各位
[00:00:03.000 --> 00:00:04.000]  各位親愛的各位
[00:00:04.000 --> 00:00:05.000]  大家早安
[00:00:05.000 --> 00:00:07.000]  讓我們在聆聽主的說話之前
[00:00:07.000 --> 00:00:09.000]  讓我們再次同心低頭禱告
[00:00:09.000 --> 00:00:11.000]  讓我們轉愛於神
[00:00:11.000 --> 00:00:16.000]  父神多謝你讓我們回到你的說話
[00:00:16.000 --> 00:00:17.000]  在你的啟示當中
[00:00:17.000 --> 00:00:21.000]  能夠有這個福氣去研讀思想
[00:00:21.000 --> 00:00:23.000]  並且蒙受聖靈的引導
[00:00:23.000 --> 00:00:28.000]  很想我們能夠從當中明白上帝你的心懷意念
[00:00:28.000 --> 00:00:31.000]  我們為此再次獻上感恩
[00:00:31.000 --> 00:00:32.000]  求你的帶領
[00:00:32.000 --> 00:00:35.000]  捉緊我們每一個人的心生靈
[00:00:35.000 --> 00:00:39.000]  都能夠在主你的聖靈的模造之下
[00:00:39.000 --> 00:00:44.000]  讓我們活得更加像恩主你屬神子民應有的樣式
[00:00:44.000 --> 00:00:48.000]  上帝你原本創造我們原本的原樣
[00:00:48.000 --> 00:00:49.000]  求你的帶領
[00:00:49.000 --> 00:00:54.000]  我們禱告奉靠主耶穌基督得聖靈自拔
[00:00:54.000 --> 00:00:55.000]  阿們
[00:00:56.000 --> 00:01:00.000]  今天我們的教會
[00:01:00.000 --> 00:01:04.000]  走向一個發展的路向
[00:01:04.000 --> 00:01:08.000]  就是越來越個人主義
[00:01:08.000 --> 00:01:12.000]  或者甚至用英文說比較準確一點
[00:01:12.000 --> 00:01:15.000]  就是比較self-centered
[00:01:15.000 --> 00:01:19.000]  不過又諷刺地這樣說
[00:01:19.000 --> 00:01:21.000]  很多時候很多信徒又說
[00:01:21.000 --> 00:01:28.000]  我們的敬拜我們侍奉應該是在基督為中心的敬拜
[00:01:28.000 --> 00:01:33.000]  但是如果當我們還顧再看回今天的崇拜的時候
[00:01:33.000 --> 00:01:36.000]  或者教會不同的聚會的時候
[00:01:36.000 --> 00:01:41.000]  其實很多時候整個崇拜的設計
[00:01:41.000 --> 00:01:43.000]  或者那些環節
[00:01:43.000 --> 00:01:45.000]  我用這個說法
[00:01:45.000 --> 00:01:53.000]  環節是很著重於怎樣去配合我們個人的需要
[00:01:53.000 --> 00:01:55.000]  或者我們的渴望
[00:01:55.000 --> 00:02:00.000]  就是要討好我們的需求來設計
[00:02:00.000 --> 00:02:07.000]  而且發現到很多時候教會設計的聚會
[00:02:07.000 --> 00:02:12.000]  都是要以大和宏偉為主要目的
[00:02:12.000 --> 00:02:17.000]  因為當聚會搞得越大越宏偉的時候
[00:02:17.000 --> 00:02:23.000]  連搞的人也都覺得自己是越成功地去侍奉上帝
[00:02:23.000 --> 00:02:26.000]  而至於參與這些聚會的人
[00:02:26.000 --> 00:02:32.000]  也都會覺得那種宏偉和有更大的號召力感染力
[00:02:32.000 --> 00:02:37.000]  就以為自己靈性又更加接近上帝
[00:02:37.000 --> 00:02:39.000]  所以我們會留意到
[00:02:39.000 --> 00:02:42.000]  譬如很多不同的所謂的報道團
[00:02:42.000 --> 00:02:45.000]  我不點名了 大家參加過很多
[00:02:45.000 --> 00:02:47.000]  那你們去想一想
[00:02:47.000 --> 00:02:51.000]  每每這些報道團所搞的報道會
[00:02:51.000 --> 00:02:57.000]  都很著重於將這些聚會搞得有人多
[00:02:57.000 --> 00:02:59.000]  興旺
[00:02:59.000 --> 00:03:02.000]  甚至音響設計
[00:03:02.000 --> 00:03:08.000]  也都以澎湃激昂或者感性來設計
[00:03:08.000 --> 00:03:11.000]  如果搞得比較傳統的那些
[00:03:11.000 --> 00:03:13.000]  就要有師班
[00:03:13.000 --> 00:03:21.000]  師班往往都是要搞到有百人大集會去唱的
[00:03:21.000 --> 00:03:25.000]  但是會發覺到在當中參與的人
[00:03:25.000 --> 00:03:29.000]  是不是因為這樣他們的靈性更加接近上帝呢
[00:03:29.000 --> 00:03:34.000]  還是只不過是被一種環境去渲染呢
[00:03:34.000 --> 00:03:41.000]  這個討論長期都在教會圈子裏面進行討論
