
[00:00:00.000 --> 00:00:06.440]  隨著2019年的結束 講完《羅馬書》
[00:00:06.440 --> 00:00:08.640]  明年講甚麼還沒決定
[00:00:08.640 --> 00:00:11.320]  不過今年年底就選了一首
[00:00:11.320 --> 00:00:12.740]  選了一段的經文
[00:00:12.740 --> 00:00:17.880]  就是從行過一年的路有關的經文
[00:00:17.880 --> 00:00:20.680]  就是從行路有關的經文
[00:00:20.680 --> 00:00:23.780]  所以就選了這首詩篇121篇
[00:00:23.780 --> 00:00:27.500]  我們一樣跟通常一樣
[00:00:27.500 --> 00:00:32.220]  我們八節的經文 我們首先讀完八節的經文
[00:00:32.220 --> 00:00:37.480]  這首詩是屬於一類的詩叫做「上行之詩」
[00:00:37.480 --> 00:00:40.980]  我們就從「我要」開始 預備起
[00:00:40.980 --> 00:00:46.180]  我要向山舉目 我的幫助從何而來
[00:00:46.180 --> 00:00:50.780]  我的幫助從造天地的耶和華而來
[00:00:50.780 --> 00:00:53.900]  它必不叫你的腳搖動
[00:00:53.900 --> 00:00:56.560]  保護你的必不打頓
[00:00:56.560 --> 00:01:01.560]  保護以色列的也不打頓也不睡覺
[00:01:01.560 --> 00:01:04.180]  保護你的是耶和華
[00:01:04.180 --> 00:01:07.600]  耶和華在你右邊任避你
[00:01:07.600 --> 00:01:10.620]  白日太陽必不傷你
[00:01:10.620 --> 00:01:13.900]  夜間月亮必不害你
[00:01:13.900 --> 00:01:18.820]  耶和華要保護你免受一切的災害
[00:01:18.820 --> 00:01:21.340]  祂要保護你的性命
[00:01:21.340 --> 00:01:25.020]  你出你入 耶和華要保護你
[00:01:25.020 --> 00:01:27.740]  從今時至永遠
[00:01:27.740 --> 00:01:29.740]  我們低頭再禱告
[00:01:29.740 --> 00:01:31.460]  主耶穌我們多謝祢
[00:01:31.460 --> 00:01:34.060]  因為祢是這個創天造地的神
[00:01:34.060 --> 00:01:36.860]  祢用祢的大能任避我們
[00:01:36.860 --> 00:01:39.300]  帶領我們走過2019
[00:01:39.300 --> 00:01:43.240]  也帶領我們人生的道路一直去到今天
[00:01:43.240 --> 00:01:47.000]  我們面對明天 我們不知道這條路會怎樣
[00:01:47.000 --> 00:01:48.320]  會有甚麼事情發生
[00:01:48.320 --> 00:01:50.200]  會有甚麼崎嶇
[00:01:50.200 --> 00:01:52.420]  會有甚麼意外的事情
[00:01:52.420 --> 00:01:55.740]  但是我們知道祢的保護是信實的
[00:01:55.740 --> 00:01:59.540]  祢是會時時刻刻每一天去保護我們
[00:01:59.540 --> 00:02:05.220]  今天求祢藉著祢的話語再次去鼓勵我們
[00:02:05.220 --> 00:02:07.320]  提起我們軟弱的腳
[00:02:07.320 --> 00:02:10.720]  讓我們可以堅強的、放膽的
[00:02:10.720 --> 00:02:14.860]  邁向明天 求祢去教導我們
[00:02:14.860 --> 00:02:17.660]  我們交托禱告 奉耶穌基督的名
[00:02:18.660 --> 00:02:22.760]  好 我們就回到這首詩
[00:02:22.760 --> 00:02:26.580]  這首詩是屬於一些叫上行之詩
[00:02:26.580 --> 00:02:29.640]  上行這個字希伯來文可以解作
[00:02:29.640 --> 00:02:31.540]  向上行或者向前行
[00:02:31.540 --> 00:02:34.760]  或者總之是正在走都可以
[00:02:34.760 --> 00:02:37.580]  所以在Eugene Peterson的
[00:02:37.580 --> 00:02:39.740]  The Message的翻譯裏面
[00:02:39.740 --> 00:02:43.180]  他就譯作A Song of Pilgrimage
[00:02:43.180 --> 00:02:48.000]  譯成中文就是一首朝聖的詩歌
[00:02:48.000 --> 00:02:50.500]  其實由詩篇120篇
[00:02:50.500 --> 00:02:51.660]  即是這個是121篇
[00:02:51.660 --> 00:02:53.940]  不過由120篇開始
[00:02:53.940 --> 00:02:56.500]  一直到134篇
[00:02:56.500 --> 00:02:58.920]  總共15首詩篇
[00:02:58.920 --> 00:03:01.720]  都是一些叫做上行之詩
[00:03:01.720 --> 00:03:04.420]  就是它開頭的希伯來文有兩個字
[00:03:04.420 --> 00:03:06.120]  都是Song of a Saint
[00:03:06.120 --> 00:03:07.820]  總之就是Song of Pilgrimage
[00:03:07.820 --> 00:03:11.220]  就是一首朝聖的詩歌
[00:03:11.220 --> 00:03:13.020]  我們今天的估計
[00:03:13.020 --> 00:03:16.380]  這15首詩其實都是一些
[00:03:16.380 --> 00:03:23.340]  猶太人朝聖的旅程上會唱的一些詩
[00:03:23.340 --> 00:03:25.540]  根據猶太人的律法
[00:03:25.540 --> 00:03:29.540]  所有的男性 猶太人的男性
[00:03:29.540 --> 00:03:32.420]  理論上一年都要三次
[00:03:32.420 --> 00:03:36.880]  去到耶路撒冷的聖殿那裏獻祭
[00:03:36.880 --> 00:03:40.220]  這些詩可能是那個
[00:03:40.220 --> 00:03:41.880]  當年可能是男性
[00:03:41.880 --> 00:03:47.620]  通常就會一直走到耶路撒冷的路上唱的歌
[00:03:47.620 --> 00:03:51.860]  所以這15首詩都有些共通的地方
[00:03:51.860 --> 00:03:55.140]  第一這15首詩都是很短的
[00:03:55.140 --> 00:03:56.940]  最短的那些只有三節
[00:03:56.940 --> 00:04:00.100]  譬如有一首講到
[00:04:00.100 --> 00:04:02.660]  詩篇131篇講到
[00:04:02.660 --> 00:04:04.600]  我的眼不會狂澳
[00:04:04.600 --> 00:04:09.100]  我要好像一個剛剛脫眼的嬰孩
[00:04:09.100 --> 00:04:11.620]  以為在母親懷中
[00:04:11.620 --> 00:04:14.620]  另一首詩大家可能會記得的就是
[00:04:14.620 --> 00:04:17.620]  若不是耶和華建造房屋
[00:04:17.620 --> 00:04:20.300]  他努力是枉然的
[00:04:20.300 --> 00:04:23.980]  或者講到兄弟同居是美何等的善
[00:04:23.980 --> 00:04:25.820]  等等 其實這15首詩
[00:04:25.820 --> 00:04:29.860]  我想在詩篇的150首中間
[00:04:29.860 --> 00:04:32.540]  其實大家熟悉的可能會多一些
[00:04:32.540 --> 00:04:33.900]  就是這15首詩
[00:04:33.900 --> 00:04:36.420]  它通常都是一些很短的詩歌
[00:04:36.420 --> 00:04:38.340]  三節到十多節的詩
[00:04:38.340 --> 00:04:41.260]  好像今天這首是八節
[00:04:41.260 --> 00:04:45.460]  可能它這麼短都是方便那個人唱歌
[00:04:45.460 --> 00:04:48.740]  你記住當年沒有手機這件事
[00:04:48.740 --> 00:04:51.660]  他們唱歌就是憑記憶
