
[00:00:00.000 --> 00:00:06.000]  好 剛才的大師很開心
[00:00:06.000 --> 00:00:09.000]  接著又陽光普照
[00:00:09.000 --> 00:00:11.000]  所以今天一早起床
[00:00:11.000 --> 00:00:13.000]  希望很有活力
[00:00:13.000 --> 00:00:17.000]  不過很抱歉
[00:00:17.000 --> 00:00:19.000]  今天的主題是《詩篇夜三篇》
[00:00:19.000 --> 00:00:21.000]  很快就跟你說說死人憂谷
[00:00:21.000 --> 00:00:24.000]  從陽光普照的地方去到死人憂谷
[00:00:24.000 --> 00:00:28.000]  我們今天就思考一下《詩篇夜三篇》
[00:00:28.000 --> 00:00:33.000]  人生有不同的情況迎見神
[00:00:33.000 --> 00:00:36.000]  我們上一次 昨天應該這麼說
[00:00:36.000 --> 00:00:39.000]  簡而言之 昨天一句話總結
[00:00:39.000 --> 00:00:44.000]  就是我們要在公義的路上迎見神
[00:00:44.000 --> 00:00:46.000]  這是我們每天都應該做的
[00:00:46.000 --> 00:00:50.000]  每一天我們都應該行在公義的路上
[00:00:50.000 --> 00:00:53.000]  當然不希望每天都行在死人憂谷
[00:00:53.000 --> 00:00:55.000]  有 但走過就算了
[00:00:55.000 --> 00:00:57.000]  不要留在那裡
[00:00:57.000 --> 00:01:01.000]  人生始終都會有這樣的處境
[00:01:01.000 --> 00:01:05.000]  所以我們今天就從《詩篇夜三篇》
[00:01:05.000 --> 00:01:07.000]  去思想一下
[00:01:07.000 --> 00:01:09.000]  在另一種的境況
[00:01:09.000 --> 00:01:12.000]  有時候情況不是很清楚
[00:01:12.000 --> 00:01:16.000]  《詩篇》第一篇就是如一火樹災
[00:01:16.000 --> 00:01:18.000]  在溪水旁岸時後結果之
[00:01:18.000 --> 00:01:20.000]  這樣迎見神是很開心的
[00:01:20.000 --> 00:01:23.000]  不過也有時候是另一種處境去迎見神
[00:01:23.000 --> 00:01:27.000]  我們就一起讀一下《詩篇夜三篇》
[00:01:27.000 --> 00:01:30.000]  《詩篇夜三篇》預備了
[00:01:30.000 --> 00:01:33.000]  我們讀完《夜三篇》的六節預備
[00:01:33.000 --> 00:01:38.000]  「夜和華是我的目者 我必不自缺乏
[00:01:38.000 --> 00:01:44.000]  他使我躺我在青草地上 令我在可安歇的水邊
[00:01:44.000 --> 00:01:50.000]  他使我的靈魂蘇醒 為自己的命引導我走異路
[00:01:50.000 --> 00:01:54.000]  我雖然行過死任的憂谷 也不怕遭害
[00:01:54.000 --> 00:02:00.000]  因為你與我同在 你的肝都安慰我
[00:02:00.000 --> 00:02:04.000]  在我敵人面前 你為我擺設賢席
[00:02:04.000 --> 00:02:09.000]  你用油膏撩我的頭 使我的福杯滿人
[00:02:09.000 --> 00:02:13.000]  我一生一世 必有恩惠慈愛隨著我
[00:02:13.000 --> 00:02:18.000]  我且要住在夜和華天天中 直到永遠」
[00:02:18.000 --> 00:02:26.000]  我們祈求你的肝和你的像真的與每一個弟兄姊妹同在
[00:02:26.000 --> 00:02:30.000]  假如我們當中有些人在一個很順利的環境中
[00:02:30.000 --> 00:02:34.000]  我們感謝你 讓這些弟兄姊妹可以見到
[00:02:34.000 --> 00:02:40.000]  一切的順利都不是必然的 是因為你祝福你的同在
[00:02:40.000 --> 00:02:44.000]  假如我們弟兄姊妹當中有一些現在面對的困難
[00:02:44.000 --> 00:02:50.000]  無論是工作 無論是身體上的問題 或者是家庭上的問題
[00:02:50.000 --> 00:02:54.000]  是哪一方面的問題都好 信啊 同樣讓我們可以見到
[00:02:54.000 --> 00:02:59.000]  你的肝 你的像與我們同在 今天是一段聽到的時間
[00:02:59.000 --> 00:03:04.000]  求你祝福 禱告風 耶穌基督明
[00:03:04.000 --> 00:03:09.000]  好 我們來看 《詩篇夜三篇》大家都是挺熟悉的一段經文
[00:03:09.000 --> 00:03:15.000]  不過通常有時候《詩篇夜三篇》 大家就會給一種所謂的英文ideal
[00:03:15.000 --> 00:03:22.000]  有些人想起《詩篇夜三篇》就想起一把青草地
[00:03:22.000 --> 00:03:29.000]  有首歌什麼青草地 地地地地地 珠如我通行大家
[00:03:29.000 --> 00:03:33.000]  老一輩那些 應該是青年性歌的那些應該會懂的
[00:03:33.000 --> 00:03:35.000]  年輕的那些不知道有沒有代溝
[00:03:35.000 --> 00:03:40.000]  有時候我們想《詩篇夜三篇》就會想起一個青草地很優美
[00:03:40.000 --> 00:03:45.000]  有些白白的羊 然後就很可愛很可愛的羊仔
[00:03:45.000 --> 00:03:52.000]  在那裡想起什麼毛印 什麼毛印良品的毛巾
[00:03:52.000 --> 00:03:58.000]  那些上下 很可愛的公仔在那裡 是一首這樣的東西
[00:03:58.000 --> 00:04:02.000]  《詩篇夜三篇》也有很多歌的 大家不知道還有沒有聽
