
[00:00:00.000 --> 00:00:10.000]  我們一直在說土告的系列,今天想跟大家說一個很重要的課題,土語辯。
[00:00:10.000 --> 00:00:17.000]  我今年六十歲,像我們這樣的年紀的人,通常有幾句話是時常掛在口頭的,
[00:00:17.000 --> 00:00:23.000]  尤其是近年尾,你時常聽到我們這樣說法,今時不同往日,
[00:00:23.000 --> 00:00:28.000]  今非昔比,一年不如一年,一代不如一代。
[00:00:28.000 --> 00:00:33.000]  我們時常都說這些,我想我們以前讀書不是這樣讀法的,
[00:00:33.000 --> 00:00:38.000]  以前我們出來工作不是這樣做法,以前我們去禮拜堂不是這樣聽道法的,
[00:00:38.000 --> 00:00:44.000]  我們始老賣老通常都是說以前怎樣好,想當年,
[00:00:44.000 --> 00:00:50.000]  去了美國這麼多年之後學得老回這一句,The good old days。
[00:00:50.000 --> 00:00:55.000]  有時心裏不敢自問,究竟這班人,包括我在內,說這些話是什麼意思呢?
[00:00:55.000 --> 00:01:03.000]  我想大概是懷緬過去,想當年,舊時一毫子是一條油條,三毫子是飛過法,
[00:01:03.000 --> 00:01:10.000]  八毫子是一碟豆腐牛肉飯,過百元錢就是一雙白色鞋子,全部是港幣計算,
[00:01:10.000 --> 00:01:15.000]  那時港幣換美金是一毫子,一元就換五個七元港元,
[00:01:15.000 --> 00:01:20.000]  舊時的東西又便宜又好,腸粉有蝦米,油條有鹹煎餅,
[00:01:20.000 --> 00:01:25.000]  總之舊時樣樣都是好的,是不是?
[00:01:25.000 --> 00:01:29.000]  沒有人出聲的,沒有人像我這樣的年紀。
[00:01:29.000 --> 00:01:35.000]  從經濟的角度去看,如果你從經濟的角度去看,剛才說的好像是對的,
[00:01:35.000 --> 00:01:39.000]  從道德的角度去看,通常我們更加說這件事,
[00:01:39.000 --> 00:01:45.000]  想當年,我那時在新界住,踩單車去上學,我單車就放在火車站,
[00:01:45.000 --> 00:01:51.000]  不用鎖,沒有人偷的,我晚上從不會關門睡覺的,夜不閉戶的,
[00:01:51.000 --> 00:01:57.000]  我上學不怕人打的,不怕人開槍的,不怕人踢黑社會的,不怕人打機的,
[00:01:57.000 --> 00:02:01.000]  樣樣都不怕,只記得一句是什麼?我記得小學,一讀小學,
[00:02:01.000 --> 00:02:05.000]  老師就教我讀這句,只怕老師說我懶,
[00:02:05.000 --> 00:02:08.000]  無面見爹娘的,你還會不會唱這首歌?
[00:02:08.000 --> 00:02:15.000]  (唱)
[00:02:15.000 --> 00:02:19.000]  我們是在二年級學的,第一首,我一上學就要教這首歌,只怕老師說我懶,
[00:02:19.000 --> 00:02:27.000]  現在,現在,有沒有這首歌唱?我想沒有一間小學是唱這首歌的,
