
[00:00:00.000 --> 00:00:09.000]  頂姐妹你好 剛才我來的時候在外面已經聽到你們的歌聲很好聽
[00:00:09.000 --> 00:00:12.000]  我發現很多教會唱歌有兩個情況
[00:00:12.000 --> 00:00:16.000]  一個情況是在台上勁拜隊唱得很大聲 但在台下聽不到
[00:00:16.000 --> 00:00:21.000]  另一個情況就是很多主日崇拜裏面的頂姐妹
[00:00:21.000 --> 00:00:26.000]  參加的時候都好像旁觀者一樣 沒有什麼唱詩
[00:00:26.000 --> 00:00:30.000]  在你們的情況就真的不同剛才那兩個情況
[00:00:30.000 --> 00:00:35.000]  我看到大家都很投入 很認真的唱詩 為了你們感謝神
[00:00:35.000 --> 00:00:42.000]  昨晚我跟大家說過 這幾天我準備跟大家分享大事的方向
[00:00:42.000 --> 00:00:45.000]  我講的是異象是什麼 我理解異象
[00:00:45.000 --> 00:00:50.000]  或者好像會歌想唱的 成為我異象的意思
[00:00:50.000 --> 00:00:56.000]  即是說將神自己的意思就成為我們自己生命
[00:00:56.000 --> 00:00:59.000]  成為我們自己本身人生要走的方向
[00:00:59.000 --> 00:01:05.000]  我想今天晚上跟大家說一下成為我異象的另外一個重點
[00:01:05.000 --> 00:01:08.000]  就是關鍵在哪裡
[00:01:08.000 --> 00:01:13.000]  將神的意思成為我們自己的意思
[00:01:13.000 --> 00:01:17.000]  以致我們人生不同的關鍵點在哪裡呢?
[00:01:17.000 --> 00:01:31.000]  請大家看一段聖經 請你翻開馬太第九章第九節到十七節
[00:01:31.000 --> 00:01:33.000]  請大家讀出這段聖經
[00:01:33.000 --> 00:01:39.000]  耶穌從那裡往前走 看見一個人名叫馬太
[00:01:39.000 --> 00:01:44.000]  坐在罪棺上 說:「你跟從我來」
[00:01:44.000 --> 00:01:47.000]  他就起來跟從了耶穌
[00:01:47.000 --> 00:01:56.000]  坐直的時候 與耶穌和他的門徒一同坐直
[00:01:56.000 --> 00:02:01.000]  伯利賽人看見 就對耶穌的門徒說
[00:02:01.000 --> 00:02:06.000]  「你們的先生為什麼和稅吏並罪人一同吃飯?」
[00:02:06.000 --> 00:02:11.000]  耶穌聽見就說:「康健的人用不著醫生
[00:02:11.000 --> 00:02:13.000]  有病的人才用得著」
[00:02:13.000 --> 00:02:18.000]  「我喜愛連戌 不喜愛製止」
[00:02:18.000 --> 00:02:22.000]  這句話的意思你們且要全摸
[00:02:22.000 --> 00:02:26.000]  我來本不是召義人 乃是召罪人
[00:02:26.000 --> 00:02:30.000]  那時約翰的門徒來見耶穌說:
[00:02:30.000 --> 00:02:33.000]  「我們和伯利賽人上上甘食」
[00:02:33.000 --> 00:02:38.000]  「你的門徒倒不甘食 這是為什麼?」
[00:02:38.000 --> 00:02:40.000]  耶穌對他們說:
[00:02:40.000 --> 00:02:43.000]  「新郎和陪伴之人同在的時候
[00:02:43.000 --> 00:02:46.000]  陪伴之人豈能哀動呢?」
[00:02:46.000 --> 00:02:50.000]  但日子將到 新郎要離開他們
[00:02:50.000 --> 00:02:53.000]  那時他們就要甘食
[00:02:53.000 --> 00:02:57.000]  沒有人把新布鋪在舊衣服上
[00:02:57.000 --> 00:03:01.000]  因為所鋪上的反大懷了那衣服
[00:03:01.000 --> 00:03:03.000]  破的更大了
[00:03:03.000 --> 00:03:07.000]  也沒有人把新酒裝在舊皮袋裡
[00:03:07.000 --> 00:03:10.000]  若是這樣 皮袋就裂開
[00:03:10.000 --> 00:03:13.000]  走漏出來 連皮袋也壞了
[00:03:13.000 --> 00:03:17.000]  唯獨把新酒裝在新皮袋裡
[00:03:17.000 --> 00:03:20.000]  兩樣就都保存了」
[00:03:20.000 --> 00:03:22.000]  聖經如果從一個角度來說
[00:03:22.000 --> 00:03:25.000]  很明顯是分開兩個大的段落
[00:03:25.000 --> 00:03:29.000]  一個是第九節丹丹節 一件事蹟
[00:03:29.000 --> 00:03:32.000]  然後第十節開始
[00:03:32.000 --> 00:03:34.000]  就是一些對話
