
[00:00:00.000 --> 00:00:06.000]  今天很高興能夠來到大家當中
[00:00:06.000 --> 00:00:10.000]  我第一次來到柴灣這個地方
[00:00:10.000 --> 00:00:17.000]  我以為很多工業區
[00:00:17.000 --> 00:00:19.000]  誰知有這麼漂亮的教會
[00:00:19.000 --> 00:00:24.000]  很高興和大家一起分享神的話
[00:00:24.000 --> 00:00:28.000]  今天我想和大家分享一個詩篇
[00:00:28.000 --> 00:00:29.000]  是一百二十一篇
[00:00:29.000 --> 00:00:31.000]  這首詩好像很簡單
[00:00:31.000 --> 00:00:33.000]  大家都很熟悉
[00:00:33.000 --> 00:00:36.000]  不知道大家讀的時候
[00:00:36.000 --> 00:00:38.000]  聽的時候你會覺得怎樣
[00:00:38.000 --> 00:00:41.000]  好像經常重複了很多次
[00:00:41.000 --> 00:00:44.000]  一個字就是要保護你
[00:00:44.000 --> 00:00:48.000]  這個很明顯是我們的主題
[00:00:48.000 --> 00:00:50.000]  不過我不知道大家會不會覺得
[00:00:50.000 --> 00:00:52.000]  好像不是真的
[00:00:52.000 --> 00:00:54.000]  我不知道大家會不會覺得這樣
[00:00:54.000 --> 00:00:56.000]  很多時候我們的人生
[00:00:56.000 --> 00:00:59.000]  都是很多的挫敗
[00:00:59.000 --> 00:01:01.000]  很多的問題
[00:01:01.000 --> 00:01:03.000]  基督徒一樣是很軟弱
[00:01:03.000 --> 00:01:06.000]  神好像都沒有保護我們
[00:01:06.000 --> 00:01:09.000]  這首詩說得好像很理想很漂亮
[00:01:09.000 --> 00:01:11.000]  但是是不是真的這樣呢
[00:01:11.000 --> 00:01:14.000]  我想和大家今天思想一下這個問題
[00:01:14.000 --> 00:01:18.000]  首先詩篇我想大家
[00:01:18.000 --> 00:01:20.000]  特別這首詩
[00:01:20.000 --> 00:01:24.000]  我想大家分析一下它的結構
[00:01:24.000 --> 00:01:25.000]  其實是很工整的
[00:01:25.000 --> 00:01:28.000]  每兩節有一段
[00:01:28.000 --> 00:01:31.000]  第一段第一第二節
[00:01:31.000 --> 00:01:35.000]  就是講到我幫助同神都來
[00:01:35.000 --> 00:01:39.000]  第三第四節講到神怎樣保守他的腳
[00:01:39.000 --> 00:01:42.000]  第五第六節就是保護他
[00:01:42.000 --> 00:01:44.000]  不要有事傷害他
[00:01:44.000 --> 00:01:47.000]  第七第八節就好像一個總結
[00:01:47.000 --> 00:01:51.000]  這樣的結構有什麼好呢
[00:01:51.000 --> 00:01:53.000]  我想大家思想一下這個問題
[00:01:53.000 --> 00:01:55.000]  就是大家留意一下
[00:01:55.000 --> 00:02:02.000]  每一段都講到身體一部分
[00:02:02.000 --> 00:02:04.000]  其實這個是私人特意的
[00:02:04.000 --> 00:02:06.000]  第一段是什麼呢
[00:02:06.000 --> 00:02:08.000]  眼睛
[00:02:08.000 --> 00:02:10.000]  第一節我要向山舉目
[00:02:10.000 --> 00:02:12.000]  眼睛
[00:02:12.000 --> 00:02:15.000]  第二段第三第四節
[00:02:15.000 --> 00:02:17.000]  就是腳
[00:02:17.000 --> 00:02:18.000]  第三節
[00:02:18.000 --> 00:02:21.000]  它必不叫你的腳搖動
[00:02:21.000 --> 00:02:23.000]  第五第六節比較難一點
[00:02:23.000 --> 00:02:25.000]  不是很明顯的
[00:02:25.000 --> 00:02:28.000]  是講什麼呢
[00:02:28.000 --> 00:02:29.000]  其實在原本呢
[00:02:29.000 --> 00:02:31.000]  它是講得清楚一點的
[00:02:31.000 --> 00:02:34.000]  不過我們中文譯的時候就沒有譯到
[00:02:34.000 --> 00:02:35.000]  其實它在第五節呢
[00:02:35.000 --> 00:02:38.000]  它說保護你的是耶和華
[00:02:38.000 --> 00:02:40.000]  耶和華在你右手邊
[00:02:40.000 --> 00:02:42.000]  原文真的有個「手」字的
[00:02:42.000 --> 00:02:43.000]  是手啊
[00:02:43.000 --> 00:02:45.000]  右手邊
[00:02:45.000 --> 00:02:47.000]  任地利
[00:02:47.000 --> 00:02:48.000]  第七第八呢
[00:02:48.000 --> 00:02:50.000]  就是第七節最後那裡
[00:02:50.000 --> 00:02:52.000]  是神的命
[00:02:52.000 --> 00:02:54.000]  有些人說這個是本來是
[00:02:54.000 --> 00:02:55.000]  是一條頸的
[00:02:55.000 --> 00:02:57.000]  或者是代表生命
[00:02:57.000 --> 00:02:58.000]  神的命
[00:02:58.000 --> 00:03:00.000]  所以有四樣東西的話
[00:03:00.000 --> 00:03:02.000]  眼、腳、手
[00:03:02.000 --> 00:03:04.000]  是神的命
[00:03:04.000 --> 00:03:06.000]  我想問一下呢
[00:03:06.000 --> 00:03:08.000]  如果今天
[00:03:08.000 --> 00:03:10.000]  神要保護你
[00:03:10.000 --> 00:03:11.000]  只有一樣的
[00:03:11.000 --> 00:03:14.000]  這四樣你寧願神保護你什麼呢
[00:03:14.000 --> 00:03:16.000]  哪樣東西最重要呢
[00:03:16.000 --> 00:03:18.000]  其實私人好像有一點點
[00:03:18.000 --> 00:03:20.000]  想問我們的
[00:03:20.000 --> 00:03:25.000]  其實不同人生階段
[00:03:25.000 --> 00:03:27.000]  可能你要的東西是不同的
[00:03:27.000 --> 00:03:30.000]  可能青年的時候呢
[00:03:30.000 --> 00:03:32.000]  腳很重要
