
[00:00:00.000 --> 00:00:08.840]  今天我們看一段經文第25章十節
[00:00:08.840 --> 00:00:11.340]  但不止的在旁邊也看了
[00:00:11.340 --> 00:00:14.040]  上次講完馬可波音之後
[00:00:14.040 --> 00:00:16.880]  今年過了最後四個月
[00:00:16.880 --> 00:00:20.480]  我們就看看教會有沒有特別的安排
[00:00:20.480 --> 00:00:25.520]  我就按神的感動跟大家分享一些
[00:00:25.520 --> 00:00:28.520]  我覺得頗重要的題目
[00:00:28.520 --> 00:00:32.600]  所以今天就來到薩姆爾記第25章
[00:00:32.600 --> 00:00:34.840]  為什麼會是第25章呢
[00:00:34.840 --> 00:00:37.440]  因為第25章是一個很特別的薩姆爾記
[00:00:37.440 --> 00:00:38.960]  裡面的一個分水嶺
[00:00:38.960 --> 00:00:42.600]  因為是講到薩姆爾死了
[00:00:42.600 --> 00:00:44.600]  第25章第一節開始
[00:00:44.600 --> 00:00:47.880]  我們不會讀經文
[00:00:47.880 --> 00:00:50.080]  一路看經文的時間
[00:00:50.080 --> 00:00:53.080]  就一路進入經文的內容
[00:00:53.080 --> 00:00:55.960]  看看上帝有什麼提醒給我們
[00:00:55.960 --> 00:00:58.480]  我們由簡單的祈禱開始
[00:00:58.480 --> 00:01:00.480]  今天的上帝的訊息
[00:01:00.480 --> 00:01:04.280]  大而好 上帝我們來到主你自己的面前
[00:01:04.280 --> 00:01:06.280]  來到上帝你的面前
[00:01:06.280 --> 00:01:09.800]  再次將生命放在主你自己的恩手當中
[00:01:09.800 --> 00:01:12.520]  我們知道在生活的每一個細節裡面
[00:01:12.520 --> 00:01:16.680]  主你都是和我們一起走的人生路的上帝
[00:01:16.680 --> 00:01:18.840]  我們看到每一個細節裡面
[00:01:18.840 --> 00:01:20.840]  都看到主你自己很多的
[00:01:20.840 --> 00:01:22.840]  在我們生命當中的提醒
[00:01:22.840 --> 00:01:25.320]  主是讓我們真的有一個熟齡的眼睛
[00:01:25.320 --> 00:01:27.920]  能夠看見 熟齡的耳朵能夠聽見
[00:01:27.920 --> 00:01:29.920]  甚至打開我們熟齡的心
[00:01:29.920 --> 00:01:32.560]  去迎接主你自己給我們的提醒
[00:01:32.560 --> 00:01:33.840]  任由主你自己帶領
[00:01:33.840 --> 00:01:35.120]  藉著今天的訊息
[00:01:35.120 --> 00:01:36.920]  讓每一個弟兄姊妹在當中
[00:01:36.920 --> 00:01:38.600]  都聽到主你自己的話語
[00:01:38.600 --> 00:01:40.600]  也有孩子來到你面前的時間
[00:01:40.600 --> 00:01:42.760]  成為主你自己流通的管子
[00:01:42.760 --> 00:01:44.760]  讓你的訊息藉著喊者的口
[00:01:44.760 --> 00:01:46.760]  能夠成為弟兄姊妹的基底
[00:01:46.760 --> 00:01:48.280]  幫助和成長
[00:01:48.280 --> 00:01:49.000]  我們謝謝你
[00:01:49.000 --> 00:01:51.000]  主耶穌念之祈禱 阿們
[00:01:51.000 --> 00:01:53.000]  這段經文
[00:01:53.000 --> 00:01:56.000]  講一個故事關於馬雲
[00:01:56.000 --> 00:01:58.600]  不是阿里巴巴的馬雲
[00:01:58.600 --> 00:02:02.280]  講馬雲的這個地方
[00:02:02.280 --> 00:02:04.280]  裡面有三個主角
[00:02:04.280 --> 00:02:05.560]  當大家去看的時候
[00:02:05.560 --> 00:02:06.680]  第一個就是大衛
[00:02:06.680 --> 00:02:08.680]  另一個就是叫做拿八的人
[00:02:08.680 --> 00:02:10.680]  拿八
[00:02:10.680 --> 00:02:12.680]  一二三四五六七八的八
[00:02:12.680 --> 00:02:13.480]  拿八
[00:02:13.480 --> 00:02:16.360]  還有一個叫做阿比蓋的人
