
[00:00:00.000 --> 00:00:07.520]  我們今早的崇拜就是選了剛才我們所讀的那篇很美麗的詩篇
[00:00:07.520 --> 00:00:11.320]  121篇跟大家一齊思想
[00:00:11.320 --> 00:00:19.040]  神自己在我們城北30年過去、現在、將來要走的道路
[00:00:19.040 --> 00:00:25.240]  詩篇121篇是很多頂姐妹都很熟悉的詩篇
[00:00:25.240 --> 00:00:29.880]  待會我都想跟大家一起讀一些裡面的經文
[00:00:29.880 --> 00:00:33.680]  如果你手裡有這個和合本的聖經
[00:00:33.680 --> 00:00:35.800]  我請你打開拿出來
[00:00:35.800 --> 00:00:38.800]  我很想跟大家一起去重溫
[00:00:38.800 --> 00:00:42.680]  也是深刻的看著這篇詩篇 好不好?
[00:00:42.680 --> 00:00:46.000]  雖然這篇詩篇很短 有些頂姐妹會背的
[00:00:46.000 --> 00:00:52.280]  但是背 我們都要好好記住這篇詩篇裡面所說的話
[00:00:52.280 --> 00:00:59.120]  大家待會聽到的時候看這個PowerPoint就可以了
[00:00:59.120 --> 00:01:03.520]  因為我們這個程序單裡面
[00:01:03.520 --> 00:01:08.040]  印出來的大綱有些遺漏 有幾段遺漏了
[00:01:08.040 --> 00:01:10.520]  所以你會跟不上我說什麼的
[00:01:10.520 --> 00:01:15.560]  你看著那個打出來的螢幕就可以了
[00:01:15.560 --> 00:01:21.040]  為什麼會選這篇詩篇?
[00:01:21.040 --> 00:01:25.120]  我們城北經過了30年的日子
[00:01:25.120 --> 00:01:28.520]  我不知道可能你是從第一年就開始來的
[00:01:28.520 --> 00:01:31.200]  我也不是很久 我25年而已
[00:01:31.200 --> 00:01:33.720]  有些人可能來了幾年 不要緊
[00:01:33.720 --> 00:01:36.000]  無論是什麼日子 我想告訴你
[00:01:36.000 --> 00:01:38.840]  我們城北堂正如所有的教會一樣
[00:01:38.840 --> 00:01:41.680]  經過了高高低低有困難的時刻
[00:01:41.680 --> 00:01:44.960]  有些甚至是時刻我們認為真的不知道怎麼算
[00:01:44.960 --> 00:01:47.280]  尤其是在建堂的過程裡面
[00:01:47.280 --> 00:01:50.560]  我們看到一些的情況底下 我們當然是毫無辦法
[00:01:50.560 --> 00:01:52.000]  但是神也是這樣帶領我們
[00:01:52.000 --> 00:01:55.120]  所以今天你們和我們一起坐在這裡的時候
[00:01:55.120 --> 00:01:59.080]  我們回顧我們心裡面獻上感謝 充滿了感恩
[00:01:59.080 --> 00:02:01.440]  因為我們經過了很多的日子
[00:02:01.440 --> 00:02:04.640]  很多的恩典 也有很多的困難
[00:02:04.640 --> 00:02:07.920]  描向將來我們開始第31年
[00:02:07.920 --> 00:02:11.120]  我們前面還有很多年 很多年要繼續下去的時候
[00:02:11.120 --> 00:02:13.960]  我們仰望那位似應許的神
[00:02:13.960 --> 00:02:16.760]  當我想到這種這樣的心境的時候
[00:02:16.760 --> 00:02:19.800]  我就想起以色列人 以色列人同樣一樣
[00:02:19.800 --> 00:02:23.760]  他們是離開這個埃及 去到抗夜的時候
[00:02:23.760 --> 00:02:26.440]  前路茫茫 碰見很多的困難
[00:02:26.440 --> 00:02:30.720]  然後他們要仰望著這個應許之地要進發
[00:02:30.720 --> 00:02:34.360]  幾十年在這個地方裡面帶著這個信心
[00:02:34.360 --> 00:02:38.120]  這個心境就是和我們今天都同樣的一樣
[00:02:38.120 --> 00:02:40.720]  如果你和我一樣 曾經試過
[00:02:40.720 --> 00:02:43.480]  我記得我們如果坐飛機
[00:02:43.480 --> 00:02:46.600]  經過巴勒斯坦的上空
[00:02:46.600 --> 00:02:50.480]  你無論在香港飛過來或者是怎麼樣都好
[00:02:50.480 --> 00:02:53.760]  你經過上空的時候 如果剛剛是白天又好天的話
[00:02:53.760 --> 00:02:57.960]  你會記得在巴勒斯坦這個中東的地方
[00:02:57.960 --> 00:03:00.760]  那些抗夜的地方 現面的山脈
[00:03:00.760 --> 00:03:02.640]  你看下去的時候心都寒
[00:03:02.640 --> 00:03:05.000]  我以前和很多基督徒一樣
[00:03:05.000 --> 00:03:07.400]  經常批評猶太人
[00:03:07.400 --> 00:03:11.080]  聖經裡面記載他們在抗夜就很扭曲的 是吧
[00:03:11.080 --> 00:03:13.320]  為什麼沒有東西吃 為什麼沒有水喝
[00:03:13.320 --> 00:03:14.840]  為什麼我死都沒有地方葬
[00:03:14.840 --> 00:03:17.520]  不如我回去做奴隸 有地方葬好過
[00:03:17.520 --> 00:03:19.880]  死在這個抗夜 很多很扭曲
[00:03:19.880 --> 00:03:21.280]  我們有很多批評
[00:03:21.280 --> 00:03:23.280]  但是當我看到這些山脈
[00:03:23.280 --> 00:03:24.920]  一個又一個山脈的時候
[00:03:24.920 --> 00:03:28.360]  我想像這幫以色列人40年就在這裡走來走去
[00:03:28.360 --> 00:03:29.960]  走一個山又一個山
[00:03:29.960 --> 00:03:34.440]  我心裡面就很可能開始理解他們那種無助
[00:03:34.440 --> 00:03:36.840]  和那種洩氣的心境
[00:03:36.840 --> 00:03:39.600]  沒錯 山是真的代表了很多的困難
[00:03:39.600 --> 00:03:40.920]  過完一個又一個
[00:03:40.920 --> 00:03:44.120]  大英姐妹 我想你和我都在人生過了很多的山
[00:03:44.120 --> 00:03:46.240]  一眼看下去和我差不多年紀 是吧
[00:03:46.240 --> 00:03:47.880]  都比我年輕很多
[00:03:47.880 --> 00:03:49.840]  但是你都會經過很多人生的山
[00:03:49.840 --> 00:03:51.840]  我相信你今天坐在這裡的時候
[00:03:51.840 --> 00:03:53.000]  回顧一下 是不是
[00:03:53.000 --> 00:03:58.360]  很多山 移民的山 事業的山
[00:03:58.360 --> 00:04:01.960]  家庭的山 家人的山
[00:04:01.960 --> 00:04:06.240]  朋友工作裡面所碰見的山 是不是
[00:04:06.240 --> 00:04:08.200]  還有我們健康的山
[00:04:08.200 --> 00:04:10.000]  很多一個山一個山
[00:04:10.000 --> 00:04:13.400]  過完一個剛剛都沒有喘氣又有一個山來
[00:04:13.400 --> 00:04:14.360]  怎麼過啊?
[00:04:14.360 --> 00:04:16.040]  沒錯 我們人生就是這樣
[00:04:16.040 --> 00:04:18.400]  以色列是這樣 你和我都是這樣
[00:04:18.400 --> 00:04:22.200]  山是代表了我們人生裡面要過一個一個的難關
[00:04:22.200 --> 00:04:24.400]  所以詩人說我要向山舉目
[00:04:24.400 --> 00:04:26.600]  因為山是我們走不掉的
[00:04:26.600 --> 00:04:29.240]  我們走的路就要面對前面的山
[00:04:29.240 --> 00:04:32.200]  將來成北堂都還有很多個山要過
[00:04:32.200 --> 00:04:35.960]  沒錯 不過我想帶給你們一個重要的信息
[00:04:35.960 --> 00:04:38.800]  聖經告訴我們 尤其是舊約
[00:04:38.800 --> 00:04:41.040]  山是代表了很多的困難
[00:04:41.040 --> 00:04:43.320]  但是神特別選了很多次
[00:04:43.320 --> 00:04:46.200]  選在山上 就在山上
[00:04:46.200 --> 00:04:48.440]  祂和人特別親近的
[00:04:48.440 --> 00:04:50.240]  這個就妙了
[00:04:50.240 --> 00:04:52.560]  你記得嗎? 先知以利亞
[00:04:52.560 --> 00:04:55.880]  先知以利亞在加密山上面
[00:04:55.880 --> 00:04:58.120]  和850個異族的先知
[00:04:58.120 --> 00:05:01.200]  亞瑟拉是巴力的先知去比試
[00:05:01.200 --> 00:05:03.760]  一個人對800多個仇敵
[00:05:03.760 --> 00:05:06.160]  怎麼打啊? 沒得打
[00:05:06.160 --> 00:05:08.600]  但是神說我不需要你去打
[00:05:08.600 --> 00:05:13.760]  我面對的是一位宇宙掌管的神
[00:05:13.760 --> 00:05:16.440]  禱告的時候 火從天上降臨
[00:05:16.440 --> 00:05:18.320]  經歷到神的真實
[00:05:18.320 --> 00:05:19.840]  山是困難的地方
[00:05:19.840 --> 00:05:23.040]  山也剛剛就是最經歷神真實的地方
[00:05:23.040 --> 00:05:25.040]  這個是不是我們人生的一個經歷?
[00:05:25.040 --> 00:05:27.320]  你記得你當日最困難的日子裏面
[00:05:27.320 --> 00:05:30.160]  你現在回顧 你自己都覺得過不了
[00:05:30.160 --> 00:05:32.160]  你的朋友都告訴你過不了
[00:05:32.160 --> 00:05:35.840]  但是神就在那裏顯出它的真實
[00:05:35.840 --> 00:05:39.560]  摩西在荷列山上面
[00:05:39.560 --> 00:05:41.880]  見到神銷的荊棘
[00:05:41.880 --> 00:05:43.400]  沒有被焚毀
[00:05:43.400 --> 00:05:45.880]  神的說話就在向他說
[00:05:45.880 --> 00:05:48.240]  四十多年了 他已經忘記了神
[00:05:48.240 --> 00:05:50.040]  但是就在這個山上面
[00:05:50.040 --> 00:05:52.600]  神重新找回他 是不是?
[00:05:52.600 --> 00:05:57.480]  山是困難 山也是神特別要親近人的地方
[00:05:57.480 --> 00:06:00.320]  還有摩西在西乃山上面也是
[00:06:00.320 --> 00:06:02.400]  神特別叫摩西上西乃山
[00:06:02.400 --> 00:06:07.400]  在山上面 他要頒佈神自己的律法和十誡
[00:06:07.400 --> 00:06:09.400]  這個就叫信心的道路
[00:06:09.400 --> 00:06:12.200]  為什麼神要讓山在我們人生的路上走呢?
[00:06:12.200 --> 00:06:14.040]  不是我們平平坦坦不好嗎?
[00:06:14.040 --> 00:06:17.120]  但是神給我們山 因為在山上面
[00:06:17.120 --> 00:06:18.960]  就是在這個困難裏面
