
[00:00:00.000 --> 00:00:04.700]  好的 先輩 大家好
[00:00:04.700 --> 00:00:06.700]  經過了退休會之後
[00:00:06.700 --> 00:00:11.060]  我們又回來在我們的教會的聚會點
[00:00:11.060 --> 00:00:13.060]  一起去敬拜
[00:00:13.060 --> 00:00:15.060]  亦都是一個很好的轉折
[00:00:15.060 --> 00:00:17.540]  我們開始新一卷的書卷
[00:00:17.540 --> 00:00:19.540]  俄巴底亞書
[00:00:19.540 --> 00:00:25.180]  如果你對俄巴底亞書很陌生
[00:00:25.180 --> 00:00:26.180]  絕對不出奇
[00:00:26.180 --> 00:00:28.180]  因為俄巴底亞書
[00:00:28.180 --> 00:00:32.100]  如果打開聖經是很難找到的
[00:00:32.100 --> 00:00:35.660]  因為它只有21節
[00:00:35.660 --> 00:00:40.180]  但是這卷書卻是藏在
[00:00:40.180 --> 00:00:42.180]  這個十二卷
[00:00:42.180 --> 00:00:44.180]  或者用基督教的分類
[00:00:44.180 --> 00:00:47.900]  叫做小仙之書的其中一部份
[00:00:47.900 --> 00:00:51.980]  我們能夠在這卷書裏有甚麼學習
[00:00:51.980 --> 00:01:00.780]  能夠透過它能夠透視到在這個秘魯之間的時間
[00:01:00.780 --> 00:01:03.580]  以色列民尤其是猶太國的子民
[00:01:03.580 --> 00:01:09.380]  怎樣在期間去面對他們的種種信仰的挑戰
[00:01:09.380 --> 00:01:13.700]  以及上帝的恩典怎樣打開去到普世
[00:01:13.700 --> 00:01:17.300]  都能夠給我們一個很不一樣的啟示
[00:01:17.300 --> 00:01:20.100]  讓我們一起再次在靈性主義的說話
[00:01:20.100 --> 00:01:22.100]  一起研讀以先
[00:01:22.100 --> 00:01:23.100]  加上禱告
[00:01:23.100 --> 00:01:25.100]  祈求主給我們有智慧
[00:01:25.100 --> 00:01:30.980]  能夠在當中明白俄巴底亞書的啟示
[00:01:30.980 --> 00:01:33.980]  父神多謝祢讓我們再次回來
