
[00:00:00.000 --> 00:00:10.760]  今天和大家一起思想的經文是出自《加拉太書》第三章第六節至第十四節
[00:00:10.760 --> 00:00:15.360]  今天所講的講題是《信的祝福與律法的奏助》
[00:00:15.360 --> 00:00:20.720]  讓我們在聽主的道義上再讀一次這段經文
[00:00:20.720 --> 00:00:24.600]  熟悉一下這段經文所講的內容是甚麼
[00:00:24.600 --> 00:00:27.960]  我會先為大家讀出和合本的版本
[00:00:27.960 --> 00:00:32.120]  請大家一起打開聖經和我一起看看這段經文
[00:00:32.120 --> 00:00:33.480]  先講甚麼
[00:00:33.480 --> 00:00:34.200]  好
[00:00:34.200 --> 00:00:37.600]  《加拉太書》第三章第六節至第十四節
[00:00:37.600 --> 00:00:43.760]  正如阿伯拉罕信神者就算為他的兒
[00:00:43.760 --> 00:00:49.680]  所以你們要知道那以信為本的人就是阿伯拉罕的子孫
[00:00:49.680 --> 00:00:55.680]  並且聖經既然預先看明神要見外邦人恩信稱義
[00:00:55.680 --> 00:00:58.680]  就早已傳福音給阿伯拉罕
[00:00:58.680 --> 00:01:01.760]  說萬個都必因你得福
[00:01:01.760 --> 00:01:07.080]  可見那以信為本的人和有信心的阿伯拉罕一同得福
[00:01:07.080 --> 00:01:11.480]  凡以行律法為本的都是被奏助的
[00:01:11.480 --> 00:01:13.000]  因為經上記著
[00:01:13.000 --> 00:01:17.720]  凡不常照律法書上所記一切之事去行的
[00:01:17.720 --> 00:01:19.240]  就被奏助
[00:01:19.240 --> 00:01:23.360]  會有一個人靠著律法在神面前稱義
[00:01:23.360 --> 00:01:24.680]  這是明顯的
[00:01:24.680 --> 00:01:25.960]  因為經上說
[00:01:25.960 --> 00:01:27.960]  「義人必因信得生」
[00:01:27.960 --> 00:01:30.360]  律法源不本乎信
[00:01:30.360 --> 00:01:32.400]  只說「行者者是的」
[00:01:32.400 --> 00:01:34.160]  就必因此活著
[00:01:34.160 --> 00:01:36.720]  基督既為我們受了奏助
[00:01:36.720 --> 00:01:40.360]  就屬出我們脫離律法的奏助
[00:01:40.360 --> 00:01:42.360]  因為經上記著
[00:01:42.360 --> 00:01:45.920]  「凡掛在木頭上的都是被奏助的」
[00:01:45.920 --> 00:01:47.920]  這便叫阿伯拉罕的福
[00:01:47.920 --> 00:01:52.000]  因耶穌基督可以臨到外邦人
[00:01:52.000 --> 00:01:55.800]  使我們因信得著所應許的勝利
[00:01:55.800 --> 00:01:57.800]  說到信心
[00:01:57.800 --> 00:01:59.800]  我們不能夠不說阿伯拉罕
[00:01:59.800 --> 00:02:02.960]  但如果我們說到律法的時候
[00:02:02.960 --> 00:02:06.680]  我們亦不能夠不提到阿伯拉罕
[00:02:06.680 --> 00:02:09.480]  因為在《創世紀》裏面
[00:02:09.480 --> 00:02:11.080]  我們一方面看見
[00:02:11.080 --> 00:02:14.080]  阿伯拉罕在《創世紀》十五章當中
[00:02:14.080 --> 00:02:16.800]  他能夠憑信心
[00:02:16.800 --> 00:02:20.880]  或憑信去歸為神的子民
[00:02:20.880 --> 00:02:23.720]  但同樣去到不需要太遠的
