
[00:00:00.000 --> 00:00:10.000]  實踐生命第四講主在來被提末世現象
[00:00:10.000 --> 00:00:17.000]  我和大家講課題最後一個分題就是末世
[00:00:17.000 --> 00:00:27.000]  這堂課很快將對於末世不同看法的神學理論剖析
[00:00:27.000 --> 00:00:33.000]  當然對於現在的評論家來說你都認識很多東西
[00:00:33.000 --> 00:00:42.000]  什麼無千里連派千里前派千里後派災難中被提災難前被提都聽過
[00:00:42.000 --> 00:00:44.000]  我相信你大概知道是什麼
[00:00:44.000 --> 00:00:50.000]  所以在我這個神學課程裏面我當然要責任上交代究竟是什麼
[00:00:50.000 --> 00:01:06.000]  清楚勾畫一個輪廓然後我就會集中講我覺得不同的看法不單單是表現對將來的事情的觀點問題
[00:01:06.000 --> 00:01:14.000]  也影響了他怎樣看聖經怎樣看歷史怎樣看神學都有關係
[00:01:14.000 --> 00:01:22.000]  所以我想將這幾個不同的看法引申到一些神學性的反省
[00:01:22.000 --> 00:01:30.000]  我都嘗試給大家一個正如我一直以來希望做的客觀的立場去看不同的白人
[00:01:30.000 --> 00:01:34.000]  這件事其實咳死了中國教會很久了
[00:01:34.000 --> 00:01:37.000]  現在香港的教會可能已經沒有那麼重視這件事
[00:01:37.000 --> 00:01:42.000]  在一些地方的華人教會當中看得很重
[00:01:42.000 --> 00:01:47.000]  怎樣看末世在哪一派判斷是不是好過雕塗
[00:01:47.000 --> 00:01:51.000]  甚至極端起上來認為你是異端還是不是異端
[00:01:51.000 --> 00:01:53.000]  信仰純正還是不純正
[00:01:53.000 --> 00:01:58.000]  我希望這次打開一個風氣給大家客觀一點
[00:01:58.000 --> 00:02:01.000]  聽一下和派系不同的看法
[00:02:01.000 --> 00:02:04.000]  每一個人都有自己的立場
[00:02:04.000 --> 00:02:08.000]  我亦不隱瞞我的立場
[00:02:08.000 --> 00:02:12.000]  我是千里年前派的贊成災難中被提
[00:02:12.000 --> 00:02:14.000]  很清楚的立場
[00:02:14.000 --> 00:02:18.000]  不過我不覺得除我以外每個人都是錯的
[00:02:18.000 --> 00:02:23.000]  所以這次就一連串給大家看看別人的看法
[00:02:23.000 --> 00:02:28.000]  你盡可以上二次堂之後完全不贊成我那個立場
[00:02:28.000 --> 00:02:30.000]  你採取另外一個立場
[00:02:30.000 --> 00:02:32.000]  很多東西都是很好的
[00:02:32.000 --> 00:02:36.000]  開始之前我先簡單的交代
[00:02:36.000 --> 00:02:38.000]  將來發生什麼事呢
[00:02:38.000 --> 00:02:40.000]  不同的派系當然有不同的時序
[00:02:40.000 --> 00:02:42.000]  總是要採取一種
[00:02:42.000 --> 00:02:44.000]  我站在這裡就有權
[00:02:44.000 --> 00:02:46.000]  你沒有聲音就坐在下面
[00:02:46.000 --> 00:02:49.000]  我站在上面當然要講我看的那種
[00:02:49.000 --> 00:02:51.000]  先講一個梗概
[00:02:51.000 --> 00:02:53.000]  給大家一個觀念
[00:02:53.000 --> 00:02:55.000]  可以說是一個架構
[00:02:55.000 --> 00:02:57.000]  然後我們再看看不同的派系怎樣改
[00:02:57.000 --> 00:02:59.000]  看不同的地方
[00:02:59.000 --> 00:03:07.000]  大家可以接受這種權威式的解說
[00:03:07.000 --> 00:03:09.000]  所以我當是序論
[00:03:09.000 --> 00:03:11.000]  不是內容
[00:03:11.000 --> 00:03:13.000]  將來發生的事大概是怎樣呢
[00:03:13.000 --> 00:03:15.000]  根據千里年前派的災難中被提的看法
[00:03:15.000 --> 00:03:17.000]  就是這樣
[00:03:17.000 --> 00:03:19.000]  現在就是教會的時代
[00:03:19.000 --> 00:03:21.000]  教會的時期
[00:03:21.000 --> 00:03:23.000]  耶穌基督被釘十字架之後
[00:03:23.000 --> 00:03:27.000]  五旬節開始了教會
[00:03:27.000 --> 00:03:29.000]  到現在我們仍然在教會的過程當中
[00:03:29.000 --> 00:03:31.000]  已經經歷了就著接近二千年了
[00:03:31.000 --> 00:03:33.000]  將來發生什麼事呢
[00:03:33.000 --> 00:03:35.000]  按照聖經的看法
[00:03:35.000 --> 00:03:37.000]  將來所發生的事
[00:03:37.000 --> 00:03:39.000]  就是這樣
[00:03:39.000 --> 00:03:41.000]  當人類的歷史
[00:03:41.000 --> 00:03:43.000]  教會發展到某一個時間的時候
[00:03:43.000 --> 00:03:45.000]  我們什麼時候都不知道
[00:03:45.000 --> 00:03:47.000]  開始會有什麼呢
[00:03:47.000 --> 00:03:49.000]  會有一個大災難
[00:03:49.000 --> 00:03:51.000]  災難的來臨
[00:03:51.000 --> 00:03:53.000]  記載在啟示錄
[00:03:53.000 --> 00:03:55.000]  特別是
[00:03:55.000 --> 00:03:57.000]  救了一些大小先知的寓言
[00:03:57.000 --> 00:03:59.000]  尼加書
[00:03:59.000 --> 00:04:01.000]  或者是
[00:04:01.000 --> 00:04:03.000]  撒加利亞書
[00:04:03.000 --> 00:04:05.000]  但爾利書
[00:04:05.000 --> 00:04:07.000]  尤其是以賽亞書
[00:04:07.000 --> 00:04:09.000]  都有提到這方面的寓言
[00:04:09.000 --> 00:04:11.000]  大災難的時間
[00:04:11.000 --> 00:04:13.000]  過了一段時間
[00:04:13.000 --> 00:04:15.000]  在大災難當中
[00:04:15.000 --> 00:04:17.000]  耶穌基督第二次再臨
[00:04:17.000 --> 00:04:19.000]  耶穌基督再來的意思
[00:04:19.000 --> 00:04:21.000]  就是耶穌已經來過一次
[00:04:21.000 --> 00:04:23.000]  因為在公園
[00:04:23.000 --> 00:04:25.000]  可能是公元前四年
[00:04:25.000 --> 00:04:27.000]  如果準確的話
[00:04:27.000 --> 00:04:29.000]  在公園的時間
[00:04:29.000 --> 00:04:31.000]  耶穌基督不來了
[00:04:31.000 --> 00:04:33.000]  現在他再來的時候
[00:04:33.000 --> 00:04:35.000]  第二次來
[00:04:35.000 --> 00:04:37.000]  從天上來
[00:04:37.000 --> 00:04:39.000]  耶穌說可以怎樣升上去
[00:04:39.000 --> 00:04:41.000]  怎樣再來
[00:04:41.000 --> 00:04:43.000]  再來的時候就發生兩件事
[00:04:43.000 --> 00:04:45.000]  已經死了的信徒
[00:04:45.000 --> 00:04:47.000]  聽見號角的聲音
[00:04:47.000 --> 00:04:49.000]  就從死裡復活了
[00:04:49.000 --> 00:04:51.000]  有些可能死了
[00:04:51.000 --> 00:04:53.000]  總之
