
[00:00:00.000 --> 00:00:08.000]  參與耶路撒冷重建的歷史
[00:00:08.000 --> 00:00:13.000]  對尼西米來說是一件藝術
[00:00:13.000 --> 00:00:17.000]  參與重建耶路撒冷
[00:00:17.000 --> 00:00:20.000]  對尼西米來說是一個藝術
[00:00:20.000 --> 00:00:26.000]  尼西米當時是生活在舒山城
[00:00:26.000 --> 00:00:30.000]  當時尼西米生在舒山城
[00:00:30.000 --> 00:00:35.000]  舒山距離耶路撒冷有九百公里
[00:00:35.000 --> 00:00:38.000]  舒山離耶路撒冷有九百公里
[00:00:38.000 --> 00:00:42.000]  如果要由舒山城往耶路撒冷
[00:00:42.000 --> 00:00:45.000]  要走五個月的路程
[00:00:45.000 --> 00:00:47.000]  如果從耶路撒冷到舒山城
[00:00:47.000 --> 00:00:50.000]  要走五個月的旅程
[00:00:50.000 --> 00:00:56.000]  況且我們知道尼西米在舒山城
[00:00:56.000 --> 00:01:00.000]  他是出入在王宮當中
[00:01:00.000 --> 00:01:04.000]  何況我們知道尼西米在舒山城是出入王宮的人
[00:01:04.000 --> 00:01:08.000]  尼西米的第一章告訴我們
[00:01:08.000 --> 00:01:12.000]  為什麼尼西米會在王宮出入這麼厲害
[00:01:12.000 --> 00:01:14.000]  尼西米在第一章裡面
[00:01:14.000 --> 00:01:18.000]  尼西米為什麼會出現在王宮裡這麼了不起呢
[00:01:18.000 --> 00:01:23.000]  因為他是亞達薛西王的酒政
[00:01:23.000 --> 00:01:26.000]  他是亞達薛西王的酒政
[00:01:26.000 --> 00:01:31.000]  你說他在酒吧幫皇帝調酒喝
[00:01:31.000 --> 00:01:34.000]  你以為他是在酒吧教皇帝喝酒嗎
[00:01:34.000 --> 00:01:36.000]  你誤會了
[00:01:36.000 --> 00:01:38.000]  你記得約瑟嗎
[00:01:38.000 --> 00:01:39.000]  你記得約瑟嗎
[00:01:39.000 --> 00:01:44.000]  他坐牢的時候撞到法老王的兩個大臣
[00:01:44.000 --> 00:01:49.000]  約瑟坐監的時候就遇見了王的兩個大臣
[00:01:49.000 --> 00:01:51.000]  一個是酒政
[00:01:51.000 --> 00:01:54.000]  一個是善長
