
[00:00:00.000 --> 00:00:04.800]  今天的題目是「輕鄉的祭」
[00:00:04.800 --> 00:00:08.160]  我們之前在重新出發的時候
[00:00:08.160 --> 00:00:11.520]  也有提到羅亞當漂流了很久
[00:00:11.520 --> 00:00:13.440]  在方舟出來的時候
[00:00:13.440 --> 00:00:17.440]  他第一件做的事情就是向上帝獻祭
[00:00:17.440 --> 00:00:21.440]  而有一次也提到在一次崇拜
[00:00:21.440 --> 00:00:23.280]  其中一位詩琴跟我說
[00:00:23.280 --> 00:00:29.120]  他將每一次彈琴都當成一個祭去獻給上帝
[00:00:29.120 --> 00:00:33.440]  另外我們也提到在人生歷史上
[00:00:33.440 --> 00:00:35.520]  第一宗的謀殺案
[00:00:35.520 --> 00:00:39.120]  都是不多不少跟獻祭有關
[00:00:39.120 --> 00:00:43.200]  在《創世紀》第一章已經開始提到什麼叫獻祭
[00:00:43.200 --> 00:00:46.000]  但我不知道大家知不知道什麼叫祭
[00:00:46.000 --> 00:00:48.640]  我不知道大家有沒有印象
[00:00:48.640 --> 00:00:51.120]  或者究竟祭真正的意思是什麼
[00:00:51.120 --> 00:00:53.120]  但可能在我還沒說之前
[00:00:53.120 --> 00:00:55.920]  當我說這個祭是在《創世紀》
[00:00:55.920 --> 00:00:57.280]  在《舊約聖經》
[00:00:57.280 --> 00:01:00.160]  可能有些弟兄姊妹都會馬上害怕
[00:01:00.160 --> 00:01:02.400]  哎呀 說《舊約》
[00:01:02.400 --> 00:01:04.800]  《舊約》很難明白的
[00:01:04.800 --> 00:01:06.320]  或者有些人可能是
[00:01:06.320 --> 00:01:09.120]  我不知道是說笑還是說真的
[00:01:09.120 --> 00:01:10.320]  經常聽到人說
[00:01:10.320 --> 00:01:14.320]  我看《聖經》經常都出不了埃及
[00:01:14.320 --> 00:01:17.920]  咦 你們的笑容就是代表是真的
[00:01:17.920 --> 00:01:20.400]  因為可能大家很有雄心壯志
[00:01:20.400 --> 00:01:22.080]  可能在一年的開始
[00:01:22.080 --> 00:01:23.760]  就說好 我要看《聖經》
[00:01:23.760 --> 00:01:24.800]  然後打開《聖經》
[00:01:24.800 --> 00:01:26.400]  由《創世紀》第一章開始看
[00:01:26.400 --> 00:01:27.600]  開始看 看 看
[00:01:27.600 --> 00:01:28.880]  都OK的
[00:01:28.880 --> 00:01:30.080]  然後到出埃及
[00:01:30.080 --> 00:01:34.400]  看看你就和以色列人一起迷失了
[00:01:34.400 --> 00:01:35.600]  然後就看不到
[00:01:35.600 --> 00:01:37.600]  所以一直都出不了埃及
[00:01:37.600 --> 00:01:41.200]  所以在我們去設計讀經計劃的時候
[00:01:41.200 --> 00:01:43.600]  在2017年1月1日開始
[00:01:43.600 --> 00:01:46.640]  我都不敢說由《舊約》開始
[00:01:46.640 --> 00:01:48.640]  我就由《新約》開始
[00:01:48.640 --> 00:01:50.320]  2017年讀完《新約》
[00:01:50.320 --> 00:01:51.760]  然後我在2017年
[00:01:51.760 --> 00:01:53.840]  你發覺我由開始到現在
[00:01:53.840 --> 00:01:55.520]  我講很多《舊約》
[00:01:55.520 --> 00:01:58.560]  其實我是想我們一起打好這個底
[00:01:58.560 --> 00:02:00.640]  然後我已經找到讀經計劃
[00:02:00.640 --> 00:02:03.120]  是2018到2019
[00:02:03.120 --> 00:02:04.480]  兩年看完《舊約》
[00:02:04.480 --> 00:02:05.760]  因為一年看完《舊約》
[00:02:05.760 --> 00:02:07.680]  又比較辛苦
[00:02:07.680 --> 00:02:11.760]  三年看完《新舊約》《聖經》
[00:02:11.760 --> 00:02:13.600]  但是可能當大家知道
[00:02:13.600 --> 00:02:15.280]  今天要講的憲制
