
[00:00:00.000 --> 00:00:02.840]  各位網友大家好 歡迎收看今天的「大會」
[00:00:02.840 --> 00:00:08.000]  我是主持人張宇 今天是8月1日 星期四
[00:00:08.000 --> 00:00:14.840]  今天是大會的第一天 大家可以看到我們有很多人來參加
[00:00:14.840 --> 00:00:19.440]  很多人都在這裡 大家可以看到我們有很多人在這裡參加
[00:00:19.440 --> 00:00:23.340]  我們有很多人參加的 今天是大會的第一天 大家可以看到我們有很多人來參加
[00:00:23.340 --> 00:00:31.820]  我們在一切的情況之下 我們仍然可以同心到神的殿中來敬拜
[00:00:31.820 --> 00:00:34.800]  今天我們會繼續再思想有關於猜拳的信息
[00:00:34.800 --> 00:00:40.000]  我們大家請大家和我在一起心同心 我們在一起祈禱
[00:00:40.000 --> 00:00:47.100]  主我們抬頭仰望祢 我們的主 我們的神
[00:00:47.100 --> 00:00:54.700]  我們一生一世 夢祢的引導 我們每一天夢祢的帶領
[00:00:54.700 --> 00:00:59.600]  每一天在祢的愛中 主我們感謝祢
[00:00:59.600 --> 00:01:01.880]  主啊 今天我們到祢的面前來
[00:01:01.880 --> 00:01:06.500]  再次同心合意獻上我們對祢的敬拜
[00:01:06.500 --> 00:01:11.900]  承認祢是我們生命的主宰 承認祢是我們的王
[00:01:11.900 --> 00:01:17.200]  主啊 願祢保守我們 讓我們每一天所行所作的事情
[00:01:17.200 --> 00:01:22.340]  都成為對祢的敬拜 都按著祢的心意來行
[00:01:22.340 --> 00:01:25.520]  按著祢所喜悅的來作
[00:01:25.520 --> 00:01:29.820]  如今我們到祢的面前來 主我們向祢尋求
[00:01:29.820 --> 00:01:33.300]  求主賜下祢自己聖經的恩賢
[00:01:33.300 --> 00:01:36.800]  因為主啊 祢的說話何等的寶貴
[00:01:36.800 --> 00:01:40.840]  是我們生命的糧食 是天上的馬拿
[00:01:40.840 --> 00:01:45.040]  求祢賜下祢的恩賢 讓我們心靈得飽足
[00:01:45.040 --> 00:01:48.700]  也更加知道怎樣來跟隨祢
[00:01:48.700 --> 00:01:51.860]  求祢願我們同在 至福這段時間
[00:01:51.860 --> 00:01:56.980]  我們仰望祢 同心祈禱 奉耶穌基督 聖名求
[00:01:56.980 --> 00:01:58.980]  (主) 阿們
[00:01:58.980 --> 00:02:06.360]  今天和大家思想一下《氣議詐書》第56章的一段經文
[00:02:06.360 --> 00:02:08.560]  開始的時候我想提一件事情
