
[00:00:00.000 --> 00:00:06.400]  我們繼續思想菲勒比書第二章
[00:00:06.400 --> 00:00:09.600]  或者第一章到第二章的《段年聖經》
[00:00:09.600 --> 00:00:18.480]  上一集我們講到菲勒比書的時間是第一章第十二節到第二十六節
[00:00:18.480 --> 00:00:20.480]  講到一個蒙福的人生
[00:00:20.480 --> 00:00:22.480]  就好像保羅自己的示範
[00:00:22.480 --> 00:00:26.080]  他怎樣能夠面對不同的逆境
[00:00:26.080 --> 00:00:29.200]  在外面來的 在裡面來的
[00:00:29.200 --> 00:00:32.480]  在二十七節裡面
[00:00:32.480 --> 00:00:35.360]  一個很大的轉捩點
[00:00:35.360 --> 00:00:40.160]  只要你們行事為人
[00:00:40.160 --> 00:00:42.160]  如基督福音相呈
[00:00:42.160 --> 00:00:44.960]  由一章二十七節以前
[00:00:44.960 --> 00:00:46.000]  即是前面的二十六節
[00:00:46.000 --> 00:00:48.560]  基本上都是保羅講他自己的情況
[00:00:48.560 --> 00:00:50.560]  譬如他為他們祈禱
[00:00:50.560 --> 00:00:52.560]  為他們感恩
[00:00:52.560 --> 00:00:55.280]  然後交代他現在坐交的情況
[00:00:55.280 --> 00:00:56.320]  他自己的心智
[00:00:56.320 --> 00:00:58.320]  都是講他自己的一些事情
[00:00:58.320 --> 00:01:00.320]  第二十七節開始
[00:01:00.320 --> 00:01:02.320]  就是一個很大的轉捩點
[00:01:02.320 --> 00:01:04.320]  只要你們行事為人
[00:01:04.320 --> 00:01:06.320]  對象的信的內容就是他們
[00:01:06.320 --> 00:01:08.320]  那群讀者
[00:01:08.320 --> 00:01:10.320]  這個星期除了我自己的事之外
[00:01:10.320 --> 00:01:14.320]  有兩件事令我都覺得很矛盾
[00:01:14.320 --> 00:01:18.320]  但亦都很現實地在我們生活當中
[00:01:18.320 --> 00:01:22.320]  大家有沒有聽到陳振聰信耶穌
[00:01:22.320 --> 00:01:24.320]  嘩
[00:01:24.320 --> 00:01:26.320]  果然很大反應
[00:01:26.320 --> 00:01:28.320]  果然留意香港新聞
[00:01:28.320 --> 00:01:30.320]  他洗禮
[00:01:30.320 --> 00:01:34.320]  並且現在網上YouTube
[00:01:34.320 --> 00:01:36.320]  在文件都看得到
[00:01:36.320 --> 00:01:38.320]  我希望他真心信主
[00:01:38.320 --> 00:01:40.320]  這個不是我今天要評論的事
[00:01:40.320 --> 00:01:42.320]  一個曾經成為
[00:01:42.320 --> 00:01:44.320]  香港人最討厭的人
[00:01:44.320 --> 00:01:46.320]  但如果他真心信主的話
[00:01:46.320 --> 00:01:48.320]  就見證到
[00:01:48.320 --> 00:01:50.320]  福音本是神的大能
[00:01:50.320 --> 00:01:52.320]  要救一切相信的人
[00:01:52.320 --> 00:01:54.320]  但同一時間這個星期我收到一個電郵
[00:01:54.320 --> 00:01:56.320]  這個電郵就是
[00:01:56.320 --> 00:01:58.320]  曾經和我一起做同學的
[00:01:58.320 --> 00:02:00.320]  一個牧師
[00:02:00.320 --> 00:02:02.320]  三十多年牧師
[00:02:02.320 --> 00:02:06.320]  他被人說成為神棍
[00:02:06.320 --> 00:02:10.320]  到處用耶穌基督的名字騙錢
[00:02:10.320 --> 00:02:12.320]  兩件事很沉重
[00:02:12.320 --> 00:02:14.320]  為什麼一個我們看上去覺得
[00:02:14.320 --> 00:02:16.320]  嘩有沒有搞錯
[00:02:16.320 --> 00:02:18.320]  他都可以像耶穌一樣
[00:02:18.320 --> 00:02:20.320]  另一個就是他做了很多年牧師
[00:02:20.320 --> 00:02:22.320]  但兩個都是一個很實在的生命
[00:02:22.320 --> 00:02:24.320]  放在我們面前
[00:02:24.320 --> 00:02:26.320]  然後我想
[00:02:26.320 --> 00:02:28.320]  其實我們人生的終極
[00:02:28.320 --> 00:02:30.320]  或者我們做基督徒的終極
[00:02:30.320 --> 00:02:32.320]  究竟是走哪個方向
[00:02:32.320 --> 00:02:34.320]  有什麼保證到
[00:02:34.320 --> 00:02:36.320]  我走到最後是無神讚賞的呢
[00:02:36.320 --> 00:02:38.320]  有什麼東西會令到我們
[00:02:38.320 --> 00:02:40.320]  可能走著走著
[00:02:40.320 --> 00:02:42.320]  會變了質會改變到
[00:02:42.320 --> 00:02:44.320]  而我自己不自覺的呢
[00:02:44.320 --> 00:02:46.320]  很多事的改變不是一下子
[00:02:46.320 --> 00:02:48.320]  就改變了
[00:02:48.320 --> 00:02:50.320]  那個改變在我內心裏
[00:02:50.320 --> 00:02:52.320]  不知不覺一點一滴
