
[00:00:00.000 --> 00:00:04.000]  多謝團隊的介紹
[00:00:04.000 --> 00:00:08.000]  亦感謝神給我再有機會在弟兄節目當中宣講神的話
[00:00:08.000 --> 00:00:13.000]  特別多謝各位弟兄擺茶几在旁邊
[00:00:13.000 --> 00:00:16.000]  因為昨晚我因為要喝水所以擺
[00:00:16.000 --> 00:00:18.000]  我相信他記得 非常之好
[00:00:18.000 --> 00:00:22.000]  講起其實我們都有少少親戚關係
[00:00:22.000 --> 00:00:26.000]  因為我在三藩市播道會侍奉過一輪
[00:00:26.000 --> 00:00:31.000]  今天播到蘇Sir在三藩市建立的
[00:00:31.000 --> 00:00:33.000]  他是創會的目者
[00:00:33.000 --> 00:00:35.000]  相信這裡他也有些淵源
[00:00:35.000 --> 00:00:40.000]  我猜他也算是一位親戚
[00:00:40.000 --> 00:00:45.000]  我今天帶了些書在外面
[00:00:45.000 --> 00:00:46.000]  但我不準備賣告白
[00:00:46.000 --> 00:00:49.000]  稍後完結後我會站在外面
[00:00:49.000 --> 00:00:51.000]  跟大家介紹一下如果需要的話
[00:00:51.000 --> 00:00:56.000]  今天講這堂道是我去了很多間教會都講過的
[00:00:56.000 --> 00:00:58.000]  而且每次講的時候
[00:00:58.000 --> 00:01:02.000]  因為有兩個位置我是很激動的
[00:01:02.000 --> 00:01:06.000]  因為對我來說我覺得是很著緊的
[00:01:06.000 --> 00:01:10.000]  變成有時講的時候就會亂了
[00:01:10.000 --> 00:01:12.000]  我很多時候都沒有講沒有大綱的
[00:01:12.000 --> 00:01:14.000]  不過這次一定要有個大綱
[00:01:14.000 --> 00:01:19.000]  你們的同工也很好幫我列了個大綱出來
[00:01:19.000 --> 00:01:23.000]  萬一我講得很亂的時候
[00:01:23.000 --> 00:01:26.000]  你們也大概知道我講了些什麼
[00:01:26.000 --> 00:01:30.000]  神尋找的人是找什麼人呢
[00:01:30.000 --> 00:01:33.000]  找肯向神負責的人
[00:01:33.000 --> 00:01:36.000]  找一些肯尋求祂的面的人
[00:01:36.000 --> 00:01:38.000]  找一些肯敬畏祂聽祂的話的人
[00:01:38.000 --> 00:01:39.000]  我再講多一次
[00:01:39.000 --> 00:01:42.000]  肯向神負責的人
[00:01:42.000 --> 00:01:44.000]  肯尋求神面的人
[00:01:44.000 --> 00:01:48.000]  肯敬畏祂聽祂的話的人
[00:01:48.000 --> 00:01:50.000]  我們逐點講下去
[00:01:50.000 --> 00:01:52.000]  先講第一點
[00:01:52.000 --> 00:01:54.000]  肯向神負責的人
[00:01:54.000 --> 00:01:57.000]  由於我現在在明道社做了這麼多年
[00:01:57.000 --> 00:01:59.000]  我們是一個查經的機構
[00:01:59.000 --> 00:02:03.000]  會出一些問題、功課給一些人先做
[00:02:03.000 --> 00:02:05.000]  好像《侵靈之道》那樣
[00:02:05.000 --> 00:02:08.000]  所以我習慣了問大家問題
