
[00:00:00.000 --> 00:00:03.460]  可能你看到我笑的樣子可能好一點
[00:00:03.460 --> 00:00:06.460]  所以還是不要戴口罩
[00:00:06.460 --> 00:00:10.500]  剛才的題目名我都改了幾次
[00:00:10.500 --> 00:00:12.800]  就是25年的遊戲
[00:00:12.800 --> 00:00:15.840]  我想你會猜不到我說什麼
[00:00:15.840 --> 00:00:17.720]  其實我也不知道說什麼
[00:00:17.720 --> 00:00:20.720]  但是我為什麼想起25呢?
[00:00:20.720 --> 00:00:22.920]  是有個原因的
[00:00:22.920 --> 00:00:26.840]  大約25年左右 我就是
[00:00:26.840 --> 00:00:31.660]  25年左右 我就是有一份工作
[00:00:31.660 --> 00:00:33.660]  就在神學院
[00:00:33.660 --> 00:00:36.660]  是中國浸信會神學院
[00:00:36.660 --> 00:00:41.080]  其實很奇妙的 我這份工作是
[00:00:41.080 --> 00:00:43.080]  影響我離開了理工大學
[00:00:43.080 --> 00:00:45.080]  其實不是為了要轉工
[00:00:45.080 --> 00:00:48.000]  是因為那個院長叫我教心理學
[00:00:48.000 --> 00:00:51.480]  因為那個先生是講英文
[00:00:51.480 --> 00:00:54.580]  那些神學生就覺得難以吸收
[00:00:54.580 --> 00:00:57.080]  我想找一個講廣東話的
[00:00:57.080 --> 00:00:59.080]  於是就叫我去客村
[00:00:59.080 --> 00:01:02.320]  做了25年
[00:01:02.320 --> 00:01:03.820]  但這個不是遊戲來的
[00:01:03.820 --> 00:01:05.820]  跟這個題目沒有關係
[00:01:05.820 --> 00:01:07.820]  我不是當玩的
[00:01:07.820 --> 00:01:14.820]  第一次 那個神學院就叫我去一個迎新營
[00:01:14.820 --> 00:01:18.080]  那些神學生剛剛上學第一個星期
[00:01:18.080 --> 00:01:20.080]  於是就有一個營
[00:01:20.080 --> 00:01:24.080]  這樣就影響了我25年
[00:01:24.080 --> 00:01:27.580]  當時那個營的老師
[00:01:27.580 --> 00:01:30.580]  叫Patini 是一個美國人
[00:01:30.580 --> 00:01:32.580]  他講廣東話講得挺好的
[00:01:32.580 --> 00:01:34.580]  他就打一個遊戲
[00:01:34.580 --> 00:01:39.080]  我聽到這個遊戲都沒什麼感覺
[00:01:39.080 --> 00:01:41.580]  就坐在一起 先生買了一份
[00:01:41.580 --> 00:01:43.580]  怎知道這個遊戲
[00:01:43.580 --> 00:01:47.580]  是令我很多年都是一種衝擊
[00:01:47.580 --> 00:01:50.580]  你可以包括了慚愧
[00:01:50.580 --> 00:01:54.580]  未到抑鬱 難過
[00:01:54.580 --> 00:01:57.580]  但那個動力是強到不得了
[00:01:57.580 --> 00:01:59.580]  又每天都很起勁
[00:01:59.580 --> 00:02:04.080]  起勁到我差不多平均起床的時間
[00:02:04.080 --> 00:02:06.580]  25年都是5點鐘才有得做
[00:02:06.580 --> 00:02:08.580]  因為這個遊戲
[00:02:08.580 --> 00:02:10.580]  哇 可怕了 你不要聽
[00:02:10.580 --> 00:02:12.580]  5點鐘
[00:02:12.580 --> 00:02:15.580]  太衝擊了 太緊要了
[00:02:15.580 --> 00:02:17.580]  其實玩什麼呢
[00:02:18.580 --> 00:02:20.580]  我坐在那裡聽
[00:02:20.580 --> 00:02:23.580]  不聽的時候一聽就很害怕
[00:02:23.580 --> 00:02:25.580]  真的很害怕
[00:02:25.580 --> 00:02:28.580]  你不害怕 是我害怕
[00:02:28.580 --> 00:02:31.580]  就是它叫我們每個人去想
[00:02:31.580 --> 00:02:34.580]  假如你升上天堂
[00:02:34.580 --> 00:02:37.580]  你看到聖經裏面
[00:02:37.580 --> 00:02:40.580]  很多人物
[00:02:40.580 --> 00:02:44.580]  你想找誰呢
[00:02:44.580 --> 00:02:47.580]  是特別想問他一個問題
[00:02:47.580 --> 00:02:50.580]  你想最有興趣找誰
[00:02:50.580 --> 00:02:52.580]  是你看了很久聖經
[00:02:52.580 --> 00:02:56.580]  你想有機會跟他面對面很近距離
[00:02:56.580 --> 00:02:58.580]  私人問他一個問題
[00:02:58.580 --> 00:03:00.580]  你想問誰
[00:03:00.580 --> 00:03:02.580]  問什麼
[00:03:02.580 --> 00:03:06.580]  哇 我一聽到就嚇到我死
[00:03:06.580 --> 00:03:10.580]  想人物不算難
[00:03:10.580 --> 00:03:11.580]  也不算容易
[00:03:11.580 --> 00:03:14.580]  但隨便說耶穌們就行了
[00:03:14.580 --> 00:03:16.580]  問什麼問題呢
[00:03:16.580 --> 00:03:18.580]  講明要有sense(理解)
[00:03:18.580 --> 00:03:20.580]  馬太 你是不是吃馬
[00:03:20.580 --> 00:03:22.580]  當然不是
[00:03:22.580 --> 00:03:25.580]  馬上趕出神學院有份
[00:03:25.580 --> 00:03:28.580]  一定要問問題有sense(理解)
[00:03:28.580 --> 00:03:30.580]  譬如說 識經書
[00:03:30.580 --> 00:03:33.580]  很多地方都可能有不同的講法
[00:03:33.580 --> 00:03:36.580]  而你又覺得還沒有澄清
[00:03:36.580 --> 00:03:38.580]  你要問這樣的問題
[00:03:38.580 --> 00:03:39.580]  那怎麼問呢
[00:03:39.580 --> 00:03:41.580]  我沒有讀過神學
[00:03:41.580 --> 00:03:43.580]  我在波道神學院讀過三科
[00:03:43.580 --> 00:03:45.580]  譬如說 護教學
[00:03:45.580 --> 00:03:47.580]  摩西五經
[00:03:47.580 --> 00:03:49.580]  還有倫理學
[00:03:49.580 --> 00:03:51.580]  許多來復思的科
[00:03:51.580 --> 00:03:53.580]  那已經是1982年的事了
[00:03:53.580 --> 00:03:55.580]  1982年的事
[00:03:55.580 --> 00:03:57.580]  我沒有底子
[00:03:57.580 --> 00:04:01.580]  那班神學生就輪著講
[00:04:01.580 --> 00:04:03.580]  這些女人都講到
[00:04:03.580 --> 00:04:05.580]  問完什麼都
[00:04:05.580 --> 00:04:07.580]  我簡直是當年
[00:04:07.580 --> 00:04:09.580]  以塞埃利亞都不懂分辨
[00:04:09.580 --> 00:04:11.580]  嚇到我
[00:04:11.580 --> 00:04:13.580]  我記得當時是幸運
[00:04:13.580 --> 00:04:15.580]  因為講了一個小時
[00:04:15.580 --> 00:04:17.580]  還沒有輪到我
[00:04:17.580 --> 00:04:19.580]  那天晚上就睡覺了
[00:04:19.580 --> 00:04:21.580]  我都很擔心
[00:04:21.580 --> 00:04:23.580]  明天還要玩
[00:04:23.580 --> 00:04:25.580]  這個遊戲呢
[00:04:25.580 --> 00:04:29.580]  刺激了我25年
[00:04:29.580 --> 00:04:31.580]  原來呢
[00:04:31.580 --> 00:04:33.580]  你看聖經
[00:04:33.580 --> 00:04:35.580]  加上現代化
[00:04:35.580 --> 00:04:37.580]  你找很多資料
[00:04:37.580 --> 00:04:39.580]  很容易
[00:04:39.580 --> 00:04:41.580]  以前的人很辛苦
[00:04:41.580 --> 00:04:43.580]  去夏令會
[00:04:43.580 --> 00:04:45.580]  帶一些很重很厚的
[00:04:45.580 --> 00:04:47.580]  但現在沒有這些東西
[00:04:47.580 --> 00:04:49.580]  但如果要你做到
[00:04:49.580 --> 00:04:51.580]  問那個
[00:04:51.580 --> 00:04:53.580]  不是為了應付那個先生
[00:04:53.580 --> 00:04:55.580]  是真的你的心
[00:04:55.580 --> 00:04:57.580]  是影響你想問的
[00:04:57.580 --> 00:04:59.580]  而問這個問題
[00:04:59.580 --> 00:05:01.580]  是沒有一個很肯定的答案
[00:05:01.580 --> 00:05:03.580]  你覺得是值得
[00:05:03.580 --> 00:05:05.580]  還是不容易
[00:05:05.580 --> 00:05:07.580]  這25年
[00:05:07.580 --> 00:05:09.580]  我找機會
[00:05:09.580 --> 00:05:11.580]  徹底一點
[00:05:11.580 --> 00:05:13.580]  我想回答這個問題
[00:05:13.580 --> 00:05:15.580]  但機會不大
[00:05:15.580 --> 00:05:17.580]  差不多有10年
[00:05:17.580 --> 00:05:19.580]  15年我都沒有機會
[00:05:19.580 --> 00:05:21.580]  因為我很忙碌
[00:05:21.580 --> 00:05:23.580]  我只可以零修
[00:05:23.580 --> 00:05:25.580]  但我不可以用很長的時間去想
[00:05:25.580 --> 00:05:27.580]  於是我跟自己說
[00:05:27.580 --> 00:05:29.580]  總有一天
[00:05:29.580 --> 00:05:31.580]  我會很認真
[00:05:31.580 --> 00:05:33.580]  回答這個問題
[00:05:33.580 --> 00:05:35.580]  直到
[00:05:35.580 --> 00:05:37.580]  06年
[00:05:37.580 --> 00:05:39.580]  即是14年前
[00:05:39.580 --> 00:05:41.580]  我太太患了胰臟癌的時候
[00:05:41.580 --> 00:05:43.580]  機會來了
[00:05:43.580 --> 00:05:45.580]  因為我不再工作
[00:05:45.580 --> 00:05:47.580]  我陪她
[00:05:47.580 --> 00:05:49.580]  於是兩個人在家裡
[00:05:49.580 --> 00:05:51.580]  過了兩年
[00:05:51.580 --> 00:05:53.580]  除了我們認了兩個小孩子
[00:05:53.580 --> 00:05:55.580]  兩個男孩子
[00:05:55.580 --> 00:05:57.580]  10歲11歲
[00:05:57.580 --> 00:05:59.580]  我們很多時間都是說聖經的東西
[00:05:59.580 --> 00:06:01.580]  經常都問我
[00:06:01.580 --> 00:06:03.580]  你找到誰去問
[00:06:03.580 --> 00:06:05.580]  我還沒有想到
[00:06:05.580 --> 00:06:07.580]  因為我覺得那條問題
[00:06:07.580 --> 00:06:09.580]  都不是很大問題
[00:06:09.580 --> 00:06:11.580]  兩年後
[00:06:11.580 --> 00:06:13.580]  我太太就回到天家
[00:06:13.580 --> 00:06:15.580]  她跟我說
[00:06:15.580 --> 00:06:17.580]  我去問了
[00:06:17.580 --> 00:06:19.580]  我心想
[00:06:19.580 --> 00:06:21.580]  為何上帝又讓我
[00:06:21.580 --> 00:06:23.580]  先不死呢
[00:06:23.580 --> 00:06:25.580]  我仍然都想回答這條問題
[00:06:25.580 --> 00:06:27.580]  於是
[00:06:27.580 --> 00:06:29.580]  現在又過了
[00:06:29.580 --> 00:06:31.580]  不知不覺
[00:06:31.580 --> 00:06:33.580]  08年她回到天家
[00:06:33.580 --> 00:06:35.580]  12年了
[00:06:35.580 --> 00:06:37.580]  我又在尋找
[00:06:37.580 --> 00:06:39.580]  當然我已經有很多問題
[00:06:39.580 --> 00:06:41.580]  很多人
[00:06:41.580 --> 00:06:43.580]  例如在希伯來斯那些信心委人
[00:06:43.580 --> 00:06:45.580]  那15個左右
[00:06:45.580 --> 00:06:47.580]  我逐個這樣想
[00:06:47.580 --> 00:06:49.580]  有什麼我覺得要找呢
[00:06:49.580 --> 00:06:51.580]  例如
[00:06:51.580 --> 00:06:53.580]  我開始看到一些人
[00:06:53.580 --> 00:06:55.580]  很少人說他的名字
[00:06:55.580 --> 00:06:57.580]  但其實
[00:06:57.580 --> 00:06:59.580]  是非常厲害的
[00:06:59.580 --> 00:07:01.580]  例如耶佛他
[00:07:01.580 --> 00:07:03.580]  在史詩11章11節
[00:07:03.580 --> 00:07:05.580]  他在米時八
[00:07:05.580 --> 00:07:07.580]  將自己一切
[00:07:07.580 --> 00:07:09.580]  陳明體而華
[00:07:09.580 --> 00:07:11.580]  他心裏
[00:07:11.580 --> 00:07:13.580]  他覺得自己
[00:07:13.580 --> 00:07:15.580]  要所有
[00:07:15.580 --> 00:07:17.580]  想到的都想說出來
[00:07:17.580 --> 00:07:19.580]  其實你說
[00:07:19.580 --> 00:07:21.580]  這樣很長氣
[00:07:21.580 --> 00:07:23.580]  不是
[00:07:23.580 --> 00:07:25.580]  我問題看到了
[00:07:25.580 --> 00:07:27.580]  為什麼很多時候
[00:07:27.580 --> 00:07:29.580]  我們有時候有些困擾
[00:07:29.580 --> 00:07:31.580]  你問我祈禱
[00:07:31.580 --> 00:07:33.580]  其實如果你
[00:07:33.580 --> 00:07:35.580]  擺的時間夠長
