
[00:00:00.000 --> 00:00:03.520]  請問我們上一個月我跟大家說過
[00:00:03.520 --> 00:00:07.120]  希望我的心和我真的祈禱
[00:00:07.120 --> 00:00:14.700]  是我們全福堂是能夠很深刻的去體會到
[00:00:14.700 --> 00:00:18.400]  聖靈在我們的生命當中的真實
[00:00:18.400 --> 00:00:22.340]  讓我們全福堂成為一間聖靈運動的教會
[00:00:22.340 --> 00:00:26.060]  我跟大家說過 不一定是靈因運動的教會
[00:00:26.060 --> 00:00:29.480]  但肯定是要有聖靈在當中運動的教會
[00:00:29.480 --> 00:00:31.520]  我希望我們祈禱
[00:00:31.520 --> 00:00:34.400]  我們每一個大英姐妹 包括現在坐在這裡的你和我
[00:00:34.400 --> 00:00:35.840]  站在這裡的我
[00:00:35.840 --> 00:00:42.180]  我們都能夠有聖靈運行在我們裡面的人
[00:00:42.180 --> 00:00:44.580]  好嗎?有聖靈運動的人
[00:00:44.580 --> 00:00:47.320]  就像剛才我們很好的師哥說的
[00:00:47.320 --> 00:00:50.880]  真是很好的這幫年輕人
[00:00:50.880 --> 00:00:53.140]  我上一次說完之後
[00:00:53.140 --> 00:00:56.260]  這次聽他們領的師哥 我知道你明白
[00:00:56.260 --> 00:01:00.800]  明白上一課說的講道和聖靈是一回什麼的事
[00:01:00.800 --> 00:01:03.080]  神祝福你們
[00:01:03.080 --> 00:01:06.860]  希望你們在聖靈的生命裏面越來越敏銳
[00:01:06.860 --> 00:01:09.120]  你們帶來的師哥 你們帶來的敬拜
[00:01:09.120 --> 00:01:11.280]  實在是我心裏面很受感動
[00:01:11.280 --> 00:01:12.980]  我相信大英姐妹都會
[00:01:12.980 --> 00:01:17.200]  這些是騙不了的 是不是你自己知道
[00:01:17.200 --> 00:01:21.420]  我希望今天我繼續和大家介紹
[00:01:21.420 --> 00:01:24.120]  和將聖靈的真理告訴你
[00:01:24.120 --> 00:01:26.020]  我帶著這個責任感來
[00:01:26.020 --> 00:01:27.240]  我能夠做的就是這麼多
[00:01:27.240 --> 00:01:31.020]  我將聖經裏面講到關於聖靈它自己是怎麼樣的
[00:01:31.020 --> 00:01:35.260]  我告訴你 然後我用盡我的方法來鼓勵你
[00:01:35.260 --> 00:01:39.120]  推你去和聖靈接觸 去親近
[00:01:39.120 --> 00:01:41.760]  讓聖靈在你的生命裏面越來越真實
[00:01:41.760 --> 00:01:43.460]  但是能不能夠這樣呢?
[00:01:43.460 --> 00:01:46.400]  真是在乎你自己願不願意 好嗎?
[00:01:46.400 --> 00:01:48.400]  我們一起祈禱做很簡單的祈禱
[00:01:48.400 --> 00:01:51.760]  聖靈我求你在這個時刻裏面感動我們每一個人
[00:01:51.760 --> 00:01:53.580]  現在我們一會要介紹你
[00:01:53.580 --> 00:01:56.440]  求你將你的真理彰顯在我們面前
[00:01:56.440 --> 00:01:58.780]  又吸引我們能夠親近你
[00:01:58.780 --> 00:02:01.860]  奉耶穌基督的名祈禱 Amen
[00:02:01.860 --> 00:02:05.860]  好 上一堂我和大家已經提過了
[00:02:05.860 --> 00:02:07.260]  在一個月之前
[00:02:07.260 --> 00:02:09.640]  講到我說我會講兩次
[00:02:09.640 --> 00:02:13.860]  在聖經裏面最重要關於聖靈的兩段經文
[00:02:13.860 --> 00:02:17.060]  一段就是在約翰福音
[00:02:17.060 --> 00:02:18.460]  就是上一次我們所講的
[00:02:18.460 --> 00:02:20.540]  主耶穌所講的關於聖靈
[00:02:20.540 --> 00:02:22.540]  今天我會和大家講的
[00:02:22.540 --> 00:02:25.860]  就是關於保羅在羅馬書第八章
[00:02:25.860 --> 00:02:28.540]  所以我很想大家都打開羅馬書
[00:02:28.540 --> 00:02:30.100]  剛才我讀了幾段聖經
[00:02:30.100 --> 00:02:32.740]  但其實今天我會和大家很快
[00:02:32.740 --> 00:02:36.820]  我盡力很快地將羅馬書裏面很重要的
[00:02:36.820 --> 00:02:39.300]  關於聖靈的真理和大家講
[00:02:39.300 --> 00:02:41.300]  主要兩個部分
[00:02:41.300 --> 00:02:43.180]  上一次我們講到
[00:02:43.180 --> 00:02:45.980]  我們的主耶穌講到聖靈提醒我們
[00:02:45.980 --> 00:02:49.700]  聖靈在我們的心裏面 進入我們裏面
[00:02:49.700 --> 00:02:51.140]  當我們認識祂的時候
