
[00:00:00.000 --> 00:00:04.480]  各位電影節目大家好
[00:00:04.480 --> 00:00:09.680]  在2020年亞利桑那基督教大學
[00:00:09.680 --> 00:00:17.920]  請了美國著名的調查機構George Bonner為主
[00:00:17.920 --> 00:00:24.640]  調查美國整個情況
[00:00:24.640 --> 00:00:35.840]  他發現調查得來的結果是美國現在流行的一個世界觀就是混合主義
[00:00:35.840 --> 00:00:42.560]  混合主義是什麼呢?混合主義就是混合一些東西
[00:00:42.560 --> 00:00:47.920]  混合一些東西
[00:00:47.920 --> 00:00:52.400]  混合主義其實是看你混合什麼在裡面
[00:00:52.400 --> 00:00:59.840]  他發現現在的世界觀主要可以用一個名稱去稱呼它
[00:00:59.840 --> 00:01:04.560]  名稱叫道德治療自然神論
[00:01:04.560 --> 00:01:09.840]  你看它的英文可能覺得很複雜很難理解
[00:01:09.840 --> 00:01:12.880]  簡單來說它有三樣東西
[00:01:12.880 --> 00:01:15.600]  第一樣就是自然神論
[00:01:15.600 --> 00:01:22.000]  自然神論就是他相信一個很遠的神
[00:01:22.000 --> 00:01:25.360]  而不是很近的
[00:01:25.360 --> 00:01:29.120]  這個世界有沒有神呢?有神
[00:01:29.120 --> 00:01:35.120]  不過這個神也不是我們聖經所相信的那種有位格的
[00:01:35.120 --> 00:01:37.840]  它是一個自然神論
[00:01:37.840 --> 00:01:43.280]  而這個神是一股力量可以幫到我
[00:01:43.280 --> 00:01:46.320]  但是他又不來管我
[00:01:46.320 --> 00:01:48.720]  這個其實很矛盾
[00:01:48.720 --> 00:01:53.600]  今天的世界其實很多人都需要一種感覺好
[00:01:53.600 --> 00:01:57.040]  自我舒適
[00:01:57.040 --> 00:02:00.880]  感受良好的宗教
[00:02:00.880 --> 00:02:02.880]  這個叫自然神論
[00:02:02.880 --> 00:02:05.680]  第二樣就是治療
[00:02:05.680 --> 00:02:08.560]  這個世界其實很破碎
[00:02:08.560 --> 00:02:09.920]  很多問題
[00:02:09.920 --> 00:02:14.160]  所以人在這個世上他知道自己是有限
[00:02:14.160 --> 00:02:16.480]  但是他要掌管自己的人生
[00:02:16.480 --> 00:02:20.320]  在遇到困難的時候
[00:02:20.320 --> 00:02:22.320]  他很想這個神
[00:02:22.320 --> 00:02:25.440]  雖然平時是遠遠不可及
[00:02:25.440 --> 00:02:27.440]  但是當他需要的時候
[00:02:27.440 --> 00:02:29.440]  最好他就過來幫忙
[00:02:29.440 --> 00:02:31.840]  這個叫治療
[00:02:31.840 --> 00:02:34.880]  就是一種叫自我舒適
[00:02:34.880 --> 00:02:37.760]  自我感受良好的宗教
[00:02:37.760 --> 00:02:40.160]  第三當然
[00:02:40.160 --> 00:02:42.640]  如果你說到有宗教信仰
[00:02:42.640 --> 00:02:47.200]  或者有人基本的道德
[00:02:47.200 --> 00:02:50.320]  他就一定要有道德的因素在裡面
[00:02:50.320 --> 00:02:52.320]  所以一些道德
[00:02:52.320 --> 00:02:55.440]  加上很多治療
[00:02:55.440 --> 00:03:00.480]  加上一個可以幫到他的神明
[00:03:00.480 --> 00:03:01.680]  但是不要管他
[00:03:01.680 --> 00:03:03.680]  只是幫他
[00:03:03.680 --> 00:03:08.880]  大家覺不覺得這個就是現在整個世界的趨勢呢?
[00:03:08.880 --> 00:03:10.880]  我覺得是的
[00:03:10.880 --> 00:03:13.440]  雖然我們在美國
[00:03:13.440 --> 00:03:14.720]  但是我們也說了
[00:03:14.720 --> 00:03:17.920]  其實很多東南亞或其他地區
[00:03:17.920 --> 00:03:23.920]  人慢慢漸趨專愛自己
[00:03:23.920 --> 00:03:26.720]  提摩太后書第三章所說
[00:03:26.720 --> 00:03:29.440]  就是專門愛自己
[00:03:29.440 --> 00:03:32.160]  希望自己能夠感覺好
[00:03:32.160 --> 00:03:36.160]  這個其實是放置於四海而皆盡
[00:03:36.160 --> 00:03:38.880]  這個世界其實越來越複雜
[00:03:38.880 --> 00:03:40.160]  越來越危險
[00:03:40.160 --> 00:03:43.680]  也越來越更具挑戰
[00:03:43.680 --> 00:03:51.360]  其實道德治療自然神論
[00:03:51.360 --> 00:03:57.440]  在出埃及時在摩西時就已經有
[00:03:57.440 --> 00:04:02.560]  這種混合主義在摩西時代就已經有
[00:04:02.560 --> 00:04:06.400]  今天我要看的就是出埃及記第32章
[00:04:06.400 --> 00:04:08.400]  第1到第14節
[00:04:08.400 --> 00:04:12.400]  我們的題目叫做扭曲的敬拜
[00:04:12.400 --> 00:04:14.400]  代求的更新
[00:04:14.400 --> 00:04:19.120]  如果要說出埃及記第32章
[00:04:19.120 --> 00:04:23.120]  我們要看出埃及記整本書的結構
[00:04:23.120 --> 00:04:25.760]  整本書的結構很簡單
[00:04:25.760 --> 00:04:29.440]  就是先是1到第18章
[00:04:29.440 --> 00:04:31.440]  講到蒙救贖
[00:04:31.440 --> 00:04:33.840]  大家如果看出埃及記
[00:04:33.840 --> 00:04:36.240]  最主要的事件就是
[00:04:36.240 --> 00:04:40.400]  余捷和埃及長子被殺
[00:04:40.400 --> 00:04:44.080]  然後他們過紅海離開維羅茲瓦
