
[00:00:00.000 --> 00:00:06.220]  今天的題目是什麼呢?
[00:00:06.220 --> 00:00:09.020]  好戲在後頭
[00:00:09.020 --> 00:00:11.420]  大家喜不喜歡看戲?
[00:00:11.420 --> 00:00:13.980]  有些人喜歡,有些人不喜歡
[00:00:13.980 --> 00:00:16.100]  有一句話不知道你同不同意呢?
[00:00:16.100 --> 00:00:21.780]  人生如戲,戲如人生
[00:00:21.780 --> 00:00:25.980]  有些人的人生好像一出悲劇
[00:00:25.980 --> 00:00:29.060]  有些人的人生好像一出喜劇
[00:00:29.060 --> 00:00:32.260]  有些人的人生好像一出鬧劇
[00:00:32.260 --> 00:00:35.380]  有些人的人生說我一生什麼都有
[00:00:35.380 --> 00:00:39.460]  有喜有悲有鬧劇有荒誕劇
[00:00:39.460 --> 00:00:43.220]  你的人生如果是形容的話
[00:00:43.220 --> 00:00:45.900]  是一出什麼劇呢?
[00:00:45.900 --> 00:00:47.300]  人生如戲,戲如人生
[00:00:47.300 --> 00:00:50.740]  或者不會太多人反對這句話
[00:00:50.740 --> 00:00:54.380]  但今天的題目是好戲在後頭
[00:00:54.380 --> 00:00:57.140]  不知道你反不反對呢?
[00:00:57.140 --> 00:00:59.220]  有些人噏頭
[00:00:59.220 --> 00:01:00.980]  因為我們看很多戲
[00:01:00.980 --> 00:01:03.740]  又未必真的好戲在後頭
[00:01:03.740 --> 00:01:04.780]  有時你看到一些戲
[00:01:04.780 --> 00:01:07.420]  看到最後它完了
[00:01:07.420 --> 00:01:08.260]  你說啊?
[00:01:08.260 --> 00:01:10.260]  完了?
[00:01:10.260 --> 00:01:10.860]  啊?
[00:01:10.860 --> 00:01:13.940]  有頭無尾這樣叫完嗎?
[00:01:13.940 --> 00:01:15.460]  或者現在有些電影
[00:01:15.460 --> 00:01:17.900]  是特意做到有頭無尾的
[00:01:17.900 --> 00:01:19.220]  為什麼?
[00:01:19.220 --> 00:01:19.980]  是啦
