
[00:00:00.000 --> 00:00:04.320]  今天我們會來到登山部分的最後一部分
[00:00:04.320 --> 00:00:07.880]  也可以說是登山部分第七章
[00:00:07.880 --> 00:00:13.480]  開始總結整個登山部分裡面
[00:00:13.480 --> 00:00:17.880]  耶穌所說的最主要的目的和動機
[00:00:17.880 --> 00:00:21.440]  耶穌在這裡最後的部分
[00:00:21.440 --> 00:00:24.160]  和門徒所說的話
[00:00:24.160 --> 00:00:27.440]  我相信如果今天大家有興趣的話
[00:00:27.440 --> 00:00:31.400]  我相信如果今天你仔細去看的時候
[00:00:31.400 --> 00:00:35.080]  你就會發覺耶穌的語氣語調
[00:00:35.080 --> 00:00:40.520]  是直接衝著當時這群坐在祂面前的信徒
[00:00:40.520 --> 00:00:42.880]  而作出的一番教導
[00:00:42.880 --> 00:00:45.480]  對於一般的人來說
[00:00:45.480 --> 00:00:48.520]  這番話很可能你會覺得
[00:00:48.520 --> 00:00:54.120]  只是針對於當時在猶大地或者巴勒斯坦地
[00:00:54.120 --> 00:00:56.600]  特別我們指耶路撒冷地區
[00:00:56.600 --> 00:01:02.080]  那群祭司長、文士或者法尼塞人
[00:01:02.080 --> 00:01:04.080]  向他們的說話
[00:01:04.080 --> 00:01:10.120]  這個宗教集團可以說是在當時壟斷了整個的
[00:01:10.120 --> 00:01:14.520]  以色列地裡面猶太人的整個社群
[00:01:14.520 --> 00:01:18.760]  但是來到馬太福音的第七章這個陳述
[00:01:18.760 --> 00:01:23.920]  當我們再仔細去看當中的描述的時候
[00:01:23.920 --> 00:01:27.880]  我們發覺似乎耶穌的講話
[00:01:27.880 --> 00:01:30.920]  不是單純於針對剛才我們所說的
[00:01:30.920 --> 00:01:34.920]  這些宗教集團的參與者或者領袖這麼簡單
[00:01:34.920 --> 00:01:38.280]  我們會讀到主耶穌當時是向著
[00:01:38.280 --> 00:01:41.080]  正正坐在祂面前的這群
[00:01:41.080 --> 00:01:44.280]  說自己已經相信耶穌基督
[00:01:44.280 --> 00:01:47.320]  有真理在祂裡面的這群門徒
[00:01:47.320 --> 00:01:50.320]  套用今天的說話來說
[00:01:50.320 --> 00:01:54.320]  就是說如果耶穌在場的話
[00:01:54.320 --> 00:01:58.320]  耶穌其實就是向著今天的你和我
[00:01:58.320 --> 00:02:01.320]  在教會裡面每一個人
[00:02:01.320 --> 00:02:06.320]  尤其是指導團體
