
[00:00:00.000 --> 00:00:06.200]  好快 八月份來到十月月
[00:00:06.200 --> 00:00:08.720]  最後一講 這是最重要的
[00:00:08.720 --> 00:00:14.720]  我們回頭看馬太第五章一至十二節
[00:00:14.720 --> 00:00:19.320]  講天國子民的福氣
[00:00:19.320 --> 00:00:24.000]  我們先溫故知新
[00:00:24.000 --> 00:00:32.520]  還記得我們看過四次 恨在地上的天國
[00:00:32.520 --> 00:00:38.240]  我們講的時候 由最開初恨在地上
[00:00:38.240 --> 00:00:40.960]  恨在世上的鹽和乾
[00:00:40.960 --> 00:00:45.600]  然後我們之後就是説成全充分發揮
[00:00:45.600 --> 00:00:47.440]  單單仰望上帝
[00:00:47.440 --> 00:00:49.800]  去到第三講的時候
[00:00:49.800 --> 00:00:54.960]  我們定精在上帝裡面的時候 不是去平靜自己
[00:00:54.960 --> 00:00:58.240]  我們是光輝上帝 我們所表達出來的東西
[00:00:58.240 --> 00:01:01.000]  然後去到第四講的時候
[00:01:01.000 --> 00:01:05.120]  我們有行動的 結果只要進集
[00:01:05.120 --> 00:01:09.520]  所以帶大家看這東西的時候 給我們一幅圖畫很有趣
[00:01:09.520 --> 00:01:16.040]  就是將四次我們講過的恨在地上的天國系列
[00:01:16.040 --> 00:01:20.720]  頭四次放在一幅圖畫看的時候 大家就會清晰很多
[00:01:20.720 --> 00:01:26.440]  分散去看的時候 有時候好像分開了四樣東西
[00:01:26.440 --> 00:01:29.480]  組合在一起看的時候 你會發現會清晰
[00:01:29.480 --> 00:01:34.440]  其實恨在地上的天國 當然這是一個講道的系列
[00:01:34.440 --> 00:01:39.680]  在大家當中 但同樣是一個過程
[00:01:39.680 --> 00:01:42.280]  每一樣東西都可以分開個別去講
[00:01:42.280 --> 00:01:47.320]  然後組合在一起的時候 我們就看見整幅整全的圖畫
[00:01:47.320 --> 00:01:50.400]  分別在第三和第四講的時候
[00:01:50.400 --> 00:01:52.960]  我們就講一種內在的心態
[00:01:52.960 --> 00:01:55.440]  我們要朝向上帝
[00:01:55.440 --> 00:01:59.520]  不是看自己 不是愉悅自己 不是平靜自己
[00:01:59.520 --> 00:02:00.720]  而是榮耀神
[00:02:00.720 --> 00:02:03.800]  然後就帶我們去做一些外在的行動
[00:02:03.800 --> 00:02:05.400]  我們說我們要憐憫
[00:02:05.400 --> 00:02:09.280]  行動上我們要憐憫耶穌基督 主耶穌基督
