
[00:00:00.000 --> 00:00:05.980]  究竟我們如何在我們人生的路上
[00:00:05.980 --> 00:00:09.900]  踏上使命之路呢?
[00:00:09.900 --> 00:00:14.820]  楊碩昌牧師有一本書
[00:00:14.820 --> 00:00:17.220]  也是一本很暢銷的書
[00:00:17.220 --> 00:00:21.940]  題目叫做《召命》
[00:00:21.940 --> 00:00:25.220]  以生命回應神的召喚
[00:00:25.220 --> 00:00:28.420]  這本書講到楊牧師怎樣呢?
[00:00:28.420 --> 00:00:32.580]  他原本是一個醫生
[00:00:32.580 --> 00:00:37.380]  但他願意放下專業去讀神學
[00:00:37.380 --> 00:00:40.900]  繼而在他人生的下半生
[00:00:40.900 --> 00:00:44.900]  造就了很多神的僕人
[00:00:44.900 --> 00:00:46.500]  他就說
[00:00:46.500 --> 00:00:52.660]  召命是信仰的核心
[00:00:52.660 --> 00:00:56.020]  一個很重要很基本的概念
[00:00:56.020 --> 00:00:58.180]  我們英文叫做Calling
[00:00:58.180 --> 00:01:01.140]  他說上帝的呼召不只是限於
[00:01:01.140 --> 00:01:03.380]  可能叫你做一些聖工
[00:01:03.380 --> 00:01:06.340]  或者不同的侍奉崗位
[00:01:06.340 --> 00:01:08.180]  或者不同的職業
[00:01:08.180 --> 00:01:11.300]  也包括你整個人
[00:01:11.300 --> 00:01:12.820]  我看了一本英文書
[00:01:12.820 --> 00:01:16.500]  它就講了我們怎樣叫做使命人生
[00:01:16.500 --> 00:01:18.900]  怎樣叫做一個Focus
[00:01:18.900 --> 00:01:21.700]  一個專注的生命
[00:01:21.700 --> 00:01:25.700]  這本書它就說我們怎樣可以有一個Focused Life
[00:01:25.700 --> 00:01:27.380]  是當你人的生命
[00:01:27.380 --> 00:01:30.820]  如果你能夠為著上帝可以專注的時候
[00:01:30.820 --> 00:01:34.980]  原來你的生命可以很精彩、很豐盛
[00:01:34.980 --> 00:01:37.700]  它講了幾個定義
[00:01:37.700 --> 00:01:40.820]  大家可以去看一看
[00:01:40.820 --> 00:01:41.780]  第一個
[00:01:41.780 --> 00:01:45.780]  我亦作為專注在神裏面的生命
[00:01:45.780 --> 00:01:47.060]  它就說有一些事情
[00:01:47.060 --> 00:01:51.460]  你會很想專心、專注去做
[00:01:51.460 --> 00:01:56.740]  然後達到了神一個創造你生命的目的
[00:01:56.740 --> 00:01:58.340]  還是有效的
[00:01:58.340 --> 00:02:00.260]  我們怎樣用我們的生命
[00:02:00.260 --> 00:02:03.540]  用得有效以至達到你的目的呢?
[00:02:03.540 --> 00:02:04.980]  剛才Michelle唱的那首歌
[00:02:04.980 --> 00:02:06.340]  其中一句歌詞
[00:02:06.340 --> 00:02:07.700]  不知道你有沒有留意
[00:02:07.700 --> 00:02:12.180]  就是她說讓我們去找到神的夢想
[00:02:12.180 --> 00:02:13.780]  你的夢想
[00:02:13.780 --> 00:02:15.060]  你想做的事情
[00:02:15.060 --> 00:02:19.060]  會不會是神最想你做的事情呢?
[00:02:19.060 --> 00:02:23.860]  而另一個它就是要找出一些你生命的Focal Issues
[00:02:23.860 --> 00:02:26.100]  即是一些重要事件
[00:02:26.100 --> 00:02:29.300]  待會想你一邊聽我介紹那個人物的時候
[00:02:29.300 --> 00:02:32.420]  你一邊看看他生命裏面有什麼重要事件
[00:02:32.420 --> 00:02:34.580]  你一邊去想一想、反思一下
[00:02:34.580 --> 00:02:37.780]  你的生命有些什麼重要的事件
[00:02:37.780 --> 00:02:39.460]  是出現在你生命裏面的
