
[00:00:00.000 --> 00:00:04.000]  多謝胡牧師提到剛才這本書
[00:00:04.000 --> 00:00:08.000]  16個在教會不敢問的問題
[00:00:08.000 --> 00:00:10.000]  謝謝胡牧師剛才提到這本書
[00:00:10.000 --> 00:00:13.000]  叫做《16個教會不敢問的問題》
[00:00:13.000 --> 00:00:15.000]  在教會不敢問
[00:00:15.000 --> 00:00:17.000]  是在教會不敢問的問題
[00:00:17.000 --> 00:00:20.000]  這本書是宣導出版社出版的
[00:00:20.000 --> 00:00:22.000]  這本書是宣導出版社出版的
[00:00:22.000 --> 00:00:27.000]  書的題目是出版社的社長改的
[00:00:27.000 --> 00:00:30.000]  這本書的題目是出版社的社長改的
[00:00:30.000 --> 00:00:32.000]  本來這16篇的文章
[00:00:32.000 --> 00:00:34.000]  本來這16篇的文章
[00:00:34.000 --> 00:00:38.000]  是我在多倫多的時候
[00:00:38.000 --> 00:00:40.000]  是我在多倫多的時候
[00:00:40.000 --> 00:00:44.000]  幫助加拿大的華府中心
[00:00:44.000 --> 00:00:47.000]  他們的通訊社的文章
[00:00:47.000 --> 00:00:50.000]  是幫助在那裡的華府的機構
[00:00:50.000 --> 00:00:52.000]  來寫的一個文章
[00:00:52.000 --> 00:00:54.000]  文章的題目是
[00:00:54.000 --> 00:00:56.000]  文章的題目是
[00:00:56.000 --> 00:01:00.000]  華府的編輯所定的
[00:01:00.000 --> 00:01:02.000]  文章的題目其實也是
[00:01:02.000 --> 00:01:05.000]  華府的編輯來寫的
[00:01:05.000 --> 00:01:08.000]  所以他們提出16個的問題
[00:01:08.000 --> 00:01:11.000]  我就用1000字去回答
[00:01:11.000 --> 00:01:13.000]  所以他們就提出了16個問題
[00:01:13.000 --> 00:01:16.000]  所以我就每個用1000個字來做回答
[00:01:16.000 --> 00:01:19.000]  問問題都問得很刁鑽
[00:01:19.000 --> 00:01:21.000]  問的問題都非常刁鑽的
[00:01:21.000 --> 00:01:24.000]  所以大概宣導出版社的社長
[00:01:24.000 --> 00:01:27.000]  讀完之後就推測這些問題
[00:01:27.000 --> 00:01:30.000]  可能在教會不是很敢問的
