
[00:00:00.000 --> 00:00:08.840]  我本來真的預備繼續講這個《十二小仙之書》
[00:00:08.840 --> 00:00:12.200]  預備了黑白局書 但是Ivy姐姐提醒我
[00:00:12.200 --> 00:00:15.580]  她說跟這些大姐妹聊天的時候突然間很有趣
[00:00:15.580 --> 00:00:21.160]  她說剛好聖誕節那天25號也是主日 也是我講的
[00:00:21.160 --> 00:00:24.520]  剛好大年初一的主日 她就說
[00:00:24.520 --> 00:00:28.560]  我發覺不如講一篇跟新年有一點關係的
[00:00:28.560 --> 00:00:33.080]  我就祈禱有一個很特別的題目
[00:00:33.080 --> 00:00:36.680]  新年想飛 那你怎麼飛呢?
[00:00:36.680 --> 00:00:41.040]  講Faith 新年想飛
[00:00:41.040 --> 00:00:45.340]  我就想重新在新的一年開頭的時間
[00:00:45.340 --> 00:00:48.800]  我想跟弟兄姐妹一起去思想
[00:00:48.800 --> 00:00:54.800]  究竟Faith在我們心中 或者這個字Faith
[00:00:54.800 --> 00:00:59.120]  有些人譯作信心 我喜歡譯作信仰
[00:00:59.120 --> 00:01:02.960]  對我們作為基督徒的生命有什麼特別
[00:01:02.960 --> 00:01:05.280]  可以一起去思想一下呢?
[00:01:05.280 --> 00:01:09.520]  我給Ivy的時間 大家一會兒會看到
[00:01:09.520 --> 00:01:12.880]  有三個題目我覺得很基本的
[00:01:12.880 --> 00:01:16.240]  就是回到看回那些天使的事
[00:01:16.240 --> 00:01:19.920]  我們覺得就是回到看回你過去
[00:01:19.920 --> 00:01:22.200]  為什麼你會成為基督徒
[00:01:22.200 --> 00:01:25.200]  今天你停下來回望的時間
[00:01:25.200 --> 00:01:27.640]  為什麼你還是一個基督徒
[00:01:27.640 --> 00:01:30.760]  或者你還是堅持要做一個基督徒
[00:01:30.760 --> 00:01:35.920]  基督教的Faith的信仰對我們來說是什麼意思?
[00:01:35.920 --> 00:01:40.720]  昨天大年三十就去了橫街
[00:01:40.720 --> 00:01:44.560]  就看了這個「毒舌大狀」黃子華
[00:01:44.560 --> 00:01:46.960]  大家都知道的 到處都說
[00:01:46.960 --> 00:01:50.400]  很多人說 我不會劇透 也不會說他們的內容
[00:01:50.400 --> 00:01:53.840]  裡面有一句對白 我有很多很精簡的對白
[00:01:53.840 --> 00:01:55.960]  有一句對白很觸動我的
[00:01:55.960 --> 00:02:00.200]  他說什麼 他就說問他的朋友林寶怡
[00:02:00.200 --> 00:02:07.240]  就問黃子華 當日很多年前你讀大學的時候
[00:02:07.240 --> 00:02:10.400]  其實他說什麼呢?
[00:02:10.400 --> 00:02:13.320]  你有沒有想過你想怎麼樣?
[00:02:13.320 --> 00:02:15.840]  你今天回去再想想
[00:02:15.840 --> 00:02:18.760]  為什麼你會讀呢?你回去想想
[00:02:18.760 --> 00:02:21.720]  所以我聽完他的時間 我今天就在想
[00:02:21.720 --> 00:02:23.520]  我們每一個基督徒的時候
[00:02:23.520 --> 00:02:26.920]  當日為什麼我們會承受這個信仰呢?
[00:02:26.920 --> 00:02:29.560]  為什麼我們有Faith啊?或者這麼說
[00:02:29.560 --> 00:02:31.040]  我們又回去想想 好嗎?
[00:02:31.040 --> 00:02:32.680]  OK 那我們今天就開始看
[00:02:32.680 --> 00:02:36.120]  很長的經文 你看它是26節
[00:02:36.120 --> 00:02:38.560]  第八章去到56節 30節的經文
[00:02:38.560 --> 00:02:40.760]  我就不會逐節去讀了
[00:02:40.760 --> 00:02:44.320]  實際上我們其實是從24節開始看起的
[00:02:44.320 --> 00:02:46.240]  有幾個故事的
[00:02:46.240 --> 00:02:49.400]  這幾個故事可能大家都很熟悉 很耳熟能詳
[00:02:49.400 --> 00:02:51.120]  我們一開始的時間去看
[00:02:51.120 --> 00:02:54.840]  八章第24節 八章第24節是這樣的
[00:02:54.840 --> 00:02:58.400]  耶穌說完道的時候
[00:02:58.400 --> 00:03:02.080]  晚上就吩咐那幫門徒開船過去對面海
[00:03:02.080 --> 00:03:04.760]  就是在加里里湖的對面海 大家很熟的
[00:03:04.760 --> 00:03:07.880]  去的時候耶穌很累 就在船尾那邊睡著了
[00:03:07.880 --> 00:03:09.880]  然後翻起大風浪
[00:03:09.880 --> 00:03:12.200]  翻起大風浪的時候 那些門徒很害怕
[00:03:12.200 --> 00:03:15.200]  我們說很害怕 很害怕的時候
[00:03:15.200 --> 00:03:18.760]  就說 主啊 主啊 死了我們 你還睡覺
