
[00:00:00.000 --> 00:00:06.560]  我自己看一看 其實今年已經是第四次來
[00:00:06.560 --> 00:00:10.480]  然後還有兩次11月和12月
[00:00:10.480 --> 00:00:13.680]  今年我們是第六次 我覺得有些多了一點
[00:00:13.680 --> 00:00:15.680]  你們覺得厭嗎?
[00:00:15.680 --> 00:00:19.760]  真的有點膩 吃得膩了一點
[00:00:19.760 --> 00:00:22.480]  很開心再一次回到大家當中
[00:00:22.480 --> 00:00:26.320]  今天就講到 我上次講了有三個題目
[00:00:26.320 --> 00:00:28.320]  我記得是欺控聖靈 遭致審判
[00:00:28.320 --> 00:00:31.840]  然後是異象 外邦人福音的門 不受捆綁的神僕
[00:00:31.840 --> 00:00:35.840]  這個就是第四堂有關仕途行傳 過境人間的福音人
[00:00:35.840 --> 00:00:41.120]  希望你們可以慢慢聽 聽得明白
[00:00:41.120 --> 00:00:43.120]  我們先做個祈禱
[00:00:43.120 --> 00:00:45.600]  天我們將以下時間帶到恩主的面前
[00:00:45.600 --> 00:00:47.600]  求主你給我們有安靜的心
[00:00:47.600 --> 00:00:50.560]  再一次明白我們的使命 明白我們的角色
[00:00:50.560 --> 00:00:55.280]  免得我們隨波逐流 隨便過了一生
[00:00:55.280 --> 00:00:58.560]  求你讓我們明白 順著之後我們要承擔的
[00:00:58.560 --> 00:01:02.000]  我們能夠做的 我們應該做的是什麼
[00:01:02.000 --> 00:01:05.120]  聽我們祈禱 奉耶穌的名祈禱 阿們
[00:01:05.120 --> 00:01:09.360]  我曾經很多年前聽過張子華牧師講道
[00:01:09.360 --> 00:01:11.360]  不知道有沒有人認識 張子華牧師
[00:01:11.360 --> 00:01:13.920]  當然他現在不在了 已經回天家了
[00:01:13.920 --> 00:01:17.200]  有一次他在時浸那裏講道
[00:01:17.200 --> 00:01:21.280]  我在外面聽的 他在裏面 因為我外面有些事要負責
[00:01:21.280 --> 00:01:27.520]  他說如果教會每一個基督徒每一年帶一個人信主
[00:01:27.520 --> 00:01:30.000]  他就講過 我忘記了多少年
[00:01:30.000 --> 00:01:32.000]  就會全世界都信主
[00:01:32.000 --> 00:01:35.040]  其實我聽了很多次
[00:01:35.040 --> 00:01:37.040]  有些教會都講過很多次
[00:01:37.040 --> 00:01:39.040]  他不要求太多
[00:01:39.040 --> 00:01:41.040]  他不是要求你帶很多人
[00:01:41.040 --> 00:01:43.840]  他只是一年帶一個人信主
[00:01:43.840 --> 00:01:49.040]  這樣很快就會所有人都信上耶穌
[00:01:49.040 --> 00:01:53.040]  但這個理論到今天一直都沒有實現
[00:01:53.040 --> 00:01:57.040]  因為基督徒真的沒有一年帶一個人信主
[00:01:57.040 --> 00:01:59.040]  一年365天
[00:01:59.040 --> 00:02:02.320]  很多基督徒信了主的時候
[00:02:02.320 --> 00:02:05.360]  他有時不是不想帶 但不知道怎樣帶
[00:02:05.360 --> 00:02:08.320]  有時不是不想帶 但人們不讓他帶
[00:02:08.320 --> 00:02:10.320]  所以很困難
[00:02:10.320 --> 00:02:14.320]  今天的題目叫過境人間的福音人
[00:02:14.320 --> 00:02:16.320]  這個名字很繞口
[00:02:16.320 --> 00:02:19.600]  過境人間的福音人
[00:02:19.600 --> 00:02:22.320]  我問了我的童工什麼意思
[00:02:22.320 --> 00:02:26.320]  他說過境人間就是人生當中的意思
[00:02:26.320 --> 00:02:28.320]  要做一個福音人的意思
[00:02:28.320 --> 00:02:30.320]  我就隨著這樣來講
[00:02:30.320 --> 00:02:38.320]  我記得十年前我妹妹帶我去買一些東西
[00:02:38.320 --> 00:02:42.320]  她說哥哥剛剛趁減價就盡快買
[00:02:42.320 --> 00:02:44.320]  我就很抗拒
[00:02:44.320 --> 00:02:46.320]  我一直都不想買
[00:02:46.320 --> 00:02:48.320]  後來她跟我說
[00:02:48.320 --> 00:02:50.320]  其實爸爸買了 媽媽買了
[00:02:50.320 --> 00:02:52.320]  我也買了 姐姐也買了
[00:02:52.320 --> 00:02:54.320]  那你也買吧
[00:02:54.320 --> 00:02:56.320]  那你知道買什麼了
[00:02:56.320 --> 00:02:58.320]  買墓地
[00:02:58.320 --> 00:03:00.320]  我記得妹妹說了一句令我很難過的說話
[00:03:00.320 --> 00:03:02.320]  她說反正你都一定死了
[00:03:02.320 --> 00:03:04.320]  反正現在減價八折
[00:03:04.320 --> 00:03:06.320]  那為什麼你不買呢
[00:03:06.320 --> 00:03:08.320]  沒那麼蠢 中國人最喜歡買減價的東西
[00:03:08.320 --> 00:03:10.320]  於是我死死氣 我都買了
[00:03:10.320 --> 00:03:12.320]  買了都沒什麼
[00:03:12.320 --> 00:03:14.320]  那些東西已經沒有再來了
[00:03:14.320 --> 00:03:16.320]  幾千塊而已 放下了就沒有再來了
[00:03:16.320 --> 00:03:18.320]  就在Elgin Mills和Lesley的墓地
[00:03:18.320 --> 00:03:20.320]  就買了
[00:03:20.320 --> 00:03:22.320]  Lot 7 1625
[00:03:22.320 --> 00:03:24.320]  你有空去逛逛 全部都是唐人的
[00:03:24.320 --> 00:03:26.320]  我遲些也會在那裡
[00:03:26.320 --> 00:03:28.320]  是我的歸宿
[00:03:28.320 --> 00:03:30.320]  我很不開心
[00:03:30.320 --> 00:03:32.320]  就是一個月之前收到她寄信給我
[00:03:32.320 --> 00:03:34.320]  寄信裡面內容說什麼呢
[00:03:34.320 --> 00:03:38.320]  她說徐先生很久沒跟你聯絡了
[00:03:38.320 --> 00:03:40.320]  都是時候你預備一下了
[00:03:40.320 --> 00:03:42.320]  她真的這樣寫
[00:03:42.320 --> 00:03:44.320]  她說是時候準備了
[00:03:44.320 --> 00:03:46.320]  我準備了什麼呢
[00:03:46.320 --> 00:03:48.320]  她有一個套餐 有墓碑
[00:03:48.320 --> 00:03:50.320]  有開土費 開地費
[00:03:50.320 --> 00:03:52.320]  再加上棺材
[00:03:52.320 --> 00:03:54.320]  她說現在有一個特別套餐 一萬塊
[00:03:54.320 --> 00:03:56.320]  歡迎你來到選購
[00:03:56.320 --> 00:03:58.320]  我記得我看完信
[00:03:58.320 --> 00:04:00.320]  我跟老婆說
[00:04:00.320 --> 00:04:02.320]  我衝口而出 基督徒不說這些的
[00:04:02.320 --> 00:04:04.320]  不過我衝口而出
[00:04:04.320 --> 00:04:06.320]  我說大家來時
[00:04:06.320 --> 00:04:08.320]  現在很活生生的
[00:04:08.320 --> 00:04:10.320]  叫我去預備
[00:04:10.320 --> 00:04:12.320]  叫我去看看選什麼棺木
[00:04:12.320 --> 00:04:14.320]  選什麼墓碑
[00:04:14.320 --> 00:04:16.320]  我說不是吧
[00:04:16.320 --> 00:04:18.320]  她說免得你後人要煩這些東西
[00:04:18.320 --> 00:04:20.320]  我說有什麼煩呢
[00:04:20.320 --> 00:04:22.320]  選個棺材 選個墓碑有多煩呢
[00:04:22.320 --> 00:04:24.320]  很生氣 但想想
[00:04:24.320 --> 00:04:26.320]  她說的也是對的
[00:04:26.320 --> 00:04:28.320]  人總會過境的
[00:04:28.320 --> 00:04:30.320]  不會所謂
[00:04:30.320 --> 00:04:32.320]  你最多也是長命百歲
[00:04:32.320 --> 00:04:34.320]  不會長生不老
[00:04:34.320 --> 00:04:36.320]  你永遠都會過去
[00:04:36.320 --> 00:04:38.320]  過境人間
[00:04:38.320 --> 00:04:40.320]  人生是有限的
[00:04:40.320 --> 00:04:42.320]  你不喜歡你不想
[00:04:42.320 --> 00:04:44.320]  都會走完人生路
[00:04:44.320 --> 00:04:46.320]  走完人生路不是問題
[00:04:46.320 --> 00:04:48.320]  問題是要問你怎樣走
[00:04:48.320 --> 00:04:50.320]  每個人都會走完
[00:04:50.320 --> 00:04:52.320]  以前我讀書考試 每個人都會考
[00:04:52.320 --> 00:04:54.320]  不過出來的成績每個人不同
[00:04:54.320 --> 00:04:56.320]  怎樣走
[00:04:56.320 --> 00:04:58.320]  人生既然有限
[00:04:58.320 --> 00:05:00.320]  有限的東西就很寶貴
[00:05:00.320 --> 00:05:02.320]  鑽石為什麼這麼貴 因為不多
