
[00:00:00.000 --> 00:00:07.040]  今晚要查但義理書第五章
[00:00:07.040 --> 00:00:08.840]  但義理書第五章
[00:00:08.840 --> 00:00:10.720]  在我的講義上
[00:00:10.720 --> 00:00:15.440]  我給這個題目叫做帝國的末日
[00:00:15.440 --> 00:00:17.120]  帝國的末日
[00:00:17.120 --> 00:00:21.080]  巴比倫這個帝國在當時來說
[00:00:21.080 --> 00:00:24.160]  是一個最超級的大國
[00:00:24.160 --> 00:00:27.240]  可以說是像今天美國一樣
[00:00:27.240 --> 00:00:29.240]  一個超級的大國
[00:00:29.240 --> 00:00:33.680]  而尼泊爾加尼沙掌權了總共43年
[00:00:33.680 --> 00:00:36.560]  在他掌權的那段時間裡
[00:00:36.560 --> 00:00:40.080]  這個國家達到最強勢
[00:00:40.080 --> 00:00:43.240]  國運可以說是達到頂峰
[00:00:43.240 --> 00:00:46.880]  他的版圖是南至埃及
[00:00:46.880 --> 00:00:49.600]  東至伊朗
[00:00:49.600 --> 00:00:54.800]  伊朗的面積比伊拉克還要大好幾倍
[00:00:54.800 --> 00:01:00.760]  而且在中東那邊敘利亞、沙地阿拉伯半島
[00:01:00.760 --> 00:01:04.880]  全部都是巴比倫的版圖
[00:01:04.880 --> 00:01:10.160]  所以這個帝國沒有人會想到
[00:01:10.160 --> 00:01:12.720]  這麼快就會滅亡
[00:01:12.720 --> 00:01:17.480]  他存在只有不到90年 87年
[00:01:17.480 --> 00:01:20.960]  今天我們來到但義理書第五章
[00:01:20.960 --> 00:01:26.720]  我們看到這個帝國在滅亡之前的幾個小時
[00:01:26.720 --> 00:01:33.520]  這裡有很多的功課讓我們可以學習
[00:01:33.520 --> 00:01:42.400]  第五章的時間和第四章相差大概有30年的時間
[00:01:42.400 --> 00:01:44.400]  大概有30年的時間
[00:01:44.400 --> 00:01:51.120]  在那個時間尼泊爾教明山已經離開了世界
[00:01:51.120 --> 00:01:55.520]  下面接續有幾個君王
[00:01:55.520 --> 00:01:59.360]  一會兒我們會用一點點時間來看一下
[00:01:59.360 --> 00:02:02.560]  我們去到第一節的時候
[00:02:02.560 --> 00:02:07.200]  我們會看到白沙薩王這個名字
[00:02:07.200 --> 00:02:11.200]  這個白沙薩王到底是誰呢?
[00:02:11.200 --> 00:02:15.360]  我們來看一下我給大家的表
[00:02:15.360 --> 00:02:20.960]  我們把整個巴比倫的87年
[00:02:20.960 --> 00:02:24.000]  全部的皇帝列在這裡
[00:02:24.000 --> 00:02:26.000]  就是這幾個
[00:02:26.000 --> 00:02:29.520]  第一個叫做拿布普拉薩
[00:02:29.520 --> 00:02:31.920]  這個就是尼泊爾教明山的爸爸
[00:02:31.920 --> 00:02:38.240]  他在主持620多年就開始建立這個帝國
[00:02:38.240 --> 00:02:42.080]  很多人說巴比倫很小很弱
[00:02:42.080 --> 00:02:50.720]  但是在拿布普拉薩的手中
[00:02:50.720 --> 00:02:52.720]  將他擴大了
[00:02:52.720 --> 00:02:58.080]  已經是有一個大國的形勢
[00:02:58.080 --> 00:03:01.920]  大家聽過這個北國
[00:03:01.920 --> 00:03:03.920]  就是以色列國
[00:03:03.920 --> 00:03:09.040]  被亞述國在主持722年滅了
[00:03:09.040 --> 00:03:16.720]  而這個拿布普拉薩就滅了亞述
[00:03:16.720 --> 00:03:19.280]  所以他那時候開始強大了
[00:03:19.280 --> 00:03:22.480]  但是他真正成為當時的霸主
[00:03:22.480 --> 00:03:26.960]  就是他的兒子尼泊爾教明山出來的時候
[00:03:26.960 --> 00:03:30.800]  尼泊爾教明山是一個很威猛的將軍
[00:03:30.800 --> 00:03:36.400]  當時南征北討都是靠他出去
[00:03:36.400 --> 00:03:39.440]  他打埃及也是他打埃及
[00:03:39.440 --> 00:03:44.240]  他打埃及然後回來就經過中東經過以色列
[00:03:44.240 --> 00:03:49.520]  就順便分三次去滅了猶大國
[00:03:49.520 --> 00:03:53.680]  所以當尼泊爾教明山成為國王之後
[00:03:53.680 --> 00:03:58.000]  他就征服了那一帶
[00:03:58.000 --> 00:04:00.560]  全部都是他做霸主
[00:04:00.560 --> 00:04:02.560]  尼泊爾教明山43年
[00:04:02.560 --> 00:04:04.560]  他爸爸掌權了19年
[00:04:04.560 --> 00:04:09.200]  所以他們兩個加起來總共有62年
[00:04:09.200 --> 00:04:12.080]  然後當他離世之後
[00:04:12.080 --> 00:04:15.280]  在主持562年離世之後
[00:04:15.280 --> 00:04:21.200]  他的兒子就叫做伊未米羅達
[00:04:21.200 --> 00:04:24.640]  你會看到我這裡寫著英文名字有兩個
[00:04:24.640 --> 00:04:28.800]  當時的人有兩個名字是一點都不奇怪的
[00:04:28.800 --> 00:04:32.880]  他這個兒子只做了兩年
[00:04:32.880 --> 00:04:36.640]  這個兒子有一個特點就是他很善待
[00:04:36.640 --> 00:04:41.920]  從猶大努力回來的軍王
[00:04:41.920 --> 00:04:43.680]  我們看看在Nooks那裡
[00:04:43.680 --> 00:04:47.600]  尼泊爾尼王之後的巴比倫
[00:04:47.600 --> 00:04:49.840]  可能因為這件事
[00:04:49.840 --> 00:04:54.320]  令到他失去了那些人的支持
[00:04:54.320 --> 00:04:56.400]  那些將軍的支持
[00:04:56.400 --> 00:05:04.960]  就因為他是善待了努力回來的猶大王
[00:05:04.960 --> 00:05:12.080]  可能這件事令到他被篡位
[00:05:12.080 --> 00:05:14.960]  於是兩年之後他就沒有了
[00:05:14.960 --> 00:05:18.880]  接續是哪一個做皇帝呢?
[00:05:18.880 --> 00:05:20.640]  我們繼續看這個表
[00:05:20.640 --> 00:05:23.120]  看下去就是尼泊爾薩拉旦
[00:05:23.120 --> 00:05:25.040]  這些全部是巴比倫的名字
[00:05:25.040 --> 00:05:26.960]  尼泊爾薩拉旦
[00:05:26.960 --> 00:05:32.560]  這個尼泊爾薩拉旦其實是尼泊爾格尼薩的女婿
