
[00:00:00.000 --> 00:00:05.000]  各位頂節會平安
[00:00:05.000 --> 00:00:14.000]  首先很想在此恭賀你們一起在此慶祝教會的62週年堂慶
[00:00:14.000 --> 00:00:20.000]  也是神在過去的歷史當中一直顯出對你們的恩惠
[00:00:20.000 --> 00:00:26.000]  今天能夠繼續在此與頂節一同敬拜也是神的恩典
[00:00:26.000 --> 00:00:31.000]  很多人以為堂慶是教會的慶祝
[00:00:31.000 --> 00:00:35.000]  以為是建築物 以為是組織的慶祝
[00:00:35.000 --> 00:00:40.000]  但更重要的是 教會就是其中的弟兄姊妹
[00:00:40.000 --> 00:00:45.000]  每一個弟兄姊妹今天是你們的生日
[00:00:45.000 --> 00:00:54.000]  是你們在屬靈中給你們的生命開始和成長的日子
[00:00:54.000 --> 00:01:02.000]  所以在慶祝的時候 也請大家祝賀一下旁邊的弟兄姊妹生日快樂
[00:01:02.000 --> 00:01:11.000]  祝大家堂慶快樂 生日快樂
[00:01:11.000 --> 00:01:16.000]  我們也感謝神因為祂上上之下 祂的說話
[00:01:16.000 --> 00:01:20.000]  讓我們能夠在祂的道裡面不斷得到鼓勵
[00:01:20.000 --> 00:01:22.000]  讓我們生命可以繼續成長
[00:01:22.000 --> 00:01:25.000]  我今天跟大家思想的就是兩段經文
[00:01:25.000 --> 00:01:31.000]  有關於在末世期間我們如何能夠更加深切地愛主
[00:01:31.000 --> 00:01:36.000]  我想跟大家做一點祈禱 大家跟我一起禱告
[00:01:36.000 --> 00:01:41.000]  天上的主 我們感謝祢 感謝祢愛我們
[00:01:41.000 --> 00:01:45.000]  主祢的愛不單是口裡的愛
[00:01:45.000 --> 00:01:49.000]  而是很真實 很具體地祢道成肉身
[00:01:49.000 --> 00:01:53.000]  來到我們中間 祢為我們犧牲自己的生命
[00:01:53.000 --> 00:01:57.000]  愛我們到一個地步 願意將自己的生命捨棄
[00:01:57.000 --> 00:02:03.000]  主我們感謝祢 因為祢的愛我們可以放膽面對明天
