
[00:00:00.000 --> 00:00:06.040]  請問警長 平安 平安 多謝
[00:00:06.040 --> 00:00:11.660]  我有兩次的時間和大家一起在崇拜裡面分享神的訊息
[00:00:11.660 --> 00:00:16.280]  我說過都是給我有一個感動負擔就是
[00:00:16.280 --> 00:00:23.080]  覺得現在我們大家香港在這段日子都有一種兩種的情緒
[00:00:23.080 --> 00:00:27.980]  一種的情緒就是很不快樂 很多的埋怨 很多的怨言
[00:00:27.980 --> 00:00:33.420]  另一種情緒就是很多的受傷 很多的傷害
[00:00:33.420 --> 00:00:40.540]  上一次我就用《肥練門》書和大家一起思想
[00:00:40.540 --> 00:00:46.360]  怎樣可以在一個很不美麗的世界裡面
[00:00:46.360 --> 00:00:50.180]  仍然可以有美麗的愛的故事
[00:00:50.180 --> 00:00:54.680]  這個是我們在聖經裡面所看到的 所聽到的訊息
[00:00:54.680 --> 00:00:59.100]  今天我就和大家在彼得前書的第四章裡面
[00:00:59.100 --> 00:01:03.340]  是看一個創傷受傷的醫治
[00:01:03.340 --> 00:01:07.180]  創傷受傷的醫治 究竟是什麼創傷受傷呢?
[00:01:07.180 --> 00:01:09.440]  我相信我們每天生活裡面
[00:01:09.440 --> 00:01:13.320]  我們最近都在我們所碰見的人身上
[00:01:13.320 --> 00:01:18.340]  或者甚至在我們自己的身上都有很多的創傷
[00:01:18.340 --> 00:01:22.660]  或者有時候是身體上的創傷 病痛的傷痕
[00:01:22.660 --> 00:01:27.920]  有時候可能是在我們跟人的關係裡面的受傷
[00:01:27.920 --> 00:01:33.220]  有時候是在我們人生的際遇當中受到的打擊
[00:01:33.220 --> 00:01:36.560]  無論如何這些都是傷我們的心靈
[00:01:36.560 --> 00:01:39.020]  讓我們的心靈受到很多的創傷
[00:01:39.020 --> 00:01:42.420]  究竟我們怎樣去面對這些創傷?
[00:01:42.420 --> 00:01:44.440]  聖經有什麼話跟我們說呢?
[00:01:44.440 --> 00:01:48.540]  今天我就選了彼得前書的第四章
[00:01:48.540 --> 00:01:51.200]  所以請大家打開彼得前書的第四章
[00:01:51.200 --> 00:01:54.720]  我們一起來聽神自己的說話 好嗎?
[00:01:54.720 --> 00:01:58.420]  大家有一個港島的大綱
[00:01:58.420 --> 00:02:02.740]  在程序單上 大家可以打開拿出來
[00:02:02.740 --> 00:02:06.620]  我們一起來思想神自己的說話
[00:02:06.620 --> 00:02:11.780]  彼得前書的第四章當然就是彼得
[00:02:11.780 --> 00:02:14.920]  在他年老的時候所寫的書信
[00:02:14.920 --> 00:02:17.680]  彼得前書很有意思的 因為年老的彼得
[00:02:17.680 --> 00:02:22.100]  當時他自己和教會的弟兄姊妹
[00:02:22.100 --> 00:02:26.500]  他就是收信的人 都是在面對很多的打擊
[00:02:26.500 --> 00:02:31.060]  這個打擊是因為當時羅馬帝國對基督徒
[00:02:31.060 --> 00:02:34.560]  有很多的迫害 甚至是很多的虐待
[00:02:34.560 --> 00:02:40.400]  很多的死亡 令他們很痛苦
[00:02:40.400 --> 00:02:42.760]  究竟作為一個教會的領袖
[00:02:42.760 --> 00:02:48.020]  神自己感動彼得怎樣和他們一起面對這些問題
[00:02:48.020 --> 00:02:51.140]  年老的彼得真的很有經驗 待會你看了就知道
[00:02:51.140 --> 00:02:55.620]  他提出了一些讓我們值得去留心的地方
[00:02:55.620 --> 00:02:58.620]  希望神的說話今天都感動你 也感動我
[00:02:58.620 --> 00:03:01.040]  可能你就是在這個傷痛裏面
[00:03:01.040 --> 00:03:06.420]  可能你就是在這種仍然受傷和創傷之中
[00:03:06.420 --> 00:03:10.900]  如果是這樣的話 希望神的說話可以一起互相鼓勵
[00:03:10.900 --> 00:03:14.260]  不過說第四章 剛才我們讀了一至十一節
[00:03:14.260 --> 00:03:17.100]  其實第四章還有其它很多很好的經文
[00:03:17.100 --> 00:03:20.980]  我們會和大家一起來思想
[00:03:20.980 --> 00:03:23.180]  先說一下最近我自己的經驗
[00:03:23.180 --> 00:03:28.100]  不久之前我出席了一個晚宴
[00:03:28.100 --> 00:03:32.820]  這個晚宴比較特別的就是有十幾人一位
[00:03:32.820 --> 00:03:38.260]  都是社會上非常有成就的人
[00:03:38.260 --> 00:03:44.140]  他們除了兩個邀請基督徒的朋友之外
[00:03:44.140 --> 00:03:45.860]  其他都不是基督徒
[00:03:45.860 --> 00:03:47.780]  他們為什麼會來呢? 說明了
[00:03:47.780 --> 00:03:51.260]  來就是想和你們說一下基督教的信仰
[00:03:51.260 --> 00:03:55.020]  因為這些朋友是不會去禮拜堂的
[00:03:55.020 --> 00:03:58.260]  因為他們在禮拜六出現的時候 大家認得他
[00:03:58.260 --> 00:04:01.100]  那時候他根本就不肯去的
[00:04:01.100 --> 00:04:05.220]  但是朋友自己邀請到 他就願意來坐下來
[00:04:05.220 --> 00:04:09.180]  就說那晚總而言之 溫博士在這裡
